N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-8.29682256,2,-8.29682256,-8.29682256,0.01281788,5.652,2.261,2.261,-0.062400247901678,-8.29682256,-8.359222807901679,-24.89046768,-8.359222807901679,-8.29682256,-7.7082338
2mer-0+4,-3.86537981,2,-3.86537981,-12.16220237,0.0114914,6.65,2.345,2.345,-0.0224902909249067,-3.86537981,-3.8878701009249066,-11.59613943,-12.247092908826586,-12.162202370000001,0.0
2mer-0+1,-34.9397284,2,-34.9397284,-47.10193078,0.01025822,5.013,2.435,2.435,0.1447510868310928,-34.9397284,-34.79497731316891,-104.81918519999999,-47.042070221995495,-47.10193077,0.0
2mer-0+13,-26.85398335,2,-26.85398335,-73.95591413,0.009000085,5.74,2.544,2.544,0.0725711956620216,-26.85398335,-26.78141215433798,-80.56195005000001,-73.82348237633347,-73.95591412,0.0
2mer-0+2,-18.2766021,2,-18.2766021,-92.23251623,0.008967413,6.87,2.547,2.547,0.0165143199265003,-18.2766021,-18.2600877800735,-54.8298063,-92.08357015640698,-92.23251622000001,0.0
2mer-0+7,-2.09523729,2,-2.09523729,-94.32775351,0.007354513,6.459,2.721,2.721,-0.0165652148425579,-2.09523729,-2.111802504842558,-6.28571187,-94.19537266124954,-94.32775351000001,0.0
2mer-0+8,-0.03816145,2,-0.03816145,-94.36591496,0.004076411,6.21,3.313,3.313,-0.013061786070466,-0.03816145,-0.051223236070466,-0.11448435,-94.24659589732,-94.36591496000001,0.0
2mer-0+6,1.62275747,2,1.62275747,-92.74315749,0.00226209,8.708,4.031,4.031,0.2160379290580749,1.62275747,1.838795399058075,4.86827241,-92.40780049826193,-92.74315749000002,0.0
2mer-0+23,-0.60339056,2,-0.60339056,-93.34654805,0.00130477,9.099,4.843,4.843,0.0021973284892737,-0.60339056,-0.6011932315107263,-1.81017168,-93.00899372977266,-93.34654805000001,0.0
2mer-0+27,-1.94427525,2,-1.94427525,-95.29082329,0.0008960638,9.261,5.489,5.489,-0.0001411177508998,-1.94427525,-1.9444163677508999,-5.83282575,-94.95341009752356,-95.29082330000001,0.0
2mer-0+14,0.37201123,2,0.37201123,-94.91881207,0.0008510465,9.099,5.584,5.584,-0.0060270614922046,0.37201123,0.3659841685077954,1.11603369,-94.58742592901577,-94.91881207000002,0.0
2mer-0+10,-0.81718572,2,-0.81718572,-95.73599779,0.0007557743,9.261,5.809,5.809,-0.0051040542311966,-0.81718572,-0.8222897742311966,-2.45155716,-95.40971570324696,-95.73599779000001,0.0
2mer-0+11,-1.52888787,2,-1.52888787,-97.26488566,0.0007477758,9.848,5.83,5.83,0.0068501969799399,-1.52888787,-1.52203767302006,-4.58666361,-96.93175337626703,-97.26488566000002,0.0
2mer-0+34,0.16957052,2,0.16957052,-97.09531514,0.0007204193,10.344,5.903,5.903,-0.0010696030221879,0.16957052,0.1685009169778121,0.5087115600000001,-96.76325245928922,-97.09531514000003,0.0
2mer-0+58,0.71115632,2,0.71115632,-96.38415883,0.0005879759,10.889,6.317,6.317,0.0432828925549984,0.71115632,0.7544392125549984,2.13346896,-96.00881324673422,-96.38415882000002,0.0
2mer-0+16,-0.18215786,2,-0.18215786,-96.56631669,0.0005830957,10.617,6.334,6.334,0.0354130938649177,-0.18215786,-0.1467447661350823,-0.54647358,-96.1555580128693,-96.56631668000003,0.0
2mer-0+26,-0.17032742,2,-0.17032742,-96.7366441,0.0005533146,10.696,6.446,6.446,0.0297340210527181,-0.17032742,-0.1405933989472819,-0.51098226,-96.2961514118166,-96.73664410000003,0.0
2mer-0+32,0.30180292,2,0.30180292,-96.43484118,0.0004672038,10.926,6.82,6.82,-2.519760164432228e-05,0.30180292,0.30177772239835565,0.9054087599999999,-95.99437368941824,-96.43484118000003,0.0
2mer-0+61,-0.62618625,2,-0.62618625,-97.06102742,0.0004496706,11.063,6.907,6.907,-0.0007907713879831,-0.62618625,-0.6269770213879832,-1.8785587500000003,-96.62135071080623,-97.06102743000004,0.0
2mer-0+55,-0.41511539,2,-0.41511539,-97.47614281,0.0004282162,11.539,7.021,7.021,-0.0002655426796991,-0.41511539,-0.41538093267969906,-1.24534617,-97.03673164348592,-97.47614282000004,0.0
2mer-0+42,-0.55350118,2,-0.55350118,-98.029644,0.0004258938,10.492,7.033,7.033,-0.0022159290965646,-0.55350118,-0.5557171090965647,-1.6605035400000001,-97.59244875258248,-98.02964400000003,0.0
2mer-0+31,0.30586419,2,0.30586419,-97.72377981,0.0004193392,10.902,7.07,7.07,-0.0014122580178081,0.30586419,0.3044519319821919,0.9175925699999999,-97.2879968206003,-97.72377981000004,0.0
2mer-0+22,-0.12298075,2,-0.12298075,-97.84676056,0.000373775,10.112,7.346,7.346,-0.0018302733078598,-0.12298075,-0.1248110233078598,-0.36894225,-97.41280784390815,-97.84676056000004,0.0
2mer-0+33,-0.45698301,2,-0.45698301,-98.30374357,0.0003677421,12.037,7.386,7.386,-0.0007117509376257,-0.45698301,-0.45769476093762573,-1.37094903,-97.87050260484578,-98.30374357000004,0.0
2mer-0+29,0.07885607,2,0.07885607,-98.2248875,0.0003665355,10.444,7.394,7.394,-0.001407396281138,0.07885607,0.077448673718862,0.23656821,-97.79305393112692,-98.22488750000004,0.0
2mer-0+19,-0.87006254,2,-0.87006254,-99.09495004,0.0003655276,10.696,7.401,7.401,-0.0001310317893512,-0.87006254,-0.8701935717893513,-2.61018762,-98.66324750291628,-99.09495004000004,0.0
2mer-0+56,0.31848641,2,0.31848641,-98.77646363,0.0002906819,12.114,7.988,7.988,-0.0003299397067166,0.31848641,0.3181564702932834,0.95545923,-98.34509103262299,-98.77646363000004,0.0
2mer-0+28,0.46478393,2,0.46478393,-98.3116797,0.0002809681,12.999,8.079,8.079,0.0,0.46478393,0.46478393,1.39435179,-97.880307102623,-98.31167970000004,0.0
2mer-0+43,0.25956503,2,0.25956503,-98.05211467,0.0002766333,12.065,8.121,8.121,0.0,0.25956503,0.25956503,0.7786950899999999,-97.62074207262299,-98.05211467000004,0.0
2mer-0+51,-0.04787207,2,-0.04787207,-98.09998675,0.0002423795,12.065,8.487,8.487,0.0,-0.04787207,-0.04787207,-0.14361621000000002,-97.66861414262299,-98.09998674000003,0.0
2mer-0+50,-0.04123726,2,-0.04123726,-98.14122401,0.0002171679,13.3,8.804,8.804,0.0,-0.04123726,-0.04123726,-0.12371178,-97.70985140262299,-98.14122400000004,0.0
2mer-0+45,0.39766891,2,0.39766891,-97.7435551,0.0001954588,14.207,9.118,9.118,0.0,0.39766891,0.39766891,1.19300673,-97.312182492623,-97.74355509000004,0.0
2mer-0+48,-0.17463128,2,-0.17463128,-97.91818638,0.0001828357,13.74,9.324,9.324,0.0,-0.17463128,-0.17463128,-0.5238938399999999,-97.486813772623,-97.91818637000004,0.0
