N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-45.29655983,2,-45.29655983,-45.29655983,0.03295058,4.283,1.651,1.651,-0.43986713886260986
2mer-0+2,-3.75005651,2,-3.75005651,-49.04661634,0.007997347,5.431,2.646,2.646,0.0808766558766365
2mer-0+1,-3.68896938,2,-3.68896938,-52.73558572,0.007472645,5.619,2.707,2.707,0.10233735293149948
2mer-0+3,-5.1244755,2,-5.1244755,-57.86006122,0.007452393,4.09,2.709,2.709,0.04248121380805969
2mer-0+4,-1.23794082,2,-1.23794082,-59.09800204,0.00532638,5.769,3.03,3.03,0.03388504311442375
2mer-0+10,-8.99385897,2,-8.99385897,-68.09186102,0.004459041,4.283,3.215,3.215,0.08539014309644699
2mer-0+7,-0.43640423,2,-0.43640423,-68.52826525,0.004322371,7.072,3.249,3.249,0.010958880186080933
2mer-0+8,-1.68869082,2,-1.68869082,-70.21695606,0.002102541,6.66,4.131,4.131,0.04124300181865692
2mer-0+21,-1.85971682,2,-1.85971682,-72.07667289,0.001648892,7.682,4.479,4.479,-0.007941504940390587
2mer-0+23,-0.28396289,2,-0.28396289,-72.36063578,0.001393036,7.803,4.738,4.738,0.003532873699441552
2mer-0+18,-1.76274596,2,-1.76274596,-74.12338174,0.001192246,7.197,4.991,4.991,-0.006157761439681053
2mer-0+19,0.46950068,2,0.46950068,-73.65388106,0.0008603999,7.072,5.564,5.564,0.0036234157159924507
2mer-0+32,-0.28071999,2,-0.28071999,-73.93460105,0.0007874066,8.811,5.731,5.731,0.0005370144499465823
2mer-0+34,-0.43687958,2,-0.43687958,-74.37148063,0.0007829436,9.215,5.741,5.741,-0.0024495827965438366
2mer-0+11,-0.11439659,2,-0.11439659,-74.48587722,0.00077209,8.192,5.768,5.768,0.008992495015263557
2mer-0+15,-0.33273968,2,-0.33273968,-74.8186169,0.0006868144,7.947,5.998,5.998,0.004098786972463131
2mer-0+26,-0.90587613,2,-0.90587613,-75.72449303,0.0006577275,7.197,6.085,6.085,-0.005443005822598934
2mer-0+33,0.08782569,2,0.08782569,-75.63666734,0.0005820969,9.82,6.338,6.338,-0.0012656515464186668
2mer-0+24,0.13039649,2,0.13039649,-75.50627085,0.0005552637,9.906,6.438,6.438,0.0053456868045032024
2mer-0+22,0.11391952,2,0.11391952,-75.39235133,0.0004895839,8.18,6.714,6.714,0.00010788893268909305
2mer-0+28,-0.03223427,2,-0.03223427,-75.4245856,0.0004846912,10.01,6.737,6.737,0.0006770149921067059
2mer-0+53,-0.37759002,2,-0.37759002,-75.80217562,0.0004665812,9.607,6.823,6.823,-6.523336924146861e-05
2mer-0+25,0.01015412,2,0.01015412,-75.7920215,0.0004629912,9.801,6.84,6.84,0.005014743190258741
2mer-0+20,-0.27191938,2,-0.27191938,-76.06394088,0.0004515621,8.811,6.898,6.898,0.0012172269634902477
2mer-0+48,-0.38546165,2,-0.38546165,-76.44940253,0.0004411524,9.215,6.951,6.951,0.00022656806686427444
2mer-0+47,-0.26559912,2,-0.26559912,-76.71500166,0.0004060822,10.88,7.146,7.146,-0.0016660586697980762
2mer-0+76,0.98558313,2,0.98558313,-75.72941852,0.0003871767,9.686,7.26,7.26,0.023518718779087067
2mer-0+35,-0.16686729,2,-0.16686729,-75.89628582,0.0003828304,9.607,7.288,7.288,-0.0016850840765982866
2mer-0+68,-0.20127553,2,-0.20127553,-76.09756135,0.0003487152,10.35,7.518,7.518,-0.0022309126798063517
2mer-0+72,0.14524623,2,0.14524623,-75.95231512,0.0003128455,9.793,7.795,7.795,0.013387439772486687
2mer-0+30,-0.20595076,2,-0.20595076,-76.15826589,0.0002931252,9.82,7.966,7.966,0.0035988115705549717
2mer-0+46,0.12536752,2,0.12536752,-76.03289836,0.0002803385,11.453,8.086,8.086,0.0
2mer-0+42,0.0784486,2,0.0784486,-75.95444976,0.0002794918,11.561,8.094,8.094,0.0
2mer-0+57,0.13955346,2,0.13955346,-75.8148963,0.0002606685,11.538,8.284,8.284,0.0
2mer-0+65,0.21625006,2,0.21625006,-75.59864624,0.0002590461,10.01,8.301,8.301,0.0
2mer-0+37,0.10556543,2,0.10556543,-75.49308081,0.0002571049,11.453,8.322,8.322,0.0
2mer-0+56,0.09433108,2,0.09433108,-75.39874973,0.0002530433,12.242,8.366,8.366,0.0
2mer-0+81,-0.17475822,2,-0.17475822,-75.57350795,0.0002489459,11.213,8.412,8.412,0.0
2mer-0+52,-0.08741565,2,-0.08741565,-75.6609236,0.0002285849,11.289,8.655,8.655,0.0
2mer-0+62,-0.26966955,2,-0.26966955,-75.93059315,0.0002216253,10.896,8.744,8.744,0.0
2mer-0+121,0.61236275,2,0.61236275,-75.3182304,0.0002146055,11.19,8.839,8.839,0.0
2mer-0+64,0.07754411,2,0.07754411,-75.24068629,0.0002034507,12.194,8.997,8.997,0.0
2mer-0+41,-0.01580791,2,-0.01580791,-75.2564942,0.0002002481,10.743,9.045,9.045,0.0
2mer-0+108,-0.08174184,2,-0.08174184,-75.33823604,0.0001959375,11.849,9.111,9.111,0.0
2mer-0+83,0.00211903,2,0.00211903,-75.33611701,0.000189435,11.849,9.214,9.214,0.0
2mer-0+69,0.07210662,2,0.07210662,-75.26401039,0.0001845576,12.831,9.294,9.294,0.0
2mer-0+93,-0.20786815,2,-0.20786815,-75.47187853,0.0001824619,10.88,9.33,9.33,0.0
2mer-0+107,-0.14035957,2,-0.14035957,-75.6122381,0.0001684903,11.464,9.581,9.581,0.0
2mer-0+55,0.01625169,2,0.01625169,-75.59598641,0.0001673767,11.666,9.602,9.602,0.0
2mer-0+85,0.12735474,2,0.12735474,-75.46863168,0.0001598911,12.242,9.75,9.75,0.0
2mer-0+50,0.06013527,2,0.06013527,-75.4084964,0.000157939,12.831,9.79,9.79,0.0
