N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-42.04958069,2,-42.04958069,-42.04958069,0.03295058,4.283,1.651,1.651,0.2810957431793213
2mer-0+2,-4.762423,2,-4.762423,-46.81200369,0.007997347,5.431,2.646,2.646,0.15554334223270416
2mer-0+1,-4.84255356,2,-4.84255356,-51.65455726,0.007472645,5.619,2.707,2.707,0.0804976150393486
2mer-0+3,-6.51255507,2,-6.51255507,-58.16711232,0.007452393,4.09,2.709,2.709,0.14763762056827545
2mer-0+4,-2.05450957,2,-2.05450957,-60.22162189,0.00532638,5.769,3.03,3.03,0.06420664489269257
2mer-0+10,-8.97548749,2,-8.97548749,-69.19710939,0.004459041,4.283,3.215,3.215,0.09943152219057083
2mer-0+7,-0.69553169,2,-0.69553169,-69.89264107,0.004322371,7.072,3.249,3.249,0.009294605813920498
2mer-0+8,-1.53140451,2,-1.53140451,-71.42404559,0.002102541,6.66,4.131,4.131,0.011381477117538452
2mer-0+21,-1.69055378,2,-1.69055378,-73.11459937,0.001648892,7.682,4.479,4.479,0.0009131079423241317
2mer-0+23,-0.3100327,2,-0.3100327,-73.42463206,0.001393036,7.803,4.738,4.738,-0.002825463190674782
2mer-0+18,-1.74087116,2,-1.74087116,-75.16550322,0.001192246,7.197,4.991,4.991,0.010038919746875763
2mer-0+19,0.42923286,2,0.42923286,-74.73627036,0.0008603999,7.072,5.564,5.564,0.004252011422067881
2mer-0+32,-0.14894155,2,-0.14894155,-74.8852119,0.0007874066,8.811,5.731,5.731,0.003935553133487701
2mer-0+34,-0.41234815,2,-0.41234815,-75.29756006,0.0007829436,9.215,5.741,5.741,0.0018944666953757405
2mer-0+11,-0.11876001,2,-0.11876001,-75.41632007,0.00077209,8.192,5.768,5.768,-0.000159406044986099
2mer-0+15,-0.31352829,2,-0.31352829,-75.72984835,0.0006868144,7.947,5.998,5.998,0.004898786544799805
2mer-0+26,-0.67906949,2,-0.67906949,-76.40891784,0.0006577275,7.197,6.085,6.085,0.01080484502017498
