N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-42.04958069,2,-42.04958069,-42.04958069,0.03295058,4.283,1.651,1.651,0.2810957431793213,-42.04958069,-41.76848494682068,-126.14874207,-41.76848494682068,-42.04958069,-43.13389968
2mer-0+2,-4.762423,2,-4.762423,-46.81200369,0.007997347,5.431,2.646,2.646,0.1555433422327041,-4.762423,-4.606879657767296,-14.287269,-46.37536460458797,-46.81200369,0.0
2mer-0+1,-4.84255356,2,-4.84255356,-51.65455726,0.007472645,5.619,2.707,2.707,0.0804976150393486,-4.84255356,-4.762055944960651,-14.52766068,-51.13742054954862,-51.654557249999996,0.0
2mer-0+3,-6.51255507,2,-6.51255507,-58.16711232,0.007452393,4.09,2.709,2.709,0.1476376205682754,-6.51255507,-6.364917449431725,-19.53766521,-57.502337998980344,-58.167112319999994,0.0
2mer-0+4,-2.05450957,2,-2.05450957,-60.22162189,0.00532638,5.769,3.03,3.03,0.0642066448926925,-2.05450957,-1.9903029251073074,-6.16352871,-59.49264092408765,-60.221621889999994,0.0
2mer-0+10,-8.97548749,2,-8.97548749,-69.19710939,0.004459041,4.283,3.215,3.215,0.0994315221905708,-8.97548749,-8.87605596780943,-26.926462470000004,-68.36869689189709,-69.19710938,0.0
2mer-0+7,-0.69553169,2,-0.69553169,-69.89264107,0.004322371,7.072,3.249,3.249,0.0092946058139204,-0.69553169,-0.6862370841860796,-2.08659507,-69.05493397608316,-69.89264107,0.0
2mer-0+8,-1.53140451,2,-1.53140451,-71.42404559,0.002102541,6.66,4.131,4.131,0.0113814771175384,-1.53140451,-1.5200230328824615,-4.59421353,-70.57495700896563,-71.42404558,0.0
2mer-0+21,-1.69055378,2,-1.69055378,-73.11459937,0.001648892,7.682,4.479,4.479,0.0009131079423241,-1.69055378,-1.6896406720576758,-5.0716613399999995,-72.2645976810233,-73.11459936,0.0
2mer-0+23,-0.3100327,2,-0.3100327,-73.42463206,0.001393036,7.803,4.738,4.738,-0.0028254631906747,-0.3100327,-0.3128581631906747,-0.9300980999999999,-72.57745584421397,-73.42463206,0.0
2mer-0+18,-1.74087116,2,-1.74087116,-75.16550322,0.001192246,7.197,4.991,4.991,0.0100389197468757,-1.74087116,-1.7308322402531242,-5.22261348,-74.3082880844671,-75.16550321999999,0.0
2mer-0+19,0.42923286,2,0.42923286,-74.73627036,0.0008603999,7.072,5.564,5.564,0.0042520114220678,0.42923286,0.4334848714220678,1.28769858,-73.87480321304503,-74.73627035999999,0.0
2mer-0+32,-0.14894155,2,-0.14894155,-74.8852119,0.0007874066,8.811,5.731,5.731,0.0039355531334877,-0.14894155,-0.1450059968665123,-0.44682465000000005,-74.01980920991154,-74.88521191,0.0
2mer-0+34,-0.41234815,2,-0.41234815,-75.29756006,0.0007829436,9.215,5.741,5.741,0.0018944666953757,-0.41234815,-0.41045368330462434,-1.23704445,-74.43026289321617,-75.29756006,0.0
