N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-12.46921809,8,-49.87687238,-49.87687238,0.00966271,6.475,2.484,2.484,0.0297116041183471,-49.87687236,-49.75802594352661,-37.40765427,-49.75802594352661,-49.87687238,-37.236704410168265
2mer-0+5,-10.98157788,4,-21.96315576,-71.84002814,0.00794005,6.64,2.653,2.653,-0.0006191382417455,-21.96315576,-21.96439403648349,-32.944733639999995,-71.7224199800101,-71.84002814,0.0
2mer-0+13,-1.30537905,2,-1.30537905,-73.14540719,0.001909289,8.919,4.266,4.266,0.0386390425264835,-1.30537905,-1.2667400074735164,-3.91613715,-72.98915998748362,-73.14540719,0.0
2mer-0+15,-0.85629383,4,-1.71258766,-74.85799484,0.001514838,9.39,4.608,4.608,0.0233348831534385,-1.71258766,-1.6659178936931232,-2.56888149,-74.65507788117674,-74.85799485,0.0
2mer-0+19,-0.24119636,8,-0.96478544,-75.82278029,0.0005622003,11.119,6.412,6.412,-0.0017485525459051,-0.96478544,-0.9717796501836204,-0.72358908,-75.62685753136036,-75.82278029,0.0
2mer-0+23,-0.19552035,8,-0.78208141,-76.60486169,0.0004581592,11.406,6.864,6.864,-0.0012823706492781,-0.7820814,-0.7872108825971125,-0.58656105,-76.41406841395747,-76.60486168999999,0.0
2mer-0+26,-0.20673487,8,-0.82693946,-77.43180115,0.000432603,11.406,6.997,6.997,-0.0023585490416735,-0.82693948,-0.836373676166694,-0.6202046099999999,-77.25044209012415,-77.43180116999999,0.0
2mer-0+43,-0.08475788,8,-0.33903152,-77.77083267,0.0002159451,12.951,8.82,8.82,0.0,-0.33903152,-0.33903152,-0.25427363999999997,-77.58947361012416,-77.77083268999999,0.0
2mer-0+51,-0.07087475,4,-0.1417495,-77.91258218,0.0001956777,13.279,9.115,9.115,0.0,-0.1417495,-0.1417495,-0.21262425000000001,-77.73122311012416,-77.91258219,0.0
2mer-0+55,-0.04689869,8,-0.18759475,-78.10017693,0.0001798615,14.178,9.375,9.375,0.0,-0.18759476,-0.18759476,-0.14069607,-77.91881787012416,-78.10017694999999,0.0
2mer-0+67,-0.03465408,4,-0.06930816,-78.16948509,0.0001438398,14.847,10.1,10.1,0.0,-0.06930816,-0.06930816,-0.10396223999999998,-77.98812603012416,-78.16948511,0.0
2mer-0+63,-0.03537312,8,-0.14149249,-78.31097758,0.0001430019,14.774,10.119,10.119,0.0,-0.14149248,-0.14149248,-0.10611936,-78.12961851012416,-78.31097759,0.0
2mer-0+71,-0.03392866,4,-0.06785732,-78.37883489,0.0001400989,14.847,10.189,10.189,0.0,-0.06785732,-0.06785732,-0.10178598,-78.19747583012416,-78.37883491,0.0
2mer-0+79,-0.02101557,8,-0.08406229,-78.46289718,9.757696e-05,15.997,11.494,11.494,0.0,-0.08406228,-0.08406228,-0.06304671,-78.28153811012416,-78.46289718999999,0.0
2mer-0+87,-0.01438621,8,-0.05754483,-78.52044201,7.629491e-05,17.006,12.477,12.477,0.0,-0.05754484,-0.05754484,-0.04315863,-78.33908295012417,-78.52044203,0.0
2mer-0+88,-0.01448982,8,-0.05795929,-78.5784013,7.488784e-05,17.006,12.554,12.554,0.0,-0.05795928,-0.05795928,-0.04346946,-78.39704223012417,-78.57840131,0.0
2mer-0+95,-0.01286197,8,-0.05144789,-78.62984919,7.291536e-05,17.32,12.667,12.667,0.0,-0.05144788,-0.05144788,-0.03858591,-78.44849011012417,-78.62984919,0.0
2mer-0+102,-0.01296828,8,-0.05187312,-78.68172231,6.881573e-05,17.32,12.913,12.913,0.0,-0.05187312,-0.05187312,-0.03890484,-78.50036323012417,-78.68172231,0.0
2mer-0+110,-0.01204642,8,-0.04818568,-78.72990799,6.706137e-05,17.506,13.025,13.025,0.0,-0.04818568,-0.04818568,-0.03613926,-78.54854891012417,-78.72990799,0.0
2mer-0+116,-0.01209153,8,-0.04836614,-78.77827413,6.609722e-05,17.506,13.088,13.088,0.0,-0.04836612,-0.04836612,-0.036274589999999995,-78.59691503012417,-78.77827411,0.0
2mer-0+121,-0.01109824,2,-0.01109824,-78.78937237,6.609091e-05,17.838,13.088,13.088,0.0,-0.01109824,-0.01109824,-0.03329472,-78.60801327012416,-78.78937235,0.0
2mer-0+139,-0.00789789,4,-0.01579578,-78.80516815,5.422847e-05,18.78,13.981,13.981,0.0,-0.01579578,-0.01579578,-0.02369367,-78.62380905012417,-78.80516813,0.0
2mer-0+137,-0.00730618,8,-0.02922472,-78.83439287,5.073588e-05,19.033,14.294,14.294,0.0,-0.02922472,-0.02922472,-0.02191854,-78.65303377012417,-78.83439285,0.0
2mer-0+153,-0.00561456,8,-0.02245824,-78.85685111,4.392608e-05,19.865,14.998,14.998,0.0,-0.02245824,-0.02245824,-0.01684368,-78.67549201012417,-78.85685109,0.0
2mer-0+149,-0.00638448,8,-0.02553793,-78.88238904,4.166533e-05,19.426,15.264,15.264,0.0,-0.02553792,-0.02553792,-0.01915344,-78.70102993012418,-78.88238901000001,0.0
2mer-0+157,-0.00553783,8,-0.02215132,-78.90454036,4.05751e-05,19.865,15.4,15.4,0.0,-0.02215132,-0.02215132,-0.016613489999999998,-78.72318125012418,-78.90454033000002,0.0
2mer-0+165,-0.00511891,8,-0.02047564,-78.92501599,4.00824e-05,20.158,15.463,15.463,0.0,-0.02047564,-0.02047564,-0.015356729999999999,-78.74365689012419,-78.92501597000002,0.0
2mer-0+176,-0.0054663,4,-0.01093259,-78.93594859,3.850844e-05,19.919,15.67,15.67,0.0,-0.0109326,-0.0109326,-0.0163989,-78.75458949012419,-78.93594857000002,0.0
2mer-0+185,-0.00425709,8,-0.01702835,-78.95297694,3.481149e-05,20.79,16.207,16.207,0.0,-0.01702836,-0.01702836,-0.01277127,-78.77161785012419,-78.95297693000002,0.0
2mer-0+191,-0.00401529,4,-0.00803059,-78.96100753,3.445086e-05,20.997,16.263,16.263,0.0,-0.00803058,-0.00803058,-0.01204587,-78.77964843012418,-78.96100751000002,0.0
2mer-0+196,-0.0039755,4,-0.007951,-78.96895852,3.257152e-05,20.997,16.57,16.57,0.0,-0.007951,-0.007951,-0.0119265,-78.78759943012419,-78.96895851000002,0.0
2mer-0+201,-0.00340673,8,-0.01362692,-78.98258544,3.149733e-05,21.576,16.756,16.756,0.0,-0.01362692,-0.01362692,-0.01022019,-78.80122635012418,-78.98258543000001,0.0
2mer-0+207,-0.00315863,8,-0.01263452,-78.99521996,2.89538e-05,21.825,17.233,17.233,0.0,-0.01263452,-0.01263452,-0.00947589,-78.81386087012419,-78.99521995000002,0.0
2mer-0+206,-0.00341684,8,-0.01366736,-79.00888732,2.833168e-05,21.576,17.358,17.358,0.0,-0.01366736,-0.01366736,-0.010250519999999999,-78.82752823012419,-79.00888731000002,0.0
2mer-0+220,-0.00286297,8,-0.01145186,-79.02033918,2.752666e-05,22.238,17.526,17.526,0.0,-0.01145188,-0.01145188,-0.00858891,-78.83898011012418,-79.02033919000002,0.0
2mer-0+230,-0.00255162,8,-0.01020647,-79.03054566,2.582112e-05,22.786,17.904,17.904,0.0,-0.01020648,-0.01020648,-0.00765486,-78.84918659012418,-79.03054567000001,0.0
2mer-0+238,-0.00247952,8,-0.00991809,-79.04046374,2.478197e-05,22.812,18.151,18.151,0.0,-0.00991808,-0.00991808,-0.0074385599999999994,-78.85910467012418,-79.04046375000001,0.0
2mer-0+237,-0.00247454,8,-0.00989815,-79.05036189,2.453852e-05,22.812,18.21,18.21,0.0,-0.00989816,-0.00989816,-0.00742362,-78.86900283012419,-79.05036191000002,0.0
2mer-0+256,-0.00225976,8,-0.00903903,-79.05940092,2.290083e-05,23.208,18.634,18.634,0.0,-0.00903904,-0.00903904,-0.00677928,-78.87804187012419,-79.05940095000003,0.0
2mer-0+261,-0.00225303,8,-0.0090121,-79.06841302,2.213107e-05,23.208,18.848,18.848,0.0,-0.00901212,-0.00901212,-0.006759090000000001,-78.88705399012419,-79.06841307000002,0.0
2mer-0+265,-0.00207622,8,-0.00830487,-79.07671789,2.147559e-05,23.531,19.038,19.038,0.0,-0.00830488,-0.00830488,-0.0062286600000000004,-78.89535887012418,-79.07671795000002,0.0
2mer-0+266,-0.00209004,8,-0.00836017,-79.08507806,2.125031e-05,23.531,19.105,19.105,0.0,-0.00836016,-0.00836016,-0.0062701200000000006,-78.90371903012418,-79.08507811000001,0.0
2mer-0+291,-0.0018905,4,-0.003781,-79.08885906,2.114509e-05,23.94,19.137,19.137,0.0,-0.003781,-0.003781,-0.0056715,-78.90750003012418,-79.08885911000002,0.0
2mer-0+282,-0.00193145,8,-0.00772581,-79.09658487,2.096084e-05,23.895,19.193,19.193,0.0,-0.0077258,-0.0077258,-0.00579435,-78.91522583012419,-79.09658491000002,0.0
2mer-0+298,-0.00189957,4,-0.00379913,-79.10038401,2.068843e-05,23.94,19.276,19.276,0.0,-0.00379914,-0.00379914,-0.00569871,-78.91902497012418,-79.10038405000002,0.0
2mer-0+290,-0.00192148,8,-0.00768592,-79.10806993,2.007166e-05,23.895,19.472,19.472,0.0,-0.00768592,-0.00768592,-0.00576444,-78.92671089012418,-79.10806997000002,0.0
2mer-0+304,-0.00190544,8,-0.00762176,-79.11569169,1.998526e-05,23.895,19.5,19.5,0.0,-0.00762176,-0.00762176,-0.00571632,-78.93433265012419,-79.11569173000002,0.0
