N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-12.25833606,8,-49.03334425,-49.03334425,0.00966271,6.475,2.484,2.484,1.7702453136444092,-49.03334424,-41.95236298542236,-36.77500818,-41.95236298542236,-49.03334425,-37.236704410168265
2mer-0+5,-11.00002502,4,-22.00005004,-71.03339429,0.00794005,6.64,2.653,2.653,1.8466063737869265,-22.00005004,-18.30683729242615,-33.00007506,-60.25920027784851,-71.03339429,0.0
2mer-0+13,-1.50371717,2,-1.50371717,-72.53711146,0.001909289,8.919,4.266,4.266,0.341568112373352,-1.50371717,-1.162149057626648,-4.51115151,-61.421349335475156,-72.53711146,0.0
2mer-0+15,-0.90711296,4,-1.81422592,-74.35133737,0.001514838,9.39,4.608,4.608,0.290146917104721,-1.81422592,-1.233932085790558,-2.72133888,-62.65528142126571,-74.35133738,0.0
2mer-0+19,-0.23827295,8,-0.95309179,-75.30442917,0.0005622003,11.119,6.412,6.412,0.0484319627285003,-0.9530918,-0.7593639490859989,-0.71481885,-63.414645370351714,-75.30442918,0.0
2mer-0+23,-0.19458196,8,-0.77832785,-76.08275702,0.0004581592,11.406,6.864,6.864,0.0328443013131618,-0.77832784,-0.6469506347473528,-0.5837458799999999,-64.06159600509906,-76.08275702,0.0
2mer-0+26,-0.20383229,8,-0.81532918,-76.8980862,0.000432603,11.406,6.997,6.997,0.02941170707345,-0.81532916,-0.6976823317062,-0.61149687,-64.75927833680527,-76.89808618,0.0
2mer-0+43,-0.08534001,8,-0.34136003,-77.23944623,0.0002159451,12.951,8.82,8.82,0.0,-0.34136004,-0.34136004,-0.25602002999999995,-65.10063837680526,-77.23944622,0.0
2mer-0+51,-0.07166176,4,-0.14332351,-77.38276974,0.0001956777,13.279,9.115,9.115,0.0,-0.14332352,-0.14332352,-0.21498528,-65.24396189680526,-77.38276974,0.0
2mer-0+55,-0.04715867,8,-0.18863468,-77.57140442,0.0001798615,14.178,9.375,9.375,0.0,-0.18863468,-0.18863468,-0.14147600999999999,-65.43259657680527,-77.57140442000001,0.0
2mer-0+67,-0.03492213,4,-0.06984427,-77.64124869,0.0001438398,14.847,10.1,10.1,0.0,-0.06984426,-0.06984426,-0.10476639000000001,-65.50244083680526,-77.64124868,0.0
2mer-0+63,-0.03570055,8,-0.14280222,-77.78405091,0.0001430019,14.774,10.119,10.119,0.0,-0.1428022,-0.1428022,-0.10710164999999999,-65.64524303680527,-77.78405088000001,0.0
2mer-0+71,-0.03432143,4,-0.06864285,-77.85269376,0.0001400989,14.847,10.189,10.189,0.0,-0.06864286,-0.06864286,-0.10296429,-65.71388589680527,-77.85269374,0.0
2mer-0+79,-0.02101503,8,-0.08406011,-77.93675387,9.757696e-05,15.997,11.494,11.494,0.0,-0.08406012,-0.08406012,-0.06304509,-65.79794601680527,-77.93675386000001,0.0
2mer-0+87,-0.01434368,8,-0.05737473,-77.9941286,7.629491e-05,17.006,12.477,12.477,0.0,-0.05737472,-0.05737472,-0.04303104,-65.85532073680527,-77.99412858000001,0.0
2mer-0+88,-0.01433174,8,-0.05732695,-78.05145555,7.488784e-05,17.006,12.554,12.554,0.0,-0.05732696,-0.05732696,-0.04299522,-65.91264769680527,-78.05145554,0.0
2mer-0+95,-0.01274705,8,-0.0509882,-78.10244375,7.291536e-05,17.32,12.667,12.667,0.0,-0.0509882,-0.0509882,-0.03824115,-65.96363589680527,-78.10244374000001,0.0
2mer-0+102,-0.01279657,8,-0.05118627,-78.15363002,6.881573e-05,17.32,12.913,12.913,0.0,-0.05118628,-0.05118628,-0.03838971,-66.01482217680527,-78.15363002000001,0.0
2mer-0+110,-0.01190614,8,-0.04762455,-78.20125458,6.706137e-05,17.506,13.025,13.025,0.0,-0.04762456,-0.04762456,-0.03571842,-66.06244673680527,-78.20125458000001,0.0
2mer-0+116,-0.0119057,8,-0.04762278,-78.24887736,6.609722e-05,17.506,13.088,13.088,0.0,-0.0476228,-0.0476228,-0.0357171,-66.11006953680527,-78.24887738000001,0.0
2mer-0+121,-0.01088054,2,-0.01088054,-78.2597579,6.609091e-05,17.838,13.088,13.088,0.0,-0.01088054,-0.01088054,-0.032641619999999996,-66.12095007680527,-78.25975792000001,0.0
2mer-0+139,-0.00775796,4,-0.01551592,-78.27527382,5.422847e-05,18.78,13.981,13.981,0.0,-0.01551592,-0.01551592,-0.02327388,-66.13646599680527,-78.27527384000001,0.0
2mer-0+137,-0.00719796,8,-0.02879184,-78.30406566,5.073588e-05,19.033,14.294,14.294,0.0,-0.02879184,-0.02879184,-0.02159388,-66.16525783680527,-78.30406568000001,0.0
2mer-0+153,-0.00551996,8,-0.02207984,-78.32614551,4.392608e-05,19.865,14.998,14.998,0.0,-0.02207984,-0.02207984,-0.01655988,-66.18733767680527,-78.32614552000001,0.0
2mer-0+149,-0.00627833,8,-0.02511332,-78.35125883,4.166533e-05,19.426,15.264,15.264,0.0,-0.02511332,-0.02511332,-0.018834990000000003,-66.21245099680527,-78.35125884000001,0.0
2mer-0+157,-0.00548974,8,-0.02195897,-78.3732178,4.05751e-05,19.865,15.4,15.4,0.0,-0.02195896,-0.02195896,-0.01646922,-66.23440995680528,-78.37321780000002,0.0
2mer-0+165,-0.00507808,8,-0.02031232,-78.39353012,4.00824e-05,20.158,15.463,15.463,0.0,-0.02031232,-0.02031232,-0.01523424,-66.25472227680528,-78.39353012000002,0.0
2mer-0+176,-0.00539612,4,-0.01079225,-78.40432237,3.850844e-05,19.919,15.67,15.67,0.0,-0.01079224,-0.01079224,-0.01618836,-66.26551451680528,-78.40432236000002,0.0
2mer-0+185,-0.00417552,8,-0.01670207,-78.42102444,3.481149e-05,20.79,16.207,16.207,0.0,-0.01670208,-0.01670208,-0.01252656,-66.28221659680528,-78.42102444000002,0.0
2mer-0+191,-0.00396871,4,-0.00793742,-78.42896185,3.445086e-05,20.997,16.263,16.263,0.0,-0.00793742,-0.00793742,-0.011906130000000001,-66.29015401680529,-78.42896186000003,0.0
2mer-0+196,-0.00394436,4,-0.00788872,-78.43685057,3.257152e-05,20.997,16.57,16.57,0.0,-0.00788872,-0.00788872,-0.01183308,-66.29804273680529,-78.43685058000003,0.0
2mer-0+201,-0.00337303,8,-0.01349211,-78.45034268,3.149733e-05,21.576,16.756,16.756,0.0,-0.01349212,-0.01349212,-0.01011909,-66.31153485680528,-78.45034270000002,0.0
2mer-0+207,-0.00315354,8,-0.01261415,-78.46295682,2.89538e-05,21.825,17.233,17.233,0.0,-0.01261416,-0.01261416,-0.00946062,-66.32414901680528,-78.46295686000002,0.0
2mer-0+206,-0.0033772,8,-0.01350878,-78.4764656,2.833168e-05,21.576,17.358,17.358,0.0,-0.0135088,-0.0135088,-0.0101316,-66.33765781680528,-78.47646566000002,0.0
2mer-0+220,-0.00284944,8,-0.01139778,-78.48786338,2.752666e-05,22.238,17.526,17.526,0.0,-0.01139776,-0.01139776,-0.00854832,-66.34905557680527,-78.48786342000001,0.0
2mer-0+230,-0.00250446,8,-0.01001784,-78.49788122,2.582112e-05,22.786,17.904,17.904,0.0,-0.01001784,-0.01001784,-0.00751338,-66.35907341680527,-78.49788126000001,0.0
2mer-0+238,-0.00244529,8,-0.00978118,-78.5076624,2.478197e-05,22.812,18.151,18.151,0.0,-0.00978116,-0.00978116,-0.00733587,-66.36885457680528,-78.50766242000002,0.0
2mer-0+237,-0.00244508,8,-0.00978032,-78.51744272,2.453852e-05,22.812,18.21,18.21,0.0,-0.00978032,-0.00978032,-0.00733524,-66.37863489680528,-78.51744274000002,0.0
2mer-0+256,-0.00223043,8,-0.00892171,-78.52636443,2.290083e-05,23.208,18.634,18.634,0.0,-0.00892172,-0.00892172,-0.006691289999999999,-66.38755661680528,-78.52636446000002,0.0
2mer-0+261,-0.00223434,8,-0.00893736,-78.53530179,2.213107e-05,23.208,18.848,18.848,0.0,-0.00893736,-0.00893736,-0.0067030200000000005,-66.39649397680529,-78.53530182000003,0.0
