N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+7,-10.78059234,6,-32.34177703,-32.34177703,0.01035114,3.418,2.428,2.428,0.0849927961826324,-32.34177702,-32.086798631452105,-32.34177702,-32.086798631452105,-32.34177703,-31.9910674
2mer-0+1,-0.59782859,6,-1.79348577,-34.1352628,0.008552206,3.883,2.588,2.588,-0.0189406033605337,-1.79348577,-1.8503075800816011,-1.79348577,-33.9371062115337,-34.1352628,0.0
2mer-0+13,-0.70615559,6,-2.11846676,-36.25372955,0.002413713,5.13,3.945,3.945,0.0253370553255081,-2.1184667700000004,-2.042455604023476,-2.1184667700000004,-35.979561815557176,-36.25372957,0.0
2mer-0+25,-0.56292681,6,-1.68878043,-37.94250998,0.001389709,6.165,4.742,4.742,0.007182041183114,-1.68878043,-1.6672343064506578,-1.68878043,-37.646796122007835,-37.94251,0.0
2mer-0+19,-0.03171669,6,-0.09515007,-38.03766005,0.001177252,6.434,5.012,5.012,0.0022442480549216,-0.09515007,-0.0884173258352352,-0.09515007,-37.73521344784307,-38.03766007,0.0
2mer-0+16,0.21645422,6,0.64936266,-37.38829739,0.0010229,6.692,5.252,5.252,-0.000208907367778,0.64936266,0.648735937896666,0.64936266,-37.086477509946405,-37.38829741,0.0
2mer-0+43,0.73846323,6,2.21538968,-35.1729077,0.0008634158,5.883,5.557,5.557,0.0059737963601946,2.2153896900000003,2.233311079080584,2.2153896900000003,-34.85316643086582,-35.17290772,0.0
2mer-0+40,0.37757141,6,1.13271422,-34.04019348,0.0007499443,7.256,5.824,5.824,0.0017684414051473,1.13271423,1.1380195542154419,1.13271423,-33.71514687665038,-34.04019349,0.0
2mer-0+34,-0.41514288,6,-1.24542864,-35.28562213,0.0005466677,7.256,6.472,6.472,0.0063045294955372,-1.24542864,-1.2265150515133882,-1.24542864,-34.94166192816377,-35.28562213,0.0
2mer-0+61,-0.38905144,6,-1.16715432,-36.45277644,0.0004863604,8.02,6.729,6.729,0.0011478351661935,-1.16715432,-1.1637108145014197,-1.16715432,-36.10537274266519,-36.45277645,0.0
2mer-0+80,0.0175921,6,0.05277629,-36.40000015,0.0004665696,7.806,6.823,6.823,0.0012683022068813,0.0527763,0.05658120662064389,0.0527763,-36.04879153604455,-36.400000150000004,0.0
2mer-0+46,0.10825056,6,0.32475167,-36.07524848,0.0004140415,8.433,7.1,7.1,-0.0004749204963445,0.32475168,0.3233269185109665,0.32475168,-35.72546461753358,-36.075248470000005,0.0
2mer-0+49,-0.14074906,6,-0.42224717,-36.49749565,0.0004023541,8.229,7.168,7.168,0.0001453013246646,-0.42224718000000006,-0.42181127602600627,-0.42224718000000006,-36.14727589355959,-36.497495650000005,0.0
2mer-0+68,0.10887878,6,0.32663635,-36.1708593,0.0003644116,8.886,7.409,7.409,-0.0008760073687881,0.32663633999999997,0.3240083178936357,0.32663633999999997,-35.82326757566595,-36.170859310000004,0.0
