N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+7,-15.82448845,6,-47.47346536,-47.47346536,0.01035114,3.418,2.428,2.428,-0.052628967911005,-47.47346535,-47.63135225373301,-47.47346535,-47.63135225373301,-47.47346536,-31.9910674
2mer-0+1,-1.78553002,6,-5.35659005,-52.83005541,0.008552206,3.883,2.588,2.588,0.0120557118207216,-5.35659006,-5.320422924537835,-5.35659006,-52.95177517827085,-52.83005542,0.0
2mer-0+13,-0.71958457,6,-2.1587537,-54.98880911,0.002413713,5.13,3.945,3.945,-0.0205539613962173,-2.15875371,-2.220415594188652,-2.15875371,-55.1721907724595,-54.98880913,0.0
2mer-0+25,-0.72895245,6,-2.18685736,-57.17566647,0.001389709,6.165,4.742,4.742,-0.012109993956983,-2.18685735,-2.2231873318709487,-2.18685735,-57.39537810433045,-57.17566648,0.0
2mer-0+19,-0.08573451,6,-0.25720354,-57.43287001,0.001177252,6.434,5.012,5.012,-0.0111503219231963,-0.25720353,-0.2906544957695889,-0.25720353,-57.686032600100035,-57.432870009999995,0.0
2mer-0+16,0.45275025,6,1.35825074,-56.07461927,0.0010229,6.692,5.252,5.252,-0.0099313231185078,1.35825075,1.3284567806444767,1.35825075,-56.357575819455555,-56.07461925999999,0.0
2mer-0+43,1.0653176,6,3.19595281,-52.87866647,0.0008634158,5.883,5.557,5.557,-0.0165053643286228,3.1959527999999997,3.1464367070141313,3.1959527999999997,-53.21113911244142,-52.87866645999999,0.0
2mer-0+40,0.56236357,6,1.6870907,-51.19157576,0.0007499443,7.256,5.824,5.824,-0.0045090275816619,1.68709071,1.6735636272550143,1.68709071,-51.53757548518641,-51.19157574999999,0.0
2mer-0+34,-0.61668348,6,-1.85005043,-53.04162619,0.0005466677,7.256,6.472,6.472,-0.0063190087676048,-1.85005044,-1.8690074663028144,-1.85005044,-53.40658295148922,-53.04162618999999,0.0
2mer-0+61,-0.5763129,6,-1.72893869,-54.77056488,0.0004863604,8.02,6.729,6.729,-0.0029247396159917,-1.7289387,-1.7377129188479752,-1.7289387,-55.144295870337196,-54.77056488999999,0.0
