N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-6.20422968,4,-12.40845937,-12.40845937,0.009001449,5.986,2.544,2.544,-0.022030934691429138
2mer-0+2,-7.78894153,4,-15.57788306,-27.98634243,0.008127517,5.812,2.632,2.632,0.005747988820075989
2mer-0+6,-11.6680205,4,-23.33604099,-51.32238342,0.007702494,5.025,2.68,2.68,0.023143816739320755
2mer-0+16,-1.84254135,2,-1.84254135,-53.16492477,0.001412501,6.81,4.716,4.716,-0.0015510207740589976
2mer-0+5,-0.26372456,2,-0.26372456,-53.42864933,0.001216975,9.42,4.956,4.956,0.0034128972329199314
2mer-0+21,-1.16838754,2,-1.16838754,-54.59703687,0.001144258,7.39,5.059,5.059,-0.0026274530682712793
2mer-0+12,-0.29782969,4,-0.59565938,-55.19269625,0.001080953,9.402,5.156,5.156,0.0006698780925944448
2mer-0+14,-0.40010873,4,-0.80021746,-55.9929137,0.0009506992,9.067,5.382,5.382,0.0004424403887242079
2mer-0+37,-0.08876677,2,-0.08876677,-56.08168047,0.0008840221,10.049,5.514,5.514,-0.0001361783652100712
2mer-0+15,-0.26106064,4,-0.52212128,-56.60380175,0.0006261051,9.067,6.186,6.186,0.0022680729161947966
2mer-0+8,-0.1131073,4,-0.2262146,-56.83001634,0.0006236921,10.676,6.194,6.194,-0.0008878559456206858
2mer-0+10,-0.11284236,4,-0.22568472,-57.05570106,0.0004827827,10.676,6.746,6.746,-0.00045360944932326674
2mer-0+27,-0.17956318,4,-0.35912635,-57.41482742,0.0003528237,9.402,7.489,7.489,0.00011526969319675118
2mer-0+18,-0.04174112,2,-0.04174112,-57.45656854,0.0003523333,11.624,7.492,7.492,-0.0015111358370631933
2mer-0+22,-0.03920059,2,-0.03920059,-57.49576913,0.0003505125,11.973,7.505,7.505,-0.00047491173609159887
2mer-0+45,-0.05854278,4,-0.11708555,-57.61285468,0.0002987386,10.863,7.916,7.916,3.060149902012199e-05
2mer-0+40,-0.10770311,4,-0.21540622,-57.8282609,0.0002902837,11.249,7.992,7.992,2.5101091523538344e-05
2mer-0+60,-0.03724817,4,-0.07449635,-57.90275725,0.0002569059,11.596,8.324,8.324,0.0
2mer-0+26,-0.0892085,2,-0.0892085,-57.99196575,0.0002364929,11.624,8.557,8.557,0.0
2mer-0+43,-0.01212747,4,-0.02425495,-58.01622069,0.0002333832,12.044,8.595,8.595,0.0
2mer-0+59,-0.01003651,4,-0.02007302,-58.03629371,0.0002207595,13.459,8.756,8.756,0.0
2mer-0+32,-0.07934591,2,-0.07934591,-58.11563962,0.0002142829,11.973,8.843,8.843,0.0
2mer-0+44,-0.009717,2,-0.009717,-58.12535662,0.0002040349,13.774,8.989,8.989,0.0
2mer-0+39,-0.00788857,2,-0.00788857,-58.13324518,0.0001695377,13.774,9.561,9.561,0.0
2mer-0+55,0.01708047,2,0.01708047,-58.11616471,0.0001624869,10.049,9.698,9.698,0.0
2mer-0+33,-0.00502982,4,-0.01005964,-58.12622435,0.0001476099,14.534,10.013,10.013,0.0
2mer-0+47,-0.03383142,2,-0.03383142,-58.16005577,0.0001472482,13.774,10.021,10.021,0.0
2mer-0+34,-0.0144259,4,-0.0288518,-58.18890757,0.0001431179,14.605,10.117,10.117,0.0
2mer-0+64,-0.02063772,4,-0.04127543,-58.230183,0.0001306538,13.836,10.429,10.429,0.0
2mer-0+54,-0.0092613,4,-0.0185226,-58.2487056,0.0001303341,14.378,10.437,10.437,0.0
2mer-0+58,-0.01291035,4,-0.02582071,-58.27452631,0.0001194838,14.94,10.744,10.744,0.0
2mer-0+52,-0.02206591,4,-0.04413183,-58.31865814,0.0001163359,14.378,10.84,10.84,0.0
2mer-0+98,-0.0367565,2,-0.0367565,-58.35541463,0.0001145894,13.62,10.895,10.895,0.0
2mer-0+77,-0.03153758,4,-0.06307516,-58.41848979,0.0001108473,13.836,11.016,11.016,0.0
2mer-0+95,-0.01079401,4,-0.02158802,-58.44007781,0.0001069138,14.878,11.15,11.15,0.0
2mer-0+132,-0.00704989,2,-0.00704989,-58.4471277,0.0001023768,15.496,11.312,11.312,0.0
2mer-0+80,-0.0035758,4,-0.00715161,-58.45427931,9.688024e-05,14.94,11.522,11.522,0.0
2mer-0+57,-0.00555732,4,-0.01111464,-58.46539395,9.587804e-05,16.115,11.562,11.562,0.0
2mer-0+129,-0.0228125,2,-0.0228125,-58.48820645,9.370198e-05,14.78,11.651,11.651,0.0
2mer-0+94,-0.00110192,4,-0.00220384,-58.49041028,9.361866e-05,14.878,11.654,11.654,0.0
2mer-0+63,-0.00197909,4,-0.00395818,-58.49436847,9.064675e-05,16.305,11.78,11.78,0.0
2mer-0+153,-0.00724474,2,-0.00724474,-58.50161321,8.893838e-05,16.273,11.855,11.855,0.0
2mer-0+88,-0.00201154,4,-0.00402308,-58.50563629,8.367519e-05,13.459,12.099,12.099,0.0
2mer-0+104,-0.01418938,4,-0.02837877,-58.53401505,8.351303e-05,15.882,12.106,12.106,0.0
2mer-0+82,-0.00931181,2,-0.00931181,-58.54332686,8.011105e-05,13.774,12.275,12.275,0.0
2mer-0+71,-0.0075615,4,-0.01512299,-58.55844985,7.985817e-05,16.115,12.288,12.288,0.0
2mer-0+102,-0.00945941,2,-0.00945941,-58.56790927,7.947901e-05,16.56,12.308,12.308,0.0
2mer-0+74,-0.01108174,4,-0.02216349,-58.59007276,7.688576e-05,16.305,12.445,12.445,0.0
2mer-0+119,-0.02221595,4,-0.04443191,-58.63450466,7.620951e-05,15.074,12.481,12.481,0.0
2mer-0+147,0.00045282,2,0.00045282,-58.63405184,6.338558e-05,18.134,13.272,13.272,0.0
2mer-0+127,-0.00932981,4,-0.01865962,-58.65271146,6.052864e-05,15.882,13.478,13.478,0.0
2mer-0+89,-0.0066795,4,-0.013359,-58.66607046,6.007389e-05,17.436,13.512,13.512,0.0
2mer-0+116,-0.00540508,4,-0.01081017,-58.67688063,5.829474e-05,17.775,13.648,13.648,0.0
2mer-0+113,-0.01123245,2,-0.01123245,-58.68811308,5.7461e-05,16.56,13.713,13.713,0.0
2mer-0+137,-0.00438566,2,-0.00438566,-58.69249874,5.704305e-05,18.134,13.747,13.747,0.0
2mer-0+123,-0.0069734,2,-0.0069734,-58.69947214,5.625858e-05,17.527,13.81,13.81,0.0
2mer-0+106,-0.00394927,4,-0.00789854,-58.70737069,5.520033e-05,17.959,13.898,13.898,0.0
2mer-0+173,-0.00090186,4,-0.00180372,-58.70917441,5.328932e-05,18.574,14.062,14.062,0.0
2mer-0+145,-0.00057892,2,-0.00057892,-58.70975334,5.178484e-05,18.803,14.197,14.197,0.0
2mer-0+93,-0.00165571,2,-0.00165571,-58.71140905,5.16271e-05,18.84,14.212,14.212,0.0
2mer-0+195,0.00089044,4,0.00178087,-58.70962817,5.071315e-05,17.421,14.296,14.296,0.0
2mer-0+183,-0.00815502,4,-0.01631005,-58.72593822,4.986371e-05,17.665,14.377,14.377,0.0
2mer-0+170,0.00102602,2,0.00102602,-58.7249122,4.976511e-05,15.496,14.387,14.387,0.0
2mer-0+121,-0.00010008,4,-0.00020016,-58.72511235,4.854035e-05,18.937,14.507,14.507,0.0
2mer-0+155,-0.00905244,2,-0.00905244,-58.7341648,4.797668e-05,17.527,14.563,14.563,0.0
2mer-0+185,-0.00441082,2,-0.00441082,-58.73857561,4.710875e-05,18.803,14.652,14.652,0.0
2mer-0+109,-0.0018595,4,-0.00371899,-58.7422946,4.675616e-05,19.499,14.689,14.689,0.0
2mer-0+136,-0.00210689,4,-0.00421379,-58.74650839,4.651702e-05,19.207,14.714,14.714,0.0
2mer-0+215,-0.0028814,4,-0.0057628,-58.75227119,4.556939e-05,19.148,14.815,14.815,0.0
2mer-0+143,-0.00827809,4,-0.01655617,-58.76882736,4.444464e-05,17.775,14.939,14.939,0.0
2mer-0+196,-0.00045597,2,-0.00045597,-58.76928334,4.429399e-05,16.273,14.956,14.956,0.0
2mer-0+166,-0.00721732,4,-0.01443464,-58.78371797,4.362766e-05,18.181,15.032,15.032,0.0
2mer-0+161,-0.00759511,2,-0.00759511,-58.79131308,4.233111e-05,18.134,15.184,15.184,0.0
2mer-0+135,0.00025802,2,0.00025802,-58.79105507,4.146952e-05,20.238,15.288,15.288,0.0
2mer-0+233,0.00015181,4,0.00030363,-58.79075144,4.138575e-05,18.786,15.299,15.299,0.0
2mer-0+125,-0.00229159,4,-0.00458317,-58.79533461,4.049275e-05,19.499,15.41,15.41,0.0
2mer-0+273,0.00058925,2,0.00058925,-58.79474536,4.033339e-05,20.099,15.43,15.43,0.0
2mer-0+180,-0.00592342,2,-0.00592342,-58.80066878,3.950664e-05,18.803,15.537,15.537,0.0
2mer-0+159,-0.00175753,4,-0.00351505,-58.80418383,3.93334e-05,19.97,15.56,15.56,0.0
2mer-0+214,0.00137127,4,0.00274254,-58.80144129,3.924758e-05,19.066,15.571,15.571,0.0
2mer-0+182,-0.00750492,4,-0.01500984,-58.81645113,3.871885e-05,18.181,15.642,15.642,0.0
2mer-0+141,0.00041277,2,0.00041277,-58.81603836,3.83914e-05,20.033,15.686,15.686,0.0
2mer-0+150,-0.00604305,4,-0.01208611,-58.82812447,3.8029e-05,18.937,15.736,15.736,0.0
2mer-0+144,-0.00351614,2,-0.00351614,-58.83164061,3.734765e-05,20.033,15.831,15.831,0.0
2mer-0+148,-0.00451554,4,-0.00903109,-58.8406717,3.716021e-05,19.207,15.858,15.858,0.0
2mer-0+211,-4.68e-06,4,-9.36e-06,-58.84068105,3.709499e-05,19.805,15.867,15.867,0.0
