N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-25.7370066,2,-25.7370066,-25.7370066,0.01548962,4.966,2.123,2.123,0.0225395467132329,-25.7370066,-25.714467053286768,-77.2110198,-25.714467053286768,-25.7370066,-24.28562425
2mer-0+1,-31.32615481,2,-31.32615481,-57.06316141,0.01363123,3.887,2.215,2.215,0.084954060614109,-31.32615481,-31.24120074938589,-93.97846443,-56.95566780267266,-57.06316141,0.0
2mer-0+3,-14.36282675,2,-14.36282675,-71.42598816,0.007481511,5.021,2.706,2.706,0.0458048358559608,-14.36282675,-14.31702191414404,-43.08848025,-71.2726897168167,-71.42598816,0.0
2mer-0+23,2.18439271,2,2.18439271,-69.24159546,0.006778146,5.651,2.796,2.796,-0.0201940685510635,2.18439271,2.1641986414489365,6.55317813,-69.10849107536777,-69.24159545,0.0
2mer-0+7,7.39239417,2,7.39239417,-61.84920128,0.006107412,3.631,2.895,2.895,-0.050644464790821,7.39239417,7.341749705209179,22.17718251,-61.766741370158584,-61.84920128,0.0
2mer-0+14,-5.13883218,1,-2.56941609,-64.41861737,0.004963174,4.606,3.102,3.102,-0.1380673050880432,-2.56941609,-2.6384497425440214,-15.416496539999999,-64.40519111270261,-64.41861737,0.0
2mer-0+5,-19.87661349,2,-19.87661349,-84.29523086,0.004000954,3.478,3.333,3.333,0.0344936773180961,-19.87661349,-19.842119812681904,-59.629840470000005,-84.24731092538451,-84.29523086,0.0
2mer-0+4,10.55909413,1,5.27954706,-79.0156838,0.003728561,5.653,3.413,3.413,0.2427126169204712,5.279547065,5.400903373460236,31.677282390000002,-78.84640755192427,-79.015683795,0.0
2mer-0+47,4.37905867,1,2.18952933,-76.82615446,0.003232142,6.977,3.579,3.579,0.016351219266653,2.189529335,2.1977049446333266,13.137176010000001,-76.64870260729094,-76.82615446,0.0
2mer-0+40,-1.91970186,1,-0.95985093,-77.78600539,0.00170911,6.447,4.426,4.426,0.0256301667541265,-0.95985093,-0.9470358466229367,-5.75910558,-77.59573845391388,-77.78600539,0.0
