N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-26.33974375,2,-26.33974375,-26.33974375,0.01548962,4.966,2.123,2.123,0.2924988865852356,-26.33974375,-26.047244863414765,-79.01923125,-26.047244863414765,-26.33974375,-24.28562425
2mer-0+1,-31.43423497,2,-31.43423497,-57.77397872,0.01363123,3.887,2.215,2.215,0.3327372968196869,-31.43423497,-31.10149767318031,-94.30270490999999,-57.14874253659508,-57.77397872,0.0
2mer-0+3,-14.8498547,2,-14.8498547,-72.62383342,0.007481511,5.021,2.706,2.706,0.2173856943845749,-14.8498547,-14.632469005615425,-44.5495641,-71.7812115422105,-72.62383342,0.0
2mer-0+23,1.6314261,2,1.6314261,-70.99240732,0.006778146,5.651,2.796,2.796,0.2810933887958526,1.6314261,1.9125194887958528,4.8942783,-69.86869205341465,-70.99240732,0.0
2mer-0+7,7.03784126,2,7.03784126,-63.95456606,0.006107412,3.631,2.895,2.895,0.3036935925483703,7.03784126,7.341534852548371,21.11352378,-62.52715720086628,-63.95456606,0.0
2mer-0+14,-5.87858034,1,-2.93929017,-66.89385623,0.004963174,4.606,3.102,3.102,0.3273715674877167,-2.93929017,-2.7756043862561417,-17.63574102,-65.30276158712242,-66.89385623,0.0
2mer-0+5,-19.92409728,2,-19.92409728,-86.81795351,0.004000954,3.478,3.333,3.333,0.216988056898117,-19.92409728,-19.707109223101885,-59.77229184000001,-85.0098708102243,-86.81795351,0.0
2mer-0+4,9.38417544,1,4.69208772,-82.12586579,0.003728561,5.653,3.413,3.413,0.0352038405835628,4.69208772,4.709689640291781,28.15252632,-80.30018116993251,-82.12586578999999,0.0
2mer-0+47,4.29015024,1,2.14507512,-79.98079067,0.003232142,6.977,3.579,3.579,0.1554144322872162,2.14507512,2.222782336143608,12.870450720000001,-78.0773988337889,-79.98079066999999,0.0
2mer-0+40,-1.96461921,1,-0.98230961,-80.96310028,0.00170911,6.447,4.426,4.426,0.0953638181090354,-0.982309605,-0.9346276959454822,-5.893857629999999,-79.01202652973438,-80.96310027499999,0.0
2mer-0+8,-2.54791326,2,-2.54791326,-83.51101354,0.001679397,6.456,4.452,4.452,0.0477946549654006,-2.54791326,-2.5001186050345994,-7.643739780000001,-81.51214513476899,-83.51101353499999,0.0
2mer-0+21,3.43938056,2,3.43938056,-80.07163297,0.0009520345,6.312,5.379,5.379,0.072868101298809,3.43938056,3.512248661298809,10.31814168,-77.99989647347017,-80.07163297499999,0.0
2mer-0+18,-4.18137546,2,-4.18137546,-84.25300844,0.0009394291,5.955,5.403,5.403,0.0499442666769027,-4.18137546,-4.131431193323097,-12.54412638,-82.13132766679327,-84.25300843499998,0.0
