N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+2,-79.60026641,2,-79.60026641,-79.60026641,0.02169007,5.315,1.897,1.897,1.2971667051315308
2mer-0+4,-35.86855581,2,-35.86855581,-115.46882221,0.01539951,6.666,2.127,2.127,0.7005788683891296
2mer-0+6,-0.19564015,2,-0.19564015,-115.66446237,0.01172207,6.169,2.33,2.33,0.8577074408531189
2mer-0+25,-1.61194633,2,-1.61194633,-117.2764087,0.009799152,7.983,2.473,2.473,0.8052672743797302
2mer-0+1,-28.43508287,2,-28.43508287,-145.71149157,0.005889715,5.505,2.93,2.93,0.7790449857711792
2mer-0+3,-1.46207257,2,-1.46207257,-147.17356415,0.004571022,3.814,3.189,3.189,0.9668484330177307
2mer-0+12,-7.79423085,2,-7.79423085,-154.967795,0.002852764,7.545,3.731,3.731,0.18486888706684113
2mer-0+13,2.50941413,2,2.50941413,-152.45838087,0.001732545,9.496,4.406,4.406,0.1577998846769333
2mer-0+9,-3.98111678,2,-3.98111678,-156.43949766,0.001250384,7.813,4.912,4.912,0.2492024302482605
2mer-0+15,-7.74572444,2,-7.74572444,-164.1852221,0.001187899,7.435,4.997,4.997,0.17587809264659882
2mer-0+11,0.26028174,2,0.26028174,-163.92494036,0.001008942,9.133,5.276,5.276,0.046941377222537994
2mer-0+26,0.63286607,2,0.63286607,-163.29207428,0.0009217316,10.233,5.438,5.438,0.06589704751968384
2mer-0+16,-0.73487391,2,-0.73487391,-164.0269482,0.0009028155,8.194,5.475,5.475,0.14818483591079712
2mer-0+36,-2.47158475,2,-2.47158475,-166.49853295,0.0008193655,9.634,5.655,5.655,0.0969177782535553
2mer-0+19,-0.5815379,2,-0.5815379,-167.08007085,0.0007642174,10.438,5.788,5.788,0.04344257712364197
2mer-0+27,2.19348762,2,2.19348762,-164.88658323,0.0007050102,10.233,5.946,5.946,0.06425413489341736
2mer-0+14,-4.10619339,2,-4.10619339,-168.99277662,0.0006760709,7.84,6.029,6.029,0.12801234424114227
2mer-0+21,2.84336467,2,2.84336467,-166.14941194,0.0005036467,7.628,6.651,6.651,0.10150968283414841
2mer-0+28,0.46902948,2,0.46902948,-165.68038246,0.0004681132,11.205,6.815,6.815,0.025153841823339462
