N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-79.60026641,2,-79.60026641,-79.60026641,0.02169007,5.315,1.897,1.897,1.2971667051315308,-79.60026641,-78.30309970486847,-238.80079923,-78.30309970486847,-79.60026641,-79.91377723
2mer-0+4,-35.86855581,2,-35.86855581,-115.46882221,0.01539951,6.666,2.127,2.127,0.7005788683891296,-35.86855581,-35.16797694161087,-107.60566742999998,-113.47107664647933,-115.46882221999999,0.0
2mer-0+6,-0.19564015,2,-0.19564015,-115.66446237,0.01172207,6.169,2.33,2.33,0.8577074408531189,-0.19564015,0.6620672908531189,-0.58692045,-112.80900935562622,-115.66446237,0.0
2mer-0+25,-1.61194633,2,-1.61194633,-117.2764087,0.009799152,7.983,2.473,2.473,0.8052672743797302,-1.61194633,-0.8066790556202699,-4.83583899,-113.61568841124648,-117.27640869999999,0.0
2mer-0+1,-28.43508287,2,-28.43508287,-145.71149157,0.005889715,5.505,2.93,2.93,0.7790449857711792,-28.43508287,-27.65603788422882,-85.30524860999999,-141.2717262954753,-145.71149157,0.0
2mer-0+3,-1.46207257,2,-1.46207257,-147.17356415,0.004571022,3.814,3.189,3.189,0.9668484330177308,-1.46207257,-0.4952241369822691,-4.3862177099999995,-141.76695043245758,-147.17356414,0.0
2mer-0+12,-7.79423085,2,-7.79423085,-154.967795,0.002852764,7.545,3.731,3.731,0.1848688870668411,-7.79423085,-7.609361962933159,-23.38269255,-149.37631239539073,-154.96779499,0.0
2mer-0+13,2.50941413,2,2.50941413,-152.45838087,0.001732545,9.496,4.406,4.406,0.1577998846769333,2.50941413,2.6672140146769334,7.528242390000001,-146.70909838071378,-152.45838085999998,0.0
2mer-0+9,-3.98111678,2,-3.98111678,-156.43949766,0.001250384,7.813,4.912,4.912,0.2492024302482605,-3.98111678,-3.7319143497517393,-11.943350339999999,-150.44101273046553,-156.43949763999998,0.0
2mer-0+15,-7.74572444,2,-7.74572444,-164.1852221,0.001187899,7.435,4.997,4.997,0.1758780926465988,-7.74572444,-7.569846347353401,-23.23717332,-158.01085907781894,-164.18522208,0.0
2mer-0+11,0.26028174,2,0.26028174,-163.92494036,0.001008942,9.133,5.276,5.276,0.0469413772225379,0.26028174,0.30722311722253787,0.78084522,-157.7036359605964,-163.92494033999998,0.0
2mer-0+26,0.63286607,2,0.63286607,-163.29207428,0.0009217316,10.233,5.438,5.438,0.0658970475196838,0.63286607,0.6987631175196838,1.8985982099999998,-157.0048728430767,-163.29207426999997,0.0
2mer-0+16,-0.73487391,2,-0.73487391,-164.0269482,0.0009028155,8.194,5.475,5.475,0.1481848359107971,-0.73487391,-0.5866890740892029,-2.20462173,-157.5915619171659,-164.02694817999998,0.0
2mer-0+36,-2.47158475,2,-2.47158475,-166.49853295,0.0008193655,9.634,5.655,5.655,0.0969177782535553,-2.47158475,-2.3746669717464446,-7.41475425,-159.96622888891235,-166.49853292999998,0.0
2mer-0+19,-0.5815379,2,-0.5815379,-167.08007085,0.0007642174,10.438,5.788,5.788,0.0434425771236419,-0.5815379,-0.5380953228763582,-1.7446137000000002,-160.5043242117887,-167.08007082999998,0.0
2mer-0+27,2.19348762,2,2.19348762,-164.88658323,0.0007050102,10.233,5.946,5.946,0.0642541348934173,2.19348762,2.2577417548934173,6.58046286,-158.24658245689528,-164.88658320999997,0.0
2mer-0+14,-4.10619339,2,-4.10619339,-168.99277662,0.0006760709,7.84,6.029,6.029,0.1280123442411422,-4.10619339,-3.9781810457588573,-12.318580169999999,-162.22476350265413,-168.99277659999996,0.0
2mer-0+21,2.84336467,2,2.84336467,-166.14941194,0.0005036467,7.628,6.651,6.651,0.1015096828341484,2.84336467,2.9448743528341486,8.530094010000001,-159.27988914981998,-166.14941192999996,0.0
2mer-0+28,0.46902948,2,0.46902948,-165.68038246,0.0004681132,11.205,6.815,6.815,0.0251538418233394,0.46902948,0.4941833218233394,1.4070884399999999,-158.78570582799665,-165.68038244999997,0.0
2mer-0+33,-1.18477782,2,-1.18477782,-166.86516028,0.0004235878,11.02,7.046,7.046,0.0132392812520265,-1.18477782,-1.1715385387479735,-3.5543334600000005,-159.95724436674462,-166.86516026999996,0.0
2mer-0+58,1.65344356,2,1.65344356,-165.21171672,0.0004092237,12.454,7.128,7.128,0.0100367832928895,1.65344356,1.6634803432928895,4.96033068,-158.29376402345173,-165.21171670999996,0.0
2mer-0+24,-0.70573108,2,-0.70573108,-165.9174478,0.0004027611,10.607,7.166,7.166,0.0021411622874438,-0.70573108,-0.7035899177125562,-2.1171932399999998,-158.99735394116428,-165.91744778999995,0.0
2mer-0+42,0.6111959,2,0.6111959,-165.3062519,0.0003905103,9.925,7.24,7.24,0.0040781004354357,0.6111959,0.6152740004354357,1.8335877,-158.38207994072883,-165.30625188999994,0.0
2mer-0+46,4.33414518,2,4.33414518,-160.97210672,0.0003124828,10.444,7.798,7.798,0.0005435276543721,4.33414518,4.334688707654372,13.00243554,-154.04739123307445,-160.97210670999993,0.0
2mer-0+64,0.69637432,2,0.69637432,-160.2757324,0.0002905249,12.371,7.99,7.99,0.0031870049424469,0.69637432,0.6995613249424469,2.08912296,-153.347829908132,-160.27573238999994,0.0
