N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+16,-51.03017521,1,-25.51508761,-25.51508761,0.01765128,6.075,2.032,2.032,-0.021650992333889008
2mer-0+3,-24.21765077,2,-24.21765077,-49.73273837,0.01751051,5.051,2.038,2.038,0.0913250520825386
2mer-0+9,-16.80442223,1,-8.40221112,-58.13494949,0.009059375,4.933,2.538,2.538,-0.05158259719610214
2mer-0+2,-17.24582094,1,-8.62291047,-66.75785996,0.009032629,4.232,2.541,2.541,0.09320519864559174
2mer-0+14,-11.15460065,1,-5.57730032,-72.33516028,0.007523316,3.726,2.701,2.701,-0.01735815964639187
2mer-0+7,-2.24747391,1,-1.12373695,-73.45889724,0.007495062,8.506,2.704,2.704,0.12298089265823364
2mer-0+40,1.19583754,1,0.59791877,-72.86097847,0.007124339,7.819,2.75,2.75,0.014492680318653584
2mer-0+10,-7.20841476,2,-7.20841476,-80.06939323,0.006366319,7.011,2.855,2.855,0.0393214114010334
2mer-0+8,-1.18679169,2,-1.18679169,-81.25618492,0.005831658,7.637,2.94,2.94,-0.0025957697071135044
2mer-0+4,-1.10464059,1,-0.5523203,-81.80850522,0.004943218,9.254,3.106,3.106,0.05002591013908386
2mer-0+12,-0.56066038,1,-0.28033019,-82.08883541,0.004506339,6.269,3.204,3.204,0.08765587210655212
2mer-0+1,-2.89663216,1,-1.44831608,-83.53715149,0.003350171,6.895,3.537,3.537,0.003113002981990576
2mer-0+11,-0.50378931,2,-0.50378931,-84.04094079,0.00188203,9.23,4.286,4.286,0.009700203314423561
2mer-0+26,6.09320368,1,3.04660184,-80.99433896,0.001565296,7.981,4.558,4.558,0.12246983498334885
2mer-0+29,-0.5201345,1,-0.26006725,-81.25440621,0.001070671,9.126,5.173,5.173,0.007593217305839062
2mer-0+17,0.05052501,2,0.05052501,-81.2038812,0.001039938,7.951,5.223,5.223,0.0015424344455823302
2mer-0+41,-0.68786904,1,-0.34393452,-81.54781572,0.001011665,7.38,5.271,5.271,0.014523104764521122
2mer-0+44,-0.28886992,1,-0.14443496,-81.69225067,0.001008651,9.444,5.277,5.277,0.0028458735905587673
2mer-0+5,0.33273776,2,0.33273776,-81.35951292,0.0007051203,7.543,5.945,5.945,-0.002455969573929906
2mer-0+6,0.17483574,2,0.17483574,-81.18467718,0.0007028231,10.656,5.952,5.952,0.0049714138731360435
2mer-0+27,-1.10216173,1,-0.55108086,-81.73575804,0.0006764842,8.175,6.028,6.028,0.012639839202165604
2mer-0+37,-0.40459453,2,-0.40459453,-82.14035257,0.000673045,10.386,6.038,6.038,0.002886510221287608
2mer-0+20,-0.2327932,2,-0.2327932,-82.37314577,0.0006587009,9.541,6.082,6.082,0.0019576186314225197
2mer-0+45,-0.01349125,1,-0.00674562,-82.37989139,0.0006440306,10.492,6.128,6.128,0.0031992148142307997
2mer-0+19,0.15323271,2,0.15323271,-82.22665868,0.0006090375,10.886,6.243,6.243,0.004979785066097975
2mer-0+13,-0.65999638,1,-0.32999819,-82.55665687,0.0005614532,7.861,6.415,6.415,0.006854642648249865
2mer-0+25,-0.75908087,1,-0.37954044,-82.93619731,0.0005159326,9.263,6.598,6.598,0.012202027253806591
2mer-0+109,0.5286433,1,0.26432165,-82.67187566,0.0004905925,11.678,6.71,6.71,0.002342245075851679
2mer-0+23,-0.99941795,2,-0.99941795,-83.67129361,0.0004240145,10.102,7.044,7.044,-0.00130803685169667
2mer-0+62,0.12048321,1,0.0602416,-83.61105201,0.0004167979,11.086,7.084,7.084,0.00043423473834991455
2mer-0+105,-0.39529292,1,-0.19764646,-83.80869847,0.0003856479,12.889,7.27,7.27,-0.0005904724239371717
2mer-0+18,-0.19702071,1,-0.09851036,-83.90720883,0.0003585094,12.245,7.449,7.449,-0.00016078555199783295
2mer-0+38,-0.37997523,1,-0.18998762,-84.09719644,0.0003483259,11.332,7.521,7.521,-0.0001855967566370964
2mer-0+15,0.05142117,2,0.05142117,-84.04577527,0.0003471183,10.08,7.53,7.53,-0.000508755911141634
2mer-0+59,0.09820239,1,0.0491012,-83.99667407,0.000343198,10.57,7.558,7.558,-0.0008710857946425676
2mer-0+30,-0.02343076,1,-0.01171538,-84.00838945,0.0003269279,13.012,7.682,7.682,9.222231165040284e-05
2mer-0+24,-0.40712069,1,-0.20356035,-84.2119498,0.000278277,11.323,8.105,8.105,0.0
2mer-0+82,-0.63335528,1,-0.31667764,-84.52862744,0.0002659482,12.579,8.229,8.229,0.0
2mer-0+103,-0.55895607,1,-0.27947804,-84.80810548,0.0002650657,11.217,8.238,8.238,0.0
2mer-0+49,-0.35503122,2,-0.35503122,-85.1631367,0.0002643043,10.981,8.246,8.246,0.0
2mer-0+54,0.02537207,1,0.01268603,-85.15045066,0.0002604365,13.706,8.286,8.286,0.0
2mer-0+65,0.07739985,2,0.07739985,-85.07305081,0.0002603881,13.764,8.287,8.287,0.0
2mer-0+31,0.18535121,1,0.09267561,-84.98037521,0.0002461629,10.382,8.444,8.444,0.0
2mer-0+55,0.02876223,1,0.01438111,-84.96599409,0.0002285254,14.901,8.655,8.655,0.0
2mer-0+42,0.16495113,2,0.16495113,-84.80104297,0.0002222488,10.812,8.736,8.736,0.0
2mer-0+43,-0.05051327,1,-0.02525663,-84.8262996,0.0002155564,11.745,8.826,8.826,0.0
2mer-0+73,0.03338918,1,0.01669459,-84.80960501,0.0002152287,15.003,8.83,8.83,0.0
2mer-0+34,0.16896429,2,0.16896429,-84.64064072,0.0002138866,11.266,8.849,8.849,0.0
2mer-0+53,1.04648944,1,0.52324472,-84.117396,0.0002124136,11.897,8.869,8.869,0.0
2mer-0+111,0.02420643,1,0.01210322,-84.10529278,0.0002124135,12.088,8.869,8.869,0.0
2mer-0+50,0.08444898,2,0.08444898,-84.02084381,0.0002072287,14.961,8.942,8.942,0.0
2mer-0+121,0.04756982,1,0.02378491,-83.9970589,0.0002047009,12.086,8.979,8.979,0.0
2mer-0+32,-0.15710226,1,-0.07855113,-84.07561003,0.0002028541,11.651,9.006,9.006,0.0
2mer-0+95,0.17375376,1,0.08687688,-83.98873315,0.0002016545,11.551,9.024,9.024,0.0
2mer-0+90,-0.08445923,2,-0.08445923,-84.07319238,0.0001918892,14.023,9.175,9.175,0.0
2mer-0+68,-0.06579896,2,-0.06579896,-84.13899134,0.0001882448,14.554,9.233,9.233,0.0
2mer-0+100,-0.15269613,1,-0.07634806,-84.21533941,0.0001841105,10.72,9.302,9.302,0.0
2mer-0+80,0.02602215,2,0.02602215,-84.18931725,0.0001815906,12.566,9.345,9.345,0.0
2mer-0+153,-0.26238281,1,-0.1311914,-84.32050866,0.0001778514,13.009,9.41,9.41,0.0
2mer-0+33,0.08887589,2,0.08887589,-84.23163276,0.0001774831,13.89,9.416,9.416,0.0
2mer-0+169,0.06577314,1,0.03288657,-84.19874619,0.0001764188,15.001,9.435,9.435,0.0
2mer-0+36,-0.06187863,1,-0.03093932,-84.22968551,0.0001611309,14.205,9.725,9.725,0.0
2mer-0+74,-0.19468809,2,-0.19468809,-84.4243736,0.0001581614,13.475,9.785,9.785,0.0
2mer-0+70,0.14606481,2,0.14606481,-84.27830879,0.0001525204,15.274,9.904,9.904,0.0
2mer-0+107,-0.01191589,1,-0.00595795,-84.28426674,0.0001502539,15.51,9.954,9.954,0.0
2mer-0+120,-0.18146004,1,-0.09073002,-84.37499676,0.0001418066,11.12,10.148,10.148,0.0
2mer-0+63,-0.01350847,1,-0.00675424,-84.381751,0.0001389087,16.432,10.218,10.218,0.0
2mer-0+106,-0.0070298,1,-0.0035149,-84.38526589,0.0001388662,12.538,10.219,10.219,0.0
2mer-0+101,-0.28916223,1,-0.14458111,-84.52984701,0.0001336025,13.881,10.351,10.351,0.0
2mer-0+172,-0.28649465,1,-0.14324733,-84.67309433,0.0001319747,15.043,10.394,10.394,0.0
2mer-0+39,-0.14677399,1,-0.073387,-84.74648133,0.0001261118,13.586,10.552,10.552,0.0
2mer-0+218,-0.19073055,1,-0.09536527,-84.8418466,0.0001244188,15.917,10.6,10.6,0.0
2mer-0+164,0.14258622,1,0.07129311,-84.77055349,0.0001200595,15.166,10.727,10.727,0.0
2mer-0+144,0.00274892,1,0.00137446,-84.76917903,0.0001198178,16.211,10.734,10.734,0.0
2mer-0+58,-0.16533879,2,-0.16533879,-84.93451782,0.0001173082,13.562,10.81,10.81,0.0
2mer-0+46,-0.04541897,2,-0.04541897,-84.9799368,0.0001162251,14.048,10.843,10.843,0.0
2mer-0+137,0.07175508,1,0.03587754,-84.94405926,0.0001144179,14.102,10.9,10.9,0.0
2mer-0+110,0.17246695,1,0.08623348,-84.85782578,0.0001137434,14.191,10.922,10.922,0.0
2mer-0+57,-0.0453535,2,-0.0453535,-84.90317928,0.0001129449,15.157,10.947,10.947,0.0
2mer-0+128,0.43099013,1,0.21549507,-84.68768421,0.0001125453,13.859,10.96,10.96,0.0
2mer-0+98,0.03137441,1,0.0156872,-84.67199701,0.0001102138,13.826,11.037,11.037,0.0
2mer-0+66,0.10426767,2,0.10426767,-84.56772934,0.0001094437,16.937,11.063,11.063,0.0
2mer-0+52,0.03913766,2,0.03913766,-84.52859169,0.0001092189,13.711,11.071,11.071,0.0
2mer-0+149,-0.09332329,1,-0.04666164,-84.57525333,0.0001071485,15.245,11.141,11.141,0.0
2mer-0+142,0.0351472,1,0.0175736,-84.55767973,0.0001048357,16.709,11.223,11.223,0.0
2mer-0+232,0.13487799,1,0.067439,-84.49024074,0.0001010388,16.207,11.362,11.362,0.0
2mer-0+131,0.04452282,1,0.02226141,-84.46797932,0.0001007262,16.045,11.373,11.373,0.0
2mer-0+127,-0.09913281,2,-0.09913281,-84.56711213,0.0001002168,15.838,11.393,11.393,0.0
2mer-0+69,0.04187781,2,0.04187781,-84.52523432,9.967858e-05,15.331,11.413,11.413,0.0
2mer-0+75,-0.16303835,1,-0.08151918,-84.6067535,9.853447e-05,14.985,11.457,11.457,0.0
2mer-0+71,-0.0182757,1,-0.00913785,-84.61589135,9.810161e-05,14.083,11.474,11.474,0.0
2mer-0+97,0.01936162,1,0.00968081,-84.60621054,9.799222e-05,17.355,11.478,11.478,0.0
2mer-0+113,-0.03913595,1,-0.01956797,-84.62577851,9.75233e-05,16.411,11.496,11.496,0.0
2mer-0+150,-0.11328771,1,-0.05664386,-84.68242237,9.690794e-05,13.954,11.521,11.521,0.0
2mer-0+114,-0.06970628,2,-0.06970628,-84.75212865,9.129945e-05,15.964,11.752,11.752,0.0
2mer-0+94,-0.01351194,2,-0.01351194,-84.76564059,9.091905e-05,15.444,11.768,11.768,0.0
2mer-0+88,0.00079185,1,0.00039593,-84.76524466,9.001537e-05,17.814,11.808,11.808,0.0
2mer-0+96,-0.13707225,1,-0.06853612,-84.83378078,8.957491e-05,14.283,11.827,11.827,0.0
2mer-0+141,-0.12363427,1,-0.06181713,-84.89559792,8.826856e-05,14.855,11.885,11.885,0.0
2mer-0+188,-0.08815463,1,-0.04407731,-84.93967523,8.799976e-05,13.544,11.897,11.897,0.0
2mer-0+72,-0.1962657,2,-0.1962657,-85.13594094,8.625746e-05,15.154,11.977,11.977,0.0
2mer-0+64,0.13528596,1,0.06764298,-85.06829796,8.521863e-05,14.311,12.025,12.025,0.0
2mer-0+119,-0.04183759,2,-0.04183759,-85.11013555,8.395412e-05,15.809,12.085,12.085,0.0
2mer-0+178,0.09674558,1,0.04837279,-85.06176276,8.386402e-05,15.335,12.09,12.09,0.0
2mer-0+89,0.07264891,2,0.07264891,-84.98911385,8.11022e-05,14.654,12.225,12.225,0.0
2mer-0+112,-0.18490043,2,-0.18490043,-85.17401428,8.047097e-05,15.132,12.257,12.257,0.0
2mer-0+184,0.01038268,1,0.00519134,-85.16882295,8.00705e-05,15.819,12.278,12.278,0.0
2mer-0+67,-0.11054381,1,-0.05527191,-85.22409485,7.879785e-05,16.288,12.343,12.343,0.0
2mer-0+259,-0.03016972,1,-0.01508486,-85.23917971,7.780228e-05,16.238,12.396,12.396,0.0
2mer-0+84,-0.11609352,1,-0.05804676,-85.29722647,7.584557e-05,13.65,12.501,12.501,0.0
2mer-0+147,0.02790025,1,0.01395013,-85.28327635,7.478621e-05,18.333,12.56,12.56,0.0
2mer-0+201,-0.05622075,1,-0.02811037,-85.31138672,7.459264e-05,14.826,12.571,12.571,0.0
2mer-0+61,-0.0683507,1,-0.03417535,-85.34556207,7.318895e-05,16.891,12.651,12.651,0.0
2mer-0+139,0.04890183,2,0.04890183,-85.29666024,7.20329e-05,16.398,12.718,12.718,0.0
2mer-0+87,-0.10910264,1,-0.05455132,-85.35121156,7.009216e-05,14.159,12.834,12.834,0.0
2mer-0+323,-0.0403041,1,-0.02015205,-85.37136361,6.822242e-05,18.206,12.951,12.951,0.0
2mer-0+123,-0.04287392,1,-0.02143696,-85.39280057,6.73547e-05,14.94,13.006,13.006,0.0
