N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-25.75205898,2,-25.75205898,-25.75205898,0.01787525,4.663,2.024,2.024,0.4889703094959259
2mer-0+3,-55.47633365,1,-27.73816682,-53.49022581,0.01694217,3.315,2.06,2.06,0.825137197971344
2mer-0+16,-21.80546159,1,-10.90273079,-64.3929566,0.008112176,4.15,2.634,2.634,0.2451714277267456
2mer-0+4,-2.29900821,2,-2.29900821,-66.69196481,0.007412925,5.126,2.714,2.714,0.3815865218639374
2mer-0+7,1.45120196,2,1.45120196,-65.24076285,0.005227882,5.557,3.049,3.049,0.32480889558792114
2mer-0+14,-7.71794568,1,-3.85897284,-69.09973569,0.004957854,5.366,3.103,3.103,0.16840198636054993
2mer-0+2,2.88746967,2,2.88746967,-66.21226603,0.004949507,3.604,3.105,3.105,0.3631647229194641
2mer-0+1,-17.00202495,1,-8.50101248,-74.7132785,0.004229618,3.657,3.272,3.272,0.35698720812797546
2mer-0+19,-6.97393283,2,-6.97393283,-81.68721133,0.003894318,5.268,3.363,3.363,0.12439852207899094
2mer-0+10,2.62435253,2,2.62435253,-79.06285879,0.001796747,6.994,4.353,4.353,0.09061332792043686
2mer-0+11,-1.19765356,2,-1.19765356,-80.26051235,0.001498362,6.458,4.624,4.624,0.10358907282352448
2mer-0+37,-3.23604595,1,-1.61802297,-81.87853533,0.001298722,5.624,4.85,4.85,0.06746366620063782
2mer-0+27,-5.88378897,1,-2.94189448,-84.82042981,0.001279179,5.881,4.875,4.875,0.09795575588941574
2mer-0+13,3.08864821,2,3.08864821,-81.7317816,0.001266109,6.525,4.892,4.892,0.03994644433259964
2mer-0+30,2.93130741,1,1.46565371,-80.26612789,0.001086788,8.878,5.147,5.147,0.07153793424367905
2mer-0+26,1.88578106,2,1.88578106,-78.38034683,0.0009727688,6.868,5.341,5.341,0.03214585408568382
2mer-0+9,1.60953256,2,1.60953256,-76.77081427,0.0009289848,7.261,5.423,5.423,0.054186828434467316
2mer-0+17,-1.95984524,2,-1.95984524,-78.73065951,0.0008959972,6.904,5.489,5.489,0.0708887055516243
2mer-0+40,1.8839323,1,0.94196615,-77.78869336,0.0008547448,8.743,5.576,5.576,0.0636570155620575
2mer-0+21,-0.2335987,2,-0.2335987,-78.02229206,0.0007987712,7.735,5.703,5.703,0.058458272367715836
2mer-0+29,-0.44371587,2,-0.44371587,-78.46600792,0.000774423,7.839,5.762,5.762,0.05945782735943794
2mer-0+35,1.66781783,2,1.66781783,-76.79819009,0.0007324589,8.432,5.87,5.87,0.03412187099456787
2mer-0+32,-1.65292615,1,-0.82646307,-77.62465317,0.0006468769,8.145,6.119,6.119,0.02155635692179203
2mer-0+12,-2.94916155,1,-1.47458078,-79.09923394,0.0006022554,6.46,6.266,6.266,0.0506010428071022
2mer-0+46,-2.36202972,2,-2.36202972,-81.46126366,0.0005898385,9.041,6.31,6.31,0.013472910039126873
2mer-0+24,1.60160332,2,1.60160332,-79.85966034,0.0005552284,7.208,6.438,6.438,0.045583780854940414
2mer-0+22,0.40247747,2,0.40247747,-79.45718287,0.0005521579,8.403,6.45,6.45,0.03754716366529465
2mer-0+58,0.32102107,2,0.32102107,-79.1361618,0.0005401042,7.73,6.498,6.498,0.014981786720454693
2mer-0+39,-0.16562209,2,-0.16562209,-79.30178389,0.000499402,8.663,6.67,6.67,0.024918094277381897
2mer-0+23,0.46228687,2,0.46228687,-78.83949703,0.0004858378,7.997,6.731,6.731,0.004785189405083656
2mer-0+63,-2.2525343,2,-2.2525343,-81.09203133,0.0004594849,9.733,6.858,6.858,0.003489101305603981
2mer-0+71,0.53870957,1,0.26935478,-80.82267654,0.0004554816,9.092,6.878,6.878,0.02977854199707508
2mer-0+67,0.07971082,2,0.07971082,-80.74296572,0.0004539613,9.027,6.885,6.885,0.01105824951082468
2mer-0+47,1.38814332,1,0.69407166,-80.04889406,0.0004473889,10.353,6.919,6.919,0.019295597448945045
2mer-0+80,0.18048979,2,0.18048979,-79.86840428,0.0004372059,8.849,6.972,6.972,0.008099541999399662
2mer-0+68,0.93840212,1,0.46920106,-79.39920321,0.0003963854,9.708,7.204,7.204,0.020792281255126
2mer-0+57,-0.03105342,2,-0.03105342,-79.43025664,0.0003720499,8.817,7.358,7.358,0.0006282820249907672
2mer-0+38,-0.97421292,1,-0.48710646,-79.9173631,0.0003514422,9.787,7.499,7.499,0.003735113888978958
2mer-0+52,-0.67095113,2,-0.67095113,-80.58831422,0.0003304829,9.733,7.654,7.654,0.0015734807820990682
2mer-0+45,0.40489862,2,0.40489862,-80.1834156,0.0003272329,9.363,7.679,7.679,0.0033556618727743626
2mer-0+93,-0.59557773,1,-0.29778887,-80.48120446,0.0003241849,8.486,7.703,7.703,0.00037640638765878975
2mer-0+55,-1.00415897,1,-0.50207948,-80.98328395,0.0003232554,10.129,7.711,7.711,0.003419373417273164
2mer-0+77,0.18342919,1,0.09171459,-80.89156936,0.0003130122,10.002,7.794,7.794,0.01031656377017498
2mer-0+33,0.79469063,2,0.79469063,-80.09687872,0.0002833056,9.083,8.057,8.057,0
2mer-0+87,0.24465857,2,0.24465857,-79.85222015,0.000271284,10.519,8.174,8.174,0
2mer-0+62,-0.33741164,2,-0.33741164,-80.18963179,0.0002698142,10.933,8.189,8.189,0
2mer-0+108,-0.25424086,1,-0.12712043,-80.31675222,0.000260284,9.853,8.288,8.288,0
2mer-0+89,-1.14785299,1,-0.5739265,-80.89067872,0.0002570707,9.174,8.322,8.322,0
2mer-0+112,1.53840439,1,0.7692022,-80.12147652,0.0002377193,10.736,8.542,8.542,0
2mer-0+56,-0.8630643,2,-0.8630643,-80.98454082,0.0002366621,9.748,8.555,8.555,0
2mer-0+79,1.19725729,1,0.59862864,-80.38591217,0.0002365296,10.442,8.557,8.557,0
2mer-0+129,0.47955471,2,0.47955471,-79.90635746,0.0002327858,10.055,8.602,8.602,0
2mer-0+78,-0.20497668,2,-0.20497668,-80.11133414,0.0002319126,11.546,8.613,8.613,0
2mer-0+137,-0.70190371,1,-0.35095186,-80.462286,0.0002243123,11.013,8.709,8.709,0
2mer-0+96,0.73359282,2,0.73359282,-79.72869318,0.0002238413,10.921,8.715,8.715,0
2mer-0+41,0.46891647,2,0.46891647,-79.2597767,0.0002207512,10.362,8.756,8.756,0
2mer-0+81,-1.0906974,2,-1.0906974,-80.3504741,0.0002129499,11.596,8.862,8.862,0
2mer-0+50,-0.67676176,1,-0.33838088,-80.68885498,0.0002110898,10.722,8.887,8.887,0
2mer-0+73,0.66177525,1,0.33088762,-80.35796736,0.0002064297,10.555,8.954,8.954,0
2mer-0+95,-0.99240836,2,-0.99240836,-81.35037572,0.0002062387,11.563,8.957,8.957,0
2mer-0+94,-0.83708623,2,-0.83708623,-82.18746195,0.0002051451,11.431,8.973,8.973,0
2mer-0+103,0.48633658,1,0.24316829,-81.94429365,0.0002010507,11.48,9.033,9.033,0
2mer-0+99,0.14761688,2,0.14761688,-81.79667677,0.0001992546,10.781,9.06,9.06,0
2mer-0+142,1.50953496,1,0.75476748,-81.04190929,0.0001966566,11.387,9.1,9.1,0
2mer-0+74,-0.41978043,2,-0.41978043,-81.46168972,0.0001956287,10.863,9.116,9.116,0
2mer-0+66,-0.46310622,2,-0.46310622,-81.92479594,0.0001860513,11.477,9.27,9.27,0
2mer-0+150,-0.57935561,1,-0.28967781,-82.21447374,0.0001830161,11.919,9.32,9.32,0
2mer-0+106,-0.71675562,1,-0.35837781,-82.57285155,0.0001775169,11.636,9.416,9.416,0
2mer-0+53,-0.85086497,1,-0.42543248,-82.99828404,0.0001774579,9.802,9.417,9.417,0
2mer-0+117,0.6697082,1,0.3348541,-82.66342993,0.0001761352,11.262,9.44,9.44,0
2mer-0+168,-0.55016885,1,-0.27508443,-82.93851436,0.00017123,11.247,9.53,9.53,0
2mer-0+90,-0.59194517,1,-0.29597258,-83.23448694,0.0001700665,11.397,9.551,9.551,0
2mer-0+125,0.90788913,1,0.45394457,-82.78054238,0.0001672647,11.517,9.604,9.604,0
2mer-0+61,-0.23031893,2,-0.23031893,-83.0108613,0.0001660922,10.551,9.627,9.627,0
