N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-14.37798326,2,-14.37798326,-14.37798326,0.02170997,2.765,1.897,1.897,0.1466428637504577,-14.37798326,-14.231340396249543,-43.13394978,-14.231340396249543,-14.37798326,-13.93703407
2mer-0+1,-13.14864276,1,-6.57432138,-20.95230463,0.02149779,2.765,1.903,1.903,0.1119194403290748,-6.57432138,-6.518361659835462,-39.44592828,-20.749702056085006,-20.95230464,0.0
2mer-0+3,-15.24590529,1,-7.62295265,-28.57525728,0.02031553,2.762,1.939,1.939,0.165973499417305,-7.622952645,-7.539965895291347,-45.73771587,-28.28966795137635,-28.575257285,0.0
2mer-0+6,3.09909142,2,3.09909142,-25.47616586,0.005031491,4.435,3.088,3.088,0.0159169007092714,3.09909142,3.1150083207092716,9.29727426,-25.17465963066708,-25.476165865,0.0
2mer-0+8,-2.15302158,4,-4.30604315,-29.78220901,0.002692835,4.483,3.804,3.804,0.0306394882500171,-4.30604316,-4.244764183499965,-6.45906474,-29.419423814167047,-29.782209025,0.0
2mer-0+4,-2.4617667,4,-4.92353339,-34.7057424,0.002624978,4.555,3.836,3.836,0.0695629715919494,-4.9235334,-4.784407456816101,-7.3853001,-34.203831270983144,-34.705742425,0.0
2mer-0+13,-2.7782324,1,-1.3891162,-36.09485861,0.001867041,4.601,4.298,4.298,0.0120280496776103,-1.3891162,-1.3831021751611947,-8.334697199999999,-35.586933446144336,-36.09485862499999,0.0
2mer-0+20,1.22860616,2,1.22860616,-34.86625244,0.001717347,5.292,4.419,4.419,0.0041565238498151,1.22860616,1.2327626838498151,3.68581848,-34.35417076229452,-34.866252464999995,0.0
2mer-0+11,0.29196112,2,0.29196112,-34.57429132,0.001714617,5.258,4.421,4.421,0.0023774907458573,0.29196112,0.2943386107458573,0.87588336,-34.05983215154866,-34.57429134499999,0.0
2mer-0+14,1.09965698,2,1.09965698,-33.47463434,0.0016157,4.564,4.51,4.51,-0.0003147572278976,1.09965698,1.0993422227721024,3.2989709400000002,-32.96048992877656,-33.47463436499999,0.0
2mer-0+9,-1.26800641,2,-1.26800641,-34.74264076,0.001488705,5.295,4.634,4.634,0.0040349098853766,-1.26800641,-1.2639715001146232,-3.8040192299999998,-34.22446142889118,-34.74264077499999,0.0
2mer-0+26,-1.42606838,1,-0.71303419,-35.45567494,0.001263349,5.293,4.895,4.895,0.0060285185463726,-0.71303419,-0.7100199307268137,-4.27820514,-34.934481359618,-35.45567496499999,0.0
2mer-0+15,0.27550875,2,0.27550875,-35.1801662,0.001248965,5.326,4.914,4.914,0.0055829109624028,0.27550875,0.28109166096240285,0.8265262500000001,-34.653389698655594,-35.18016621499999,0.0
2mer-0+21,0.62097324,2,0.62097324,-34.55919296,0.001116157,6.418,5.101,5.101,0.0044165216386318,0.62097324,0.6253897616386318,1.8629197199999998,-34.027999937016965,-34.559192974999995,0.0
2mer-0+29,0.8482936,2,0.8482936,-33.71089935,0.0009488755,6.88,5.385,5.385,0.0013680888805538,0.8482936,0.8496616888805538,2.5448808,-33.17833824813641,-33.710899375,0.0
2mer-0+36,0.07725891,2,0.07725891,-33.63364044,0.0007892674,6.306,5.726,5.726,0.002738376148045,0.07725891,0.079997286148045,0.23177673,-33.09834096198837,-33.633640465,0.0
2mer-0+22,0.66820007,4,1.33640014,-32.2972403,0.0007867942,6.419,5.732,5.732,0.0043096300214529,1.33640014,1.3450194000429059,2.00460021,-31.753321561945466,-32.297240325,0.0
2mer-0+34,-1.16527864,2,-1.16527864,-33.46251894,0.0007705943,6.445,5.772,5.772,0.0059078321792185,-1.16527864,-1.1593708078207814,-3.4958359199999998,-32.91269236976625,-33.462518964999994,0.0
2mer-0+25,0.6625825,2,0.6625825,-32.79993644,0.0006624279,6.474,6.07,6.07,0.0028639498632401,0.6625825,0.6654464498632401,1.9877474999999998,-32.24724591990301,-32.799936464999995,0.0
2mer-0+35,-0.23547847,2,-0.23547847,-33.03541491,0.000634129,6.948,6.159,6.159,0.0047469306737184,-0.23547847,-0.2307315393262816,-0.70643541,-32.47797745922929,-33.03541493499999,0.0
2mer-0+31,0.11449586,2,0.11449586,-32.92091905,0.0006339603,6.958,6.16,6.16,0.0049741556867957,0.11449586,0.1194700156867957,0.34348758,-32.35850744354249,-32.92091907499999,0.0
2mer-0+42,-0.85272974,1,-0.42636487,-33.34728392,0.0006234168,6.948,6.195,6.195,0.004850102122873,-0.42636487,-0.42393981893856353,-2.55818922,-32.78244726248106,-33.347283944999994,0.0
2mer-0+38,-0.17832726,4,-0.35665451,-33.70393843,0.0005368451,7.802,6.511,6.511,0.0034173727035522,-0.35665452,-0.3498197745928956,-0.53498178,-33.13226703707395,-33.70393846499999,0.0
2mer-0+32,0.16689964,4,0.33379927,-33.37013916,0.0005092469,7.82,6.627,6.627,0.0053534428589046,0.33379928,0.3445061657178092,0.5006989199999999,-32.78776087135614,-33.37013918499999,0.0
2mer-0+40,0.82356029,2,0.82356029,-32.54657887,0.000439955,7.035,6.958,6.958,-0.0002866289869416,0.82356029,0.8232736610130583,2.47068087,-31.964487210343083,-32.54657889499999,0.0
2mer-0+44,-0.69447492,4,-1.38894984,-33.93552871,0.0004307326,7.825,7.007,7.007,0.0059372163377702,-1.38894984,-1.3770754073244595,-2.0834247599999998,-33.34156261766754,-33.93552873499999,0.0
2mer-0+55,0.07022252,2,0.07022252,-33.86530619,0.0004085514,7.36,7.132,7.132,0.0001715303078526,0.07022252,0.07039405030785259,0.21066755999999998,-33.27116856735969,-33.86530621499999,0.0
2mer-0+45,0.11069269,4,0.22138539,-33.6439208,0.0003823113,7.825,7.291,7.291,0.000648865068797,0.22138538,0.22268311013759398,0.33207807,-33.04848545722209,-33.64392083499999,0.0
2mer-0+59,0.06455377,2,0.06455377,-33.57936703,0.0003747401,8.25,7.34,7.34,0.0004693290393333,0.06455377,0.0650230990393333,0.19366130999999998,-32.983462358182756,-33.579367064999985,0.0
