N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-16.06437152,2,-16.06437152,-16.06437152,0.02170997,2.765,1.897,1.897,-0.2756872773170471,-16.06437152,-16.34005879731705,-48.193114560000005,-16.34005879731705,-16.06437152,-13.93703407
2mer-0+1,-13.44126461,1,-6.7206323,-22.78500383,0.02149779,2.765,1.903,1.903,-0.274709403514862,-6.720632305,-6.857987006757431,-40.32379383,-23.19804580407448,-22.785003825,0.0
2mer-0+3,-17.29793089,1,-8.64896545,-31.43396927,0.02031553,2.762,1.939,1.939,-0.2946627140045166,-8.648965445,-8.796296802002258,-51.893792669999996,-31.994342606076735,-31.43396927,0.0
2mer-0+6,3.6963542,2,3.6963542,-27.73761507,0.005031491,4.435,3.088,3.088,-0.0733868852257728,3.6963542,3.622967314774227,11.0890626,-28.371375291302506,-27.737615069999997,0.0
2mer-0+8,-2.42610626,4,-4.85221252,-32.58982759,0.002692835,4.483,3.804,3.804,-0.0535493865609169,-4.85221252,-4.959311293121834,-7.27831878,-33.33068658442434,-32.58982759,0.0
2mer-0+4,-2.8034427,4,-5.6068854,-38.19671299,0.002624978,4.555,3.836,3.836,-0.0648824498057365,-5.6068854,-5.736650299611473,-8.410328100000001,-39.06733688403582,-38.19671299,0.0
2mer-0+13,-3.48230748,1,-1.74115374,-39.93786673,0.001867041,4.601,4.298,4.298,-0.0486494898796081,-1.74115374,-1.765478484939804,-10.44692244,-40.83281536897562,-39.93786673,0.0
2mer-0+20,1.45858404,2,1.45858404,-38.47928269,0.001717347,5.292,4.419,4.419,-0.0446044467389583,1.45858404,1.4139795932610417,4.3757521200000005,-39.418835775714584,-38.479282690000005,0.0
2mer-0+11,0.28663734,2,0.28663734,-38.19264534,0.001714617,5.258,4.421,4.421,-0.0439094863831996,0.28663734,0.2427278536168004,0.8599120200000001,-39.176107922097785,-38.19264535000001,0.0
2mer-0+14,1.112796,2,1.112796,-37.07984934,0.0016157,4.564,4.51,4.51,-0.0275921020656824,1.112796,1.0852038979343175,3.3383879999999997,-38.090904024163464,-37.07984935,0.0
2mer-0+9,-1.44664626,2,-1.44664626,-38.5264956,0.001488705,5.295,4.634,4.634,-0.0394010283052921,-1.44664626,-1.4860472883052922,-4.339938780000001,-39.57695131246876,-38.526495610000005,0.0
2mer-0+26,-1.94652309,1,-0.97326154,-39.49975714,0.001263349,5.293,4.895,4.895,-0.0238888468593359,-0.973261545,-0.9852059684296679,-5.83956927,-40.562157280898425,-39.499757155000005,0.0
2mer-0+15,0.26184318,2,0.26184318,-39.23791396,0.001248965,5.326,4.914,4.914,-0.0255181975662708,0.26184318,0.2363249824337292,0.78552954,-40.3258322984647,-39.237913975000005,0.0
2mer-0+21,0.77872309,2,0.77872309,-38.45919088,0.001116157,6.418,5.101,5.101,-0.0300223995000123,0.77872309,0.7487006904999877,2.33616927,-39.57713160796471,-38.459190885000005,0.0
2mer-0+29,1.1243484,2,1.1243484,-37.33484248,0.0009488755,6.88,5.385,5.385,-0.0216481201350688,1.1243484,1.102700279864931,3.3730452,-38.474431328099776,-37.334842485,0.0
2mer-0+36,0.16504721,2,0.16504721,-37.16979527,0.0007892674,6.306,5.726,5.726,-0.0156222600489854,0.16504721,0.1494249499510146,0.49514163,-38.325006378148764,-37.169795275000006,0.0
2mer-0+22,0.83891316,4,1.67782632,-35.49196895,0.0007867942,6.419,5.732,5.732,-0.0232101418077945,1.67782632,1.6314060363844112,2.51673948,-36.69360034176435,-35.491968955000004,0.0
2mer-0+34,-1.53900737,2,-1.53900737,-37.03097632,0.0007705943,6.445,5.772,5.772,-0.0158063098788261,-1.53900737,-1.5548136798788261,-4.61702211,-38.24841402164318,-37.030976325000005,0.0
2mer-0+25,0.8152795,2,0.8152795,-36.21569682,0.0006624279,6.474,6.07,6.07,-0.016524376347661,0.8152795,0.798755123652339,2.4458385000000002,-37.44965889799084,-36.215696825,0.0
2mer-0+35,-0.29436393,2,-0.29436393,-36.51006075,0.000634129,6.948,6.159,6.159,-0.0163809843361377,-0.29436393,-0.3107449143361377,-0.8830917899999999,-37.76040381232698,-36.510060755000005,0.0
2mer-0+31,0.24676079,2,0.24676079,-36.26329996,0.0006339603,6.958,6.16,6.16,-0.0156056517735123,0.24676079,0.2311551382264877,0.7402823700000001,-37.52924867410049,-36.263299965,0.0
2mer-0+42,-1.06075133,1,-0.53037566,-36.79367562,0.0006234168,6.948,6.195,6.195,-0.0126422448083758,-0.530375665,-0.5366967874041879,-3.18225399,-38.065945461504676,-36.79367563,0.0
