N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+19,-25.63604736,1,-12.81802368,-12.81802368,0.01902328,4.965,1.982,1.982,-0.07846380025148392
2mer-0+18,-20.34364269,1,-10.17182135,-22.98984503,0.01860105,5.097,1.997,1.997,-0.10096970200538635
2mer-0+1,-8.20276901,2,-8.20276901,-31.19261404,0.00707979,5.21,2.756,2.756,0.06253508478403091
2mer-0+8,-9.64545259,2,-9.64545259,-40.83806663,0.006914117,4.616,2.778,2.778,0.18346962332725525
2mer-0+7,-11.52362005,1,-5.76181002,-46.59987665,0.006794476,4.608,2.794,2.794,0.1647348403930664
2mer-0+2,-4.23756893,1,-2.11878447,-48.71866112,0.006668211,5.033,2.811,2.811,0.01087005715817213
2mer-0+5,-6.55862822,1,-3.27931411,-51.99797523,0.006640356,5.162,2.815,2.815,0.0008251449908129871
2mer-0+4,-5.62607759,1,-2.8130388,-54.81101402,0.006089562,5.691,2.898,2.898,-0.006004363298416138
2mer-0+3,-8.38772662,1,-4.19386331,-59.00487733,0.005626276,4.78,2.975,2.975,0.07953663915395737
2mer-0+22,-6.28489789,1,-3.14244895,-62.14732628,0.003084965,5.631,3.635,3.635,0.03207427263259888
2mer-0+6,-3.27294394,1,-1.63647197,-63.78379825,0.002227933,6.203,4.052,4.052,0.03520314767956734
2mer-0+31,-2.19523831,1,-1.09761915,-64.88141741,0.002195047,6.388,4.072,4.072,0.047538526356220245
2mer-0+14,0.65268121,2,0.65268121,-64.22873619,0.001926127,8.021,4.253,4.253,0.002236433094367385
2mer-0+13,-2.05528804,2,-2.05528804,-66.28402423,0.001192758,7.995,4.99,4.99,0.017999352887272835
2mer-0+11,-0.18396136,2,-0.18396136,-66.46798559,0.001191686,8.19,4.991,4.991,0.008663387037813663
2mer-0+16,-1.76247814,2,-1.76247814,-68.23046373,0.001176714,6.773,5.012,5.012,0.015208258293569088
2mer-0+29,1.07281865,1,0.53640933,-67.6940544,0.001161744,9.095,5.034,5.034,-0.0005988311604596674
2mer-0+21,-0.11110182,1,-0.05555091,-67.74960531,0.0009054665,8.921,5.47,5.47,0.0054201046004891396
2mer-0+9,-0.05991654,2,-0.05991654,-67.80952185,0.0008360245,8.521,5.617,5.617,0.013895985670387745
2mer-0+51,-0.18774988,1,-0.09387494,-67.90339679,0.0008253675,9.397,5.641,5.641,0.009571079164743423
2mer-0+27,-0.62653461,2,-0.62653461,-68.5299314,0.0008142065,7.995,5.667,5.667,0.007317397743463516
2mer-0+12,-0.00232332,1,-0.00116166,-68.53109306,0.0007337449,9.433,5.867,5.867,0.0020138167310506105
