N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+19,-25.95287203,1,-12.97643601,-12.97643601,0.01902328,4.965,1.982,1.982,0.5344760417938232,-12.976436015,-12.70919799410309,-77.85861609,-12.70919799410309,-12.97643601,-12.41761095
2mer-0+18,-20.81505647,1,-10.40752823,-23.38396425,0.01860105,5.097,1.997,1.997,0.5300050973892212,-10.407528235,-10.142525686305389,-62.44516940999999,-22.851723680408476,-23.383964245,0.0
2mer-0+1,-8.48038781,2,-8.48038781,-31.86435206,0.00707979,5.21,2.756,2.756,0.4177129566669464,-8.48038781,-8.062674853333053,-25.44116343,-30.91439853374153,-31.864352055,0.0
2mer-0+8,-9.37061488,2,-9.37061488,-41.23496693,0.006914117,4.616,2.778,2.778,0.498701810836792,-9.37061488,-8.871913069163208,-28.11184464,-39.78631160290474,-41.234966935,0.0
2mer-0+7,-11.13697496,1,-5.56848748,-46.80345441,0.006794476,4.608,2.794,2.794,0.3708631992340088,-5.56848748,-5.3830558803829955,-33.410924879999996,-45.169367483287736,-46.803454415000004,0.0
2mer-0+2,-4.64401698,1,-2.32200849,-49.12546291,0.006668211,5.033,2.811,2.811,0.4039826393127441,-2.32200849,-2.120017170343628,-13.93205094,-47.289384653631366,-49.125462905000006,0.0
2mer-0+5,-6.81168996,1,-3.40584498,-52.53130788,0.006640356,5.162,2.815,2.815,0.4326325058937073,-3.40584498,-3.1895287270531463,-20.43506988,-50.47891338068451,-52.531307885000004,0.0
2mer-0+4,-6.05411514,1,-3.02705757,-55.55836545,0.006089562,5.691,2.898,2.898,0.4710886776447296,-3.02705757,-2.7915132311776354,-18.16234542,-53.27042661186215,-55.558365455,0.0
2mer-0+3,-8.44707949,1,-4.22353974,-59.7819052,0.005626276,4.78,2.975,2.975,0.4035764932632446,-4.223539745,-4.021751498368378,-25.34123847,-57.29217811023052,-59.7819052,0.0
2mer-0+22,-6.8628865,1,-3.43144325,-63.21334845,0.003084965,5.631,3.635,3.635,0.1969126909971237,-3.43144325,-3.332986904501438,-20.5886595,-60.62516501473196,-63.21334845,0.0
2mer-0+6,-3.75110331,1,-1.87555165,-65.0889001,0.002227933,6.203,4.052,4.052,0.1415006816387176,-1.875551655,-1.8048013141806412,-11.25330993,-62.429966328912606,-65.088900105,0.0
2mer-0+31,-2.47624204,1,-1.23812102,-66.32702112,0.002195047,6.388,4.072,4.072,0.1793656051158905,-1.23812102,-1.1484382174420547,-7.428726119999999,-63.57840454635466,-66.32702112499999,0.0
2mer-0+14,0.59025298,2,0.59025298,-65.73676814,0.001926127,8.021,4.253,4.253,0.0974496081471443,0.59025298,0.6877025881471444,1.7707589400000001,-62.890701958207515,-65.73676814499998,0.0
2mer-0+13,-2.05136366,2,-2.05136366,-67.7881318,0.001192758,7.995,4.99,4.99,0.0658948197960853,-2.05136366,-1.9854688402039145,-6.154090979999999,-64.87617079841144,-67.78813180499998,0.0
2mer-0+11,-0.20852005,2,-0.20852005,-67.99665185,0.001191686,8.19,4.991,4.991,0.0853814110159874,-0.20852005,-0.12313863898401262,-0.6255601500000001,-64.99930943739545,-67.99665185499998,0.0
2mer-0+16,-1.91804014,2,-1.91804014,-69.914692,0.001176714,6.773,5.012,5.012,0.1046318337321281,-1.91804014,-1.8134083062678719,-5.75412042,-66.81271774366333,-69.91469199499998,0.0
2mer-0+29,1.0087172,1,0.5043586,-69.4103334,0.001161744,9.095,5.034,5.034,0.0549472570419311,0.5043586,0.5318322285209656,3.0261516,-66.28088551514236,-69.41033339499998,0.0
2mer-0+21,-0.12266776,1,-0.06133388,-69.47166728,0.0009054665,8.921,5.47,5.47,0.0679074674844741,-0.06133388,-0.02738014625776295,-0.36800328,-66.30826566140013,-69.47166727499999,0.0
2mer-0+9,-0.07319167,2,-0.07319167,-69.54485895,0.0008360245,8.521,5.617,5.617,0.0474497452378273,-0.07319167,-0.0257419247621727,-0.21957501000000001,-66.3340075861623,-69.54485894499999,0.0
2mer-0+51,-0.16085481,1,-0.08042741,-69.62528636,0.0008253675,9.397,5.641,5.641,0.0443426482379436,-0.080427405,-0.0582560808810282,-0.48256442999999993,-66.39226366704332,-69.62528634999998,0.0
2mer-0+27,-0.67936186,2,-0.67936186,-70.30464822,0.0008142065,7.995,5.667,5.667,0.0600911863148212,-0.67936186,-0.6192706736851787,-2.0380855799999997,-67.0115343407285,-70.30464820999998,0.0
2mer-0+12,-0.02325864,1,-0.01162932,-70.31627754,0.0007337449,9.433,5.867,5.867,0.05481568723917,-0.01162932,0.015778523619584997,-0.06977592,-66.99575581710891,-70.31627752999998,0.0
2mer-0+15,-0.22946107,1,-0.11473054,-70.43100808,0.0007130476,9.519,5.923,5.923,0.0565892495214939,-0.114730535,-0.08643591023925304,-0.68838321,-67.08219172734817,-70.43100806499999,0.0
2mer-0+54,0.76159978,1,0.38079989,-70.05020819,0.0006703362,8.05,6.046,6.046,0.0456665381789207,0.38079989,0.40363315908946035,2.2847993399999997,-66.67855856825871,-70.05020817499998,0.0
