N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+19,-27.73077754,1,-13.86538877,-13.86538877,0.01902328,4.965,1.982,1.982,-0.3421103656291961,-13.86538877,-14.036443952814597,-83.19233262,-14.036443952814597,-13.86538877,-12.41761095
2mer-0+18,-22.28410396,1,-11.14205198,-25.00744075,0.01860105,5.097,1.997,1.997,-0.3599596917629242,-11.14205198,-11.322031825881462,-66.85231188,-25.35847577869606,-25.00744075,0.0
2mer-0+1,-9.06394519,2,-9.06394519,-34.07138593,0.00707979,5.21,2.756,2.756,-0.14004547894001,-9.06394519,-9.20399066894001,-27.191835570000002,-34.56246644763607,-34.07138594,0.0
2mer-0+8,-9.17631744,2,-9.17631744,-43.24770337,0.006914117,4.616,2.778,2.778,-0.1289122849702835,-9.17631744,-9.305229724970284,-27.528952320000002,-43.86769617260635,-43.24770338,0.0
2mer-0+7,-12.05357247,1,-6.02678623,-49.27448961,0.006794476,4.608,2.794,2.794,-0.1370823979377746,-6.026786235,-6.095327433968888,-36.160717410000004,-49.96302360657524,-49.274489615,0.0
2mer-0+2,-3.10976005,1,-1.55488003,-50.82936963,0.006668211,5.033,2.811,2.811,-0.151121437549591,-1.554880025,-1.6304407437747956,-9.32928015,-51.59346435035004,-50.82936964,0.0
2mer-0+5,-6.97736757,1,-3.48868379,-54.31805342,0.006640356,5.162,2.815,2.815,-0.1623333841562271,-3.488683785,-3.5698504770781136,-20.932102710000002,-55.16331482742815,-54.318053425,0.0
2mer-0+4,-5.31700134,1,-2.65850067,-56.97655409,0.006089562,5.691,2.898,2.898,-0.1712122559547424,-2.65850067,-2.7441067979773712,-15.95100402,-57.907421625405526,-56.976554095000004,0.0
2mer-0+3,-8.01894131,1,-4.00947065,-60.98602474,0.005626276,4.78,2.975,2.975,-0.1142546907067298,-4.009470655,-4.066598000353365,-24.05682393,-61.97401962575889,-60.986024750000006,0.0
2mer-0+22,-6.36436315,1,-3.18218158,-64.16820632,0.003084965,5.631,3.635,3.635,-0.0774838253855705,-3.182181575,-3.2209234876927852,-19.09308945,-65.19494311345167,-64.168206325,0.0
2mer-0+6,-3.8946111,1,-1.94730555,-66.11551187,0.002227933,6.203,4.052,4.052,-0.0893471166491508,-1.94730555,-1.9919791083245755,-11.6838333,-67.18692222177624,-66.115511875,0.0
2mer-0+31,-2.00183367,1,-1.00091683,-67.1164287,0.002195047,6.388,4.072,4.072,-0.0580313876271247,-1.000916835,-1.0299325288135623,-6.00550101,-68.2168547505898,-67.11642871,0.0
2mer-0+14,0.82813612,2,0.82813612,-66.28829258,0.001926127,8.021,4.253,4.253,-0.0769071653485298,0.82813612,0.7512289546514702,2.48440836,-67.46562579593834,-66.28829259,0.0
2mer-0+13,-2.02030468,2,-2.02030468,-68.30859726,0.001192758,7.995,4.99,4.99,-0.0381179377436637,-2.02030468,-2.058422617743664,-6.06091404,-69.524048413682,-68.30859726999999,0.0
2mer-0+11,-0.04847979,2,-0.04847979,-68.35707705,0.001191686,8.19,4.991,4.991,-0.0445796214044094,-0.04847979,-0.0930594114044094,-0.14543937,-69.6171078250864,-68.35707706,0.0
2mer-0+16,-2.0213837,2,-2.0213837,-70.37846074,0.001176714,6.773,5.012,5.012,-0.0447167940437793,-2.0213837,-2.0661004940437793,-6.0641511,-71.68320831913019,-70.37846076,0.0
2mer-0+29,1.24345072,1,0.62172536,-69.75673538,0.001161744,9.095,5.034,5.034,-0.0478211492300033,0.62172536,0.5978147853849983,3.73035216,-71.08539353374519,-69.7567354,0.0
2mer-0+21,-0.1075,1,-0.05375,-69.81048538,0.0009054665,8.921,5.47,5.47,-0.049082264304161,-0.05375,-0.0782911321520805,-0.3225,-71.16368466589726,-69.81048539999999,0.0
2mer-0+9,0.0245947,2,0.0245947,-69.78589068,0.0008360245,8.521,5.617,5.617,-0.0390984639525413,0.0245947,-0.014503763952541302,0.0737841,-71.17818842984981,-69.7858907,0.0
2mer-0+51,-0.11141508,1,-0.05570754,-69.84159822,0.0008253675,9.397,5.641,5.641,-0.0297974199056625,-0.05570754,-0.07060624995283125,-0.33424524,-71.24879467980264,-69.84159824,0.0
2mer-0+27,-0.76572029,2,-0.76572029,-70.60731851,0.0008142065,7.995,5.667,5.667,-0.0431175380945205,-0.76572029,-0.8088378280945204,-2.29716087,-72.05763250789717,-70.60731853,0.0
2mer-0+12,-0.00703408,1,-0.00351704,-70.61083555,0.0007337449,9.433,5.867,5.867,-0.0318981483578681,-0.00351704,-0.019466114178934048,-0.02110224,-72.07709862207611,-70.61083557,0.0
2mer-0+15,-0.23044161,1,-0.1152208,-70.72605635,0.0007130476,9.519,5.923,5.923,-0.0303260702639818,-0.115220805,-0.1303838401319909,-0.69132483,-72.2074824622081,-70.72605637500001,0.0
2mer-0+54,0.79612097,1,0.39806048,-70.32799587,0.0006703362,8.05,6.046,6.046,-0.0259969402104616,0.398060485,0.3850620148947692,2.38836291,-71.82242044731333,-70.32799589000001,0.0
2mer-0+33,-0.04285974,2,-0.04285974,-70.37085561,0.0006197606,8.521,6.207,6.207,-0.0231212973594665,-0.04285974,-0.0659810373594665,-0.12857922,-71.8884014846728,-70.37085563000001,0.0
2mer-0+52,-0.96289608,1,-0.48144804,-70.85230365,0.0005989168,8.883,6.278,6.278,-0.0220083631575107,-0.48144804,-0.49245222157875534,-2.88868824,-72.38085370625156,-70.85230367000001,0.0
