N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-13.08846375,6,-39.26539125,-39.26539125,0.006754971,5.7,2.799,2.799,0.4562679231166839,-39.26539125,-37.89658748064995,-39.26539125,-37.89658748064995,-39.26539125,-37.80182027
2mer-0+5,-1.40424294,6,-4.21272883,-43.47812008,0.005520925,6.076,2.994,2.994,0.3390514254570007,-4.212728820000001,-3.195574543628998,-4.212728820000001,-41.09216202427895,-43.47812007,0.0
2mer-0+3,-14.60993786,2,-14.60993786,-58.08805794,0.003068668,3.64,3.642,3.642,0.5074107646942139,-14.60993786,-14.102527095305787,-43.82981358,-55.19468911958474,-58.088057930000005,0.0
2mer-0+13,-0.51172303,6,-1.53516908,-59.62322702,0.001077982,7.388,5.161,5.161,0.0870149657130241,-1.53516909,-1.2741241928609277,-1.53516909,-56.46881331244566,-59.62322702,0.0
2mer-0+17,-0.40598703,6,-1.21796109,-60.8411881,0.0006569593,9.647,6.087,6.087,0.038073182106018,-1.2179610900000002,-1.103741543681946,-1.2179610900000002,-57.57255485612761,-60.841188110000004,0.0
2mer-0+28,0.01208945,6,0.03626836,-60.80491974,0.0005704221,10.311,6.381,6.381,0.0291528366506099,0.03626835,0.1237268599518297,0.03626835,-57.44882799617578,-60.804919760000004,0.0
2mer-0+20,-0.2914059,6,-0.87421771,-61.67913745,0.0005222796,8.236,6.571,6.571,0.0407289899885654,-0.8742177,-0.7520307300343039,-0.8742177,-58.200858726210086,-61.67913746000001,0.0
2mer-0+24,-0.23403263,2,-0.23403263,-61.91317008,0.0003839108,7.281,7.281,7.281,0.0452758036553859,-0.23403263,-0.1887568263446141,-0.70209789,-58.3896155525547,-61.91317009000001,0.0
2mer-0+41,0.02547552,6,0.07642656,-61.83674352,0.00032273,11.401,7.715,7.715,0.005484230350703,0.07642656,0.09287925105210901,0.07642656,-58.29673630150259,-61.83674353000001,0.0
2mer-0+38,-0.12877884,6,-0.38633652,-62.22308004,0.000319207,11.205,7.743,7.743,0.0049862344749271,-0.38633652,-0.37137781657521873,-0.38633652,-58.66811411807781,-62.22308005000001,0.0
2mer-0+31,0.01346925,6,0.04040776,-62.18267228,0.0003084728,10.311,7.832,7.832,0.0004339391307439,0.04040775,0.0417095673922317,0.04040775,-58.62640455068558,-62.18267230000001,0.0
2mer-0+46,0.00165898,6,0.00497694,-62.17769534,0.0002185128,12.151,8.786,8.786,0.0,0.00497694,0.00497694,0.00497694,-58.62142761068558,-62.17769536000001,0.0
2mer-0+44,-0.061043,6,-0.18312901,-62.36082436,0.0002129755,10.158,8.861,8.861,0.0,-0.183129,-0.183129,-0.183129,-58.80455661068558,-62.36082436000001,0.0
2mer-0+47,-0.03635866,12,-0.21815199,-62.57897634,0.0001733605,12.086,9.49,9.49,0.0,-0.21815196,-0.21815196,-0.10907598,-59.02270857068558,-62.57897632000001,0.0
2mer-0+63,-0.03519012,6,-0.10557035,-62.6845467,0.0001592903,12.685,9.762,9.762,0.0,-0.10557036,-0.10557036,-0.10557036,-59.12827893068558,-62.68454668000001,0.0
2mer-0+67,-0.03369727,6,-0.10109181,-62.78563851,0.000154349,11.192,9.865,9.865,0.0,-0.10109181,-0.10109181,-0.10109181,-59.22937074068558,-62.78563849000001,0.0
2mer-0+93,-0.0040625,6,-0.01218749,-62.797826,0.0001275612,14.786,10.512,10.512,0.0,-0.0121875,-0.0121875,-0.0121875,-59.241558240685585,-62.797825990000014,0.0
2mer-0+79,-0.03160263,2,-0.03160263,-62.82942863,0.0001137406,10.921,10.922,10.922,0.0,-0.03160263,-0.03160263,-0.09480789,-59.27316087068559,-62.829428620000016,0.0
2mer-0+94,-0.01442657,6,-0.04327971,-62.87270834,9.924249e-05,14.009,11.43,11.43,0.0,-0.04327971,-0.04327971,-0.04327971,-59.31644058068559,-62.872708330000016,0.0
2mer-0+90,-0.01103034,12,-0.06618206,-62.9388904,9.84641e-05,14.935,11.46,11.46,0.0,-0.06618204,-0.06618204,-0.03309102,-59.38262262068559,-62.93889037000002,0.0
2mer-0+126,-0.00254777,6,-0.00764331,-62.94653371,8.412947e-05,15.936,12.077,12.077,0.0,-0.00764331,-0.00764331,-0.00764331,-59.39026593068559,-62.946533680000016,0.0
2mer-0+99,0.00094027,6,0.00282081,-62.94371291,8.353516e-05,14.786,12.105,12.105,0.0,0.00282081,0.00282081,0.00282081,-59.387445120685584,-62.94371287000001,0.0
2mer-0+118,-0.00290676,6,-0.00872029,-62.95243319,8.336492e-05,14.572,12.114,12.114,0.0,-0.00872028,-0.00872028,-0.00872028,-59.39616540068558,-62.95243315000001,0.0
2mer-0+112,-0.00554325,6,-0.01662976,-62.96906296,8.240883e-05,14.776,12.16,12.16,0.0,-0.01662975,-0.01662975,-0.01662975,-59.41279515068558,-62.96906290000001,0.0
2mer-0+101,-0.00776676,12,-0.04660057,-63.01566353,8.14775e-05,15.515,12.206,12.206,0.0,-0.04660056,-0.04660056,-0.02330028,-59.459395710685584,-63.01566346000001,0.0
2mer-0+109,-0.01032185,6,-0.03096554,-63.04662907,8.039414e-05,13.352,12.261,12.261,0.0,-0.03096555,-0.03096555,-0.03096555,-59.49036126068558,-63.04662901000001,0.0
2mer-0+141,0.00206341,6,0.00619022,-63.04043885,6.914615e-05,16.709,12.893,12.893,0.0,0.00619023,0.00619023,0.00619023,-59.48417103068558,-63.04043878000001,0.0
2mer-0+120,-0.01008562,6,-0.03025687,-63.07069572,6.844056e-05,14.572,12.937,12.937,0.0,-0.03025686,-0.03025686,-0.03025686,-59.51442789068558,-63.07069564000001,0.0
2mer-0+170,-0.00166035,6,-0.00498104,-63.07567676,6.075731e-05,17.009,13.461,13.461,0.0,-0.004981050000000001,-0.004981050000000001,-0.004981050000000001,-59.51940894068558,-63.07567669000001,0.0
2mer-0+134,-0.00325247,6,-0.00975742,-63.08543418,6.041142e-05,15.936,13.486,13.486,0.0,-0.00975741,-0.00975741,-0.00975741,-59.52916635068558,-63.08543410000001,0.0
2mer-0+152,-0.0065523,12,-0.0393138,-63.12474798,5.921158e-05,17.101,13.577,13.577,0.0,-0.039313799999999996,-0.039313799999999996,-0.019656899999999998,-59.56848015068558,-63.12474790000001,0.0
2mer-0+142,-0.00601363,6,-0.01804089,-63.14278887,5.910787e-05,14.464,13.585,13.585,0.0,-0.01804089,-0.01804089,-0.01804089,-59.58652104068558,-63.14278879000001,0.0
2mer-0+178,-0.00334649,6,-0.01003946,-63.15282833,5.204533e-05,16.473,14.173,14.173,0.0,-0.01003947,-0.01003947,-0.01003947,-59.596560510685585,-63.152828260000014,0.0
2mer-0+179,-0.0033882,2,-0.0033882,-63.15621653,4.798885e-05,14.562,14.562,14.562,0.0,-0.0033882,-0.0033882,-0.0101646,-59.59994871068559,-63.15621646000002,0.0
2mer-0+182,-0.00335958,6,-0.01007874,-63.16629527,4.628518e-05,17.009,14.739,14.739,0.0,-0.01007874,-0.01007874,-0.01007874,-59.610027450685585,-63.166295200000015,0.0
2mer-0+201,-0.00031643,12,-0.00189859,-63.16819385,4.564957e-05,18.227,14.807,14.807,0.0,-0.00189858,-0.00189858,-0.00094929,-59.61192603068559,-63.16819378000002,0.0
2mer-0+186,-0.00295681,12,-0.01774086,-63.18593471,4.551088e-05,17.646,14.822,14.822,0.0,-0.017740859999999997,-0.017740859999999997,-0.008870429999999999,-59.62966689068559,-63.18593464000002,0.0
2mer-0+253,1.121e-05,6,3.362e-05,-63.18590109,4.116468e-05,19.634,15.326,15.326,0.0,3.363e-05,3.363e-05,3.363e-05,-59.629633260685594,-63.18590101000002,0.0
2mer-0+204,-0.00275164,6,-0.00825491,-63.194156,4.070095e-05,17.386,15.384,15.384,0.0,-0.00825492,-0.00825492,-0.00825492,-59.63788818068559,-63.19415593000002,0.0
2mer-0+208,-0.00316587,6,-0.0094976,-63.20365361,3.804212e-05,19.294,15.734,15.734,0.0,-0.00949761,-0.00949761,-0.00949761,-59.64738579068559,-63.20365354000002,0.0
2mer-0+215,-0.00252837,12,-0.0151702,-63.21882381,3.768996e-05,17.468,15.783,15.783,0.0,-0.015170219999999998,-0.015170219999999998,-0.007585109999999999,-59.66255601068559,-63.21882376000002,0.0
2mer-0+261,-0.00139066,6,-0.00417198,-63.22299579,3.657918e-05,20.118,15.941,15.941,0.0,-0.00417198,-0.00417198,-0.00417198,-59.666727990685594,-63.22299574000002,0.0
2mer-0+218,-0.00234626,6,-0.00703879,-63.23003458,3.634169e-05,16.73,15.976,15.976,0.0,-0.0070387800000000006,-0.0070387800000000006,-0.0070387800000000006,-59.673766770685596,-63.230034520000025,0.0
2mer-0+235,-0.00175921,12,-0.01055524,-63.24058981,3.290717e-05,19.089,16.513,16.513,0.0,-0.01055526,-0.01055526,-0.00527763,-59.68432203068559,-63.24058978000002,0.0
2mer-0+255,-0.00079711,12,-0.00478266,-63.24537247,3.250416e-05,20.228,16.581,16.581,0.0,-0.004782659999999999,-0.004782659999999999,-0.0023913299999999997,-59.68910469068559,-63.24537244000002,0.0
2mer-0+293,-0.000656,6,-0.00196799,-63.24734046,3.044307e-05,19.883,16.947,16.947,0.0,-0.001968,-0.001968,-0.001968,-59.69107269068559,-63.247340440000016,0.0
2mer-0+262,0.00075245,6,0.00225736,-63.2450831,3.028876e-05,19.634,16.976,16.976,0.0,0.00225735,0.00225735,0.00225735,-59.688815340685586,-63.245083090000016,0.0
2mer-0+308,-0.00098273,6,-0.00294818,-63.24803128,3.00889e-05,20.978,17.014,17.014,0.0,-0.00294819,-0.00294819,-0.00294819,-59.691763530685584,-63.24803128000001,0.0
2mer-0+282,-0.00175076,12,-0.01050456,-63.25853584,2.995061e-05,19.962,17.04,17.04,0.0,-0.01050456,-0.01050456,-0.00525228,-59.702268090685585,-63.258535840000015,0.0
2mer-0+278,-0.00143426,6,-0.00430277,-63.26283862,2.974391e-05,17.879,17.079,17.079,0.0,-0.00430278,-0.00430278,-0.00430278,-59.70657087068559,-63.26283862000002,0.0
2mer-0+275,-0.00076546,12,-0.00459277,-63.26743139,2.960468e-05,20.66,17.106,17.106,0.0,-0.00459276,-0.00459276,-0.00229638,-59.71116363068559,-63.26743138000002,0.0
2mer-0+272,-0.00076847,6,-0.00230541,-63.2697368,2.900461e-05,20.118,17.223,17.223,0.0,-0.00230541,-0.00230541,-0.00230541,-59.71346904068559,-63.26973679000002,0.0
2mer-0+276,-0.00170776,12,-0.01024654,-63.27998334,2.843569e-05,20.622,17.337,17.337,0.0,-0.01024656,-0.01024656,-0.00512328,-59.72371560068559,-63.279983350000016,0.0
2mer-0+295,-0.00133635,6,-0.00400906,-63.28399241,2.750157e-05,19.312,17.531,17.531,0.0,-0.00400905,-0.00400905,-0.00400905,-59.72772465068559,-63.28399240000002,0.0
