N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+3,-3.3092981,6,-9.9278943,-9.9278943,0.008901749,6.035,2.553,2.553,0.4503686428070068,-9.9278943,-8.57678837157898,-9.9278943,-8.57678837157898,-9.9278943,-7.55220095
2mer-0+1,-9.30716525,6,-27.92149575,-37.84939005,0.008835585,5.552,2.56,2.56,0.7001555562019348,-27.921495750000002,-25.821029081394197,-27.921495750000002,-34.39781745297318,-37.849390050000004,0.0
2mer-0+2,-17.21698784,2,-17.21698784,-55.06637789,0.008441521,4.098,2.599,2.599,0.9296868443489076,-17.21698784,-16.287300995651094,-51.650963520000005,-50.68511844862427,-55.066377890000005,0.0
2mer-0+8,-0.69049091,6,-2.07147272,-57.13785061,0.001607627,7.669,4.517,4.517,0.1130105480551719,-2.07147273,-1.7324410858344843,-2.07147273,-52.41755953445876,-57.13785062000001,0.0
2mer-0+16,-0.0686181,6,-0.20585431,-57.34370492,0.0007948494,9.321,5.713,5.713,0.0400846824049949,-0.2058543,-0.08560025278501529,-0.2058543,-52.503159787243774,-57.34370492000001,0.0
2mer-0+15,-0.59696702,6,-1.79090105,-59.13460597,0.0007007686,8.696,5.958,5.958,0.0394175499677658,-1.79090106,-1.6726484100967025,-1.79090106,-54.17580819734048,-59.13460598000001,0.0
2mer-0+22,0.08608521,6,0.25825562,-58.87635036,0.0006249687,10.182,6.189,6.189,0.0212947987020015,0.25825562999999996,0.3221400261060045,0.25825562999999996,-53.853668171234474,-58.87635035000001,0.0
2mer-0+21,-1.16981936,2,-1.16981936,-60.04616971,0.0004914179,8.197,6.706,6.706,0.0429164357483387,-1.16981936,-1.1269029242516613,-3.50945808,-54.980571095486134,-60.04616971000001,0.0
2mer-0+31,0.05561344,6,0.16684031,-59.8793294,0.0003785894,10.849,7.315,7.315,0.0074580959044396,0.16684032,0.18921460771331883,0.16684032,-54.791356487772816,-59.87932939000001,0.0
2mer-0+29,0.1572448,6,0.47173441,-59.40759498,0.0003738716,11.104,7.346,7.346,0.0052531315013766,0.4717344,0.4874937945041298,0.4717344,-54.303862693268684,-59.40759499000001,0.0
2mer-0+24,0.09893337,6,0.29680012,-59.11079487,0.0003330565,10.182,7.634,7.634,0.0031855762936174,0.29680011,0.30635683888085224,0.29680011,-53.99750585438783,-59.11079488000001,0.0
2mer-0+45,0.0292879,6,0.0878637,-59.02293116,0.0002405487,12.07,8.509,8.509,0.0,0.08786369999999999,0.08786369999999999,0.08786369999999999,-53.90964215438783,-59.02293118000001,0.0
2mer-0+35,-0.28554516,6,-0.85663547,-59.87956663,0.0002374219,10.973,8.546,8.546,0.0,-0.85663548,-0.85663548,-0.85663548,-54.76627763438783,-59.87956666000001,0.0
2mer-0+40,-0.01807887,6,-0.05423661,-59.93380324,0.0001966374,12.412,9.1,9.1,0.0,-0.054236610000000005,-0.054236610000000005,-0.054236610000000005,-54.82051424438783,-59.933803270000006,0.0
2mer-0+56,-0.11057947,6,-0.33173842,-60.26554167,0.0001796131,12.412,9.379,9.379,0.0,-0.33173841,-0.33173841,-0.33173841,-55.15225265438783,-60.265541680000005,0.0
2mer-0+46,0.00406925,6,0.01220775,-60.25333392,0.0001739134,12.747,9.48,9.48,0.0,0.01220775,0.01220775,0.01220775,-55.14004490438783,-60.253333930000004,0.0
2mer-0+58,-0.22878155,6,-0.68634464,-60.93967856,0.0001649719,12.182,9.649,9.649,0.0,-0.68634465,-0.68634465,-0.68634465,-55.82638955438783,-60.939678580000006,0.0
2mer-0+78,0.07860948,6,0.23582844,-60.70385012,0.0001529759,14.303,9.894,9.894,0.0,0.23582843999999997,0.23582843999999997,0.23582843999999997,-55.59056111438783,-60.70385014000001,0.0
