N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+2,-38.73572298,1,-19.36786149,-19.36786149,0.01864926,5.345,1.995,1.995,1.4212465286254883
2mer-0+5,-46.16517435,2,-46.16517435,-65.53303584,0.01759682,6.36,2.034,2.034,0.9646588563919067
2mer-0+6,-14.02409086,2,-14.02409086,-79.5571267,0.01187262,6.837,2.32,2.32,0.6828535199165344
2mer-0+4,-7.66097683,2,-7.66097683,-87.21810352,0.006396118,6.139,2.851,2.851,0.6159948110580444
2mer-0+20,-8.17814762,1,-4.08907381,-91.30717733,0.005145499,6.894,3.065,3.065,0.6451906561851501
2mer-0+1,-15.62422792,1,-7.81211396,-99.11929129,0.004941318,5.122,3.107,3.107,0.6682843565940857
2mer-0+3,-5.03705194,2,-5.03705194,-104.15634323,0.004060364,3.655,3.317,3.317,1.0472757816314697
2mer-0+23,-1.07378784,1,-0.53689392,-104.69323715,0.003821146,7.956,3.385,3.385,0.4809013307094574
2mer-0+11,-11.92121715,2,-11.92121715,-116.6144543,0.003329493,6.862,3.544,3.544,0.32733044028282166
2mer-0+9,-6.70238789,2,-6.70238789,-123.31684219,0.001894674,7.78,4.277,4.277,0.2600894570350647
2mer-0+12,-0.44989632,1,-0.22494816,-123.54179035,0.001217273,7.591,4.956,4.956,0.18846677243709564
2mer-0+28,-1.61662493,2,-1.61662493,-125.15841528,0.0009316664,9.084,5.418,5.418,0.09962315857410431
2mer-0+48,0.68297242,1,0.34148621,-124.81692907,0.0008061675,10.54,5.686,5.686,0.008798705413937569
2mer-0+37,-3.85293531,1,-1.92646765,-126.74339673,0.0007955879,7.647,5.711,5.711,0.13246870040893555
2mer-0+16,0.26279939,2,0.26279939,-126.48059733,0.000741225,10.409,5.847,5.847,0.03025396168231964
2mer-0+21,-0.64332559,2,-0.64332559,-127.12392292,0.0007058133,10.835,5.943,5.943,0.020423900336027145
2mer-0+10,1.15005501,2,1.15005501,-125.97386792,0.000673112,7.44,6.038,6.038,0.15892662107944489
2mer-0+42,-0.92451221,1,-0.4622561,-126.43612402,0.0006608288,10.428,6.075,6.075,0.016327181831002235
2mer-0+15,-1.00923199,2,-1.00923199,-127.44535601,0.0006006165,10.538,6.272,6.272,0.04444347321987152
2mer-0+44,0.07413031,1,0.03706515,-127.40829085,0.000580517,10.285,6.344,6.344,0.06438584625720978
2mer-0+8,-2.89682035,1,-1.44841017,-128.85670102,0.0005598004,7.115,6.421,6.421,0.14876624941825867
2mer-0+39,-1.4184762,2,-1.4184762,-130.27517723,0.0005368839,8.97,6.511,6.511,0.0348627083003521
2mer-0+17,1.29533264,2,1.29533264,-128.97984459,0.0005129197,7.31,6.611,6.611,0.13038155436515808
