N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-38.73572298,1,-19.36786149,-19.36786149,0.01864926,5.345,1.995,1.995,1.4212465286254885,-19.36786149,-18.657238225687255,-116.20716894,-18.657238225687255,-19.36786149,-19.58000577
2mer-0+5,-46.16517435,2,-46.16517435,-65.53303584,0.01759682,6.36,2.034,2.034,0.9646588563919068,-46.16517435,-45.200515493608094,-138.49552305,-63.857753719295346,-65.53303584,0.0
2mer-0+6,-14.02409086,2,-14.02409086,-79.5571267,0.01187262,6.837,2.32,2.32,0.6828535199165344,-14.02409086,-13.341237340083465,-42.072272579999996,-77.19899105937881,-79.5571267,0.0
2mer-0+4,-7.66097683,2,-7.66097683,-87.21810352,0.006396118,6.139,2.851,2.851,0.6159948110580444,-7.66097683,-7.044982018941956,-22.98293049,-84.24397307832076,-87.21810353,0.0
2mer-0+20,-8.17814762,1,-4.08907381,-91.30717733,0.005145499,6.894,3.065,3.065,0.6451906561851501,-4.08907381,-3.7664784819074253,-24.534442860000002,-88.01045156022819,-91.30717734,0.0
2mer-0+1,-15.62422792,1,-7.81211396,-99.11929129,0.004941318,5.122,3.107,3.107,0.6682843565940857,-7.81211396,-7.477971781702957,-46.87268376,-95.48842334193115,-99.1192913,0.0
2mer-0+3,-5.03705194,2,-5.03705194,-104.15634323,0.004060364,3.655,3.317,3.317,1.0472757816314695,-5.03705194,-3.98977615836853,-15.111155819999999,-99.47819950029968,-104.15634324,0.0
2mer-0+23,-1.07378784,1,-0.53689392,-104.69323715,0.003821146,7.956,3.385,3.385,0.4809013307094574,-0.53689392,-0.2964432546452713,-3.22136352,-99.77464275494495,-104.69323716,0.0
2mer-0+11,-11.92121715,2,-11.92121715,-116.6144543,0.003329493,6.862,3.544,3.544,0.3273304402828216,-11.92121715,-11.593886709717179,-35.76365145,-111.36852946466213,-116.61445431,0.0
2mer-0+9,-6.70238789,2,-6.70238789,-123.31684219,0.001894674,7.78,4.277,4.277,0.2600894570350647,-6.70238789,-6.442298432964935,-20.10716367,-117.81082789762706,-123.3168422,0.0
2mer-0+12,-0.44989632,1,-0.22494816,-123.54179035,0.001217273,7.591,4.956,4.956,0.1884667724370956,-0.22494816,-0.13071477378145221,-1.34968896,-117.94154267140851,-123.54179036,0.0
2mer-0+28,-1.61662493,2,-1.61662493,-125.15841528,0.0009316664,9.084,5.418,5.418,0.0996231585741043,-1.61662493,-1.5170017714258957,-4.849874789999999,-119.45854444283441,-125.15841529,0.0
2mer-0+48,0.68297242,1,0.34148621,-124.81692907,0.0008061675,10.54,5.686,5.686,0.0087987054139375,0.34148621,0.34588556270696874,2.04891726,-119.11265888012744,-124.81692908,0.0
2mer-0+37,-3.85293531,1,-1.92646765,-126.74339673,0.0007955879,7.647,5.711,5.711,0.1324687004089355,-1.926467655,-1.8602333047955322,-11.55880593,-120.97289218492297,-126.74339673499999,0.0
