N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-34.13811666,4,-68.27623332,-68.27623332,0.01813338,4.313,2.014,2.014,-0.1680920869112014,-68.27623332,-68.6124174938224,-102.41434998,-68.6124174938224,-68.27623332,-67.42821515
2mer-0+3,-45.01660055,2,-45.01660055,-113.29283387,0.01668822,4.695,2.071,2.071,0.0994337573647499,-45.01660055,-44.91716679263525,-135.04980165,-113.52958428645766,-113.29283387000001,0.0
2mer-0+5,-4.19713793,4,-8.39427587,-121.68710973,0.009147917,4.943,2.53,2.53,0.0497375130653381,-8.39427586,-8.294800833869324,-12.59141379,-121.82438512032698,-121.68710973,0.0
2mer-0+9,3.62410477,2,3.62410477,-118.06300496,0.002556938,7.904,3.87,3.87,0.0104005141183733,3.62410477,3.6345052841183736,10.87231431,-118.1898798362086,-118.06300496,0.0
2mer-0+4,2.2530784,4,4.5061568,-113.55684817,0.002399124,5.589,3.953,3.953,0.0106802778318524,4.5061568,4.527517355663705,6.759235200000001,-113.6623624805449,-113.55684816,0.0
2mer-0+6,-0.70781107,8,-2.8312443,-116.38809246,0.001085751,7.299,5.149,5.149,-0.0056023527868092,-2.83124428,-2.8536536911472368,-2.12343321,-116.51601617169214,-116.38809244000001,0.0
2mer-0+35,2.35242777,4,4.70485553,-111.68323693,0.0009791764,8.622,5.329,5.329,-0.0007136120693758,4.70485554,4.703428315861248,7.057283309999999,-111.8125878558309,-111.68323690000001,0.0
2mer-0+10,3.65045111,4,7.30090222,-104.38233471,0.0009024153,7.54,5.476,5.476,0.031165350228548,7.30090222,7.363232920457096,10.95135333,-104.4493549353738,-104.38233468000001,0.0
2mer-0+16,0.42378199,4,0.84756398,-103.53477073,0.0007859423,9.193,5.734,5.734,0.0014820470241829,0.84756398,0.8505280740483658,1.27134597,-103.59882686132543,-103.53477070000001,0.0
2mer-0+12,-1.72742191,8,-6.90968765,-110.44445838,0.000534934,9.004,6.519,6.519,0.0005618159775622,-6.90968764,-6.907440376089751,-5.182265729999999,-110.50626723741519,-110.44445834000001,0.0
2mer-0+31,-3.92900807,2,-3.92900807,-114.37346645,0.000532393,9.389,6.529,6.529,-0.0115541964769363,-3.92900807,-3.9405622664769364,-11.78702421,-114.44682950389212,-114.37346641,0.0
2mer-0+23,-0.91239081,8,-3.64956326,-118.02302971,0.0005075125,9.322,6.634,6.634,0.0024557756260037,-3.64956324,-3.639740137495985,-2.73717243,-118.08656964138811,-118.02302965000001,0.0
2mer-0+26,2.3184922,2,2.3184922,-115.70453752,0.0003000851,7.904,7.904,7.904,0.0053049009293317,2.3184922,2.323797100929332,6.955476600000001,-115.76277254045878,-115.70453745000002,0.0
