N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-33.70890974,4,-67.41781948,-67.41781948,0.01813338,4.313,2.014,2.014,0.5224118828773499,-67.41781948,-66.3729957142453,-101.12672922000002,-66.3729957142453,-67.41781948,-67.42821515
2mer-0+3,-43.71040496,2,-43.71040496,-111.12822444,0.01668822,4.695,2.071,2.071,0.4895196855068207,-43.71040496,-43.22088527449318,-131.13121488,-109.59388098873848,-111.12822444,0.0
2mer-0+5,-4.80698887,4,-9.61397773,-120.74220217,0.009147917,4.943,2.53,2.53,0.6733084321022034,-9.61397774,-8.267360875795593,-14.420966609999999,-117.86124186453407,-120.74220217999999,0.0
2mer-0+9,3.35601883,2,3.35601883,-117.38618334,0.002556938,7.904,3.87,3.87,0.1108196526765823,3.35601883,3.4668384826765823,10.06805649,-114.39440338185749,-117.38618335,0.0
2mer-0+4,1.14205177,4,2.28410354,-115.1020798,0.002399124,5.589,3.953,3.953,0.264614850282669,2.28410354,2.813333240565338,3.4261553099999995,-111.58107014129214,-115.10207980999999,0.0
2mer-0+6,-0.82680384,8,-3.30721535,-118.40929515,0.001085751,7.299,5.149,5.149,0.0873554348945617,-3.30721536,-2.957793620421753,-2.4804115199999996,-114.5388637617139,-118.40929517,0.0
2mer-0+35,2.18776184,4,4.37552368,-114.03377146,0.0009791764,8.622,5.329,5.329,0.0682247579097747,4.37552368,4.511973195819549,6.563285519999999,-110.02689056589435,-114.03377148999999,0.0
2mer-0+10,3.29896037,4,6.59792074,-107.43585072,0.0009024153,7.54,5.476,5.476,0.0316079556941986,6.59792074,6.661136651388397,9.89688111,-103.36575391450594,-107.43585074999999,0.0
2mer-0+16,0.38859148,4,0.77718295,-106.65866777,0.0007859423,9.193,5.734,5.734,0.0332288406789302,0.77718296,0.8436406413578603,1.1657744399999999,-102.52211327314808,-106.65866778999998,0.0
2mer-0+12,-1.6206333,8,-6.48253322,-113.14120099,0.000534934,9.004,6.519,6.519,0.014577011577785,-6.4825332,-6.42422515368886,-4.8618999,-108.94633842683695,-113.14120098999999,0.0
2mer-0+31,-3.69773763,2,-3.69773763,-116.83893862,0.000532393,9.389,6.529,6.529,0.0103750601410865,-3.69773763,-3.6873625698589136,-11.09321289,-112.63370099669586,-116.83893862,0.0
2mer-0+23,-0.86990572,8,-3.47962287,-120.31856148,0.0005075125,9.322,6.634,6.634,0.0268106553703546,-3.47962288,-3.3723802585185814,-2.6097171599999998,-116.00608125521444,-120.31856149999999,0.0
2mer-0+26,2.17374243,2,2.17374243,-118.14481905,0.0003000851,7.904,7.904,7.904,0.0189309380948543,2.17374243,2.1926733680948542,6.52122729,-113.81340788711958,-118.14481906999998,0.0
2mer-0+34,-1.22959205,8,-4.91836819,-123.06318724,0.0002831232,10.927,8.059,8.059,0.0,-4.9183682,-4.9183682,-3.68877615,-118.73177608711958,-123.06318726999999,0.0
2mer-0+29,0.60871681,4,1.21743361,-121.84575363,0.0002716435,9.193,8.171,8.171,0.0,1.21743362,1.21743362,1.82615043,-117.51434246711959,-121.84575364999999,0.0
2mer-0+61,0.21704544,8,0.86818177,-120.97757185,0.0002374358,11.697,8.546,8.546,0.0,0.86818176,0.86818176,0.65113632,-116.64616070711959,-120.97757189,0.0
2mer-0+50,0.65507644,4,1.31015287,-119.66741898,0.0002201675,12.497,8.764,8.764,0.0,1.31015288,1.31015288,1.96522932,-115.33600782711959,-119.66741900999999,0.0
2mer-0+45,0.73082324,4,1.46164649,-118.20577249,0.0002174028,11.178,8.801,8.801,0.0,1.46164648,1.46164648,2.19246972,-113.87436134711959,-118.20577252999999,0.0
2mer-0+37,-0.20503907,8,-0.8201563,-119.02592879,0.0002155932,10.924,8.825,8.825,0.0,-0.82015628,-0.82015628,-0.61511721,-114.6945176271196,-119.02592881,0.0
2mer-0+51,-0.56243025,4,-1.1248605,-120.15078929,0.0001892028,12.273,9.218,9.218,0.0,-1.1248605,-1.1248605,-1.68729075,-115.81937812711959,-120.15078931,0.0
2mer-0+62,1.53369563,4,3.06739126,-117.08339803,0.0001806795,11.797,9.36,9.36,0.0,3.06739126,3.06739126,4.6010868899999995,-112.7519868671196,-117.08339805,0.0
2mer-0+131,0.91882995,4,1.8376599,-115.24573813,0.0001692183,12.974,9.567,9.567,0.0,1.8376599,1.8376599,2.75648985,-110.91432696711959,-115.24573815,0.0
2mer-0+48,0.34201159,8,1.36804638,-113.87769175,0.0001591414,12.124,9.765,9.765,0.0,1.36804636,1.36804636,1.0260347699999999,-109.5462806071196,-113.87769179,0.0
2mer-0+56,-0.79135526,4,-1.58271051,-115.46040227,0.0001548252,11.981,9.855,9.855,0.0,-1.58271052,-1.58271052,-2.37406578,-111.1289911271196,-115.46040231,0.0
2mer-0+60,0.33966943,8,1.35867772,-114.10172455,0.0001507975,13.35,9.942,9.942,0.0,1.35867772,1.35867772,1.01900829,-109.7703134071196,-114.10172459,0.0
2mer-0+72,-0.54978154,4,-1.09956308,-115.20128762,0.0001493824,12.222,9.973,9.973,0.0,-1.09956308,-1.09956308,-1.64934462,-110.8698764871196,-115.20128767,0.0
2mer-0+68,-0.43025266,4,-0.86050533,-116.06179295,0.0001375211,12.273,10.252,10.252,0.0,-0.86050532,-0.86050532,-1.29075798,-111.7303818071196,-116.06179299,0.0
2mer-0+89,-0.2903858,4,-0.5807716,-116.64256455,0.0001067812,13.483,11.154,11.154,0.0,-0.5807716,-0.5807716,-0.8711574000000001,-112.3111534071196,-116.64256459,0.0
2mer-0+122,-0.98541926,2,-0.98541926,-117.62798382,0.0001059652,14.084,11.183,11.183,0.0,-0.98541926,-0.98541926,-2.95625778,-113.2965726671196,-117.62798385,0.0
2mer-0+129,-0.04222479,4,-0.08444957,-117.71243339,9.710095e-05,14.117,11.513,11.513,0.0,-0.08444958,-0.08444958,-0.12667436999999998,-113.3810222471196,-117.71243343,0.0
2mer-0+90,-0.40048335,8,-1.6019334,-119.31436678,9.388976e-05,14.354,11.643,11.643,0.0,-1.6019334,-1.6019334,-1.20145005,-114.98295564711961,-119.31436683000001,0.0
2mer-0+165,0.33486379,8,1.33945518,-117.9749116,9.32635e-05,15.192,11.669,11.669,0.0,1.33945516,1.33945516,1.00459137,-113.64350048711961,-117.97491167000001,0.0
2mer-0+109,-0.30796736,8,-1.23186942,-119.20678102,9.081612e-05,14.555,11.773,11.773,0.0,-1.23186944,-1.23186944,-0.9239020800000001,-114.8753699271196,-119.20678111000001,0.0
2mer-0+132,0.34511768,2,0.34511768,-118.86166334,9.078946e-05,15.808,11.774,11.774,0.0,0.34511768,0.34511768,1.03535304,-114.5302522471196,-118.86166343000001,0.0
2mer-0+95,0.59741217,4,1.19482434,-117.666839,8.890769e-05,12.497,11.856,11.856,0.0,1.19482434,1.19482434,1.79223651,-113.33542790711961,-117.66683909000001,0.0
2mer-0+126,-0.60774857,8,-2.43099427,-120.09783327,8.283133e-05,15.153,12.14,12.14,0.0,-2.43099428,-2.43099428,-1.8232457100000001,-115.76642218711962,-120.09783337000002,0.0
2mer-0+94,-0.09309404,8,-0.37237615,-120.47020942,8.276972e-05,14.598,12.143,12.143,0.0,-0.37237616,-0.37237616,-0.27928212,-116.13879834711962,-120.47020953000002,0.0
2mer-0+104,0.35433895,8,1.41735579,-119.05285363,8.126235e-05,14.201,12.217,12.217,0.0,1.4173558,1.4173558,1.06301685,-114.72144254711962,-119.05285373000002,0.0
2mer-0+97,0.33865722,8,1.35462889,-117.69822475,7.949944e-05,13.35,12.307,12.307,0.0,1.35462888,1.35462888,1.01597166,-113.36681366711963,-117.69822485000003,0.0
2mer-0+116,-0.02800669,8,-0.11202675,-117.81025149,7.767971e-05,15.632,12.402,12.402,0.0,-0.11202676,-0.11202676,-0.08402007,-113.47884042711964,-117.81025161000004,0.0
2mer-0+144,0.22942694,4,0.45885388,-117.35139761,7.276361e-05,16.491,12.675,12.675,0.0,0.45885388,0.45885388,0.68828082,-113.01998654711963,-117.35139773000003,0.0
2mer-0+148,-0.40763301,4,-0.81526601,-118.16666362,6.704068e-05,16.151,13.026,13.026,0.0,-0.81526602,-0.81526602,-1.22289903,-113.83525256711962,-118.16666375000003,0.0
2mer-0+125,-0.20105641,8,-0.80422563,-118.97088925,6.314345e-05,15.629,13.289,13.289,0.0,-0.80422564,-0.80422564,-0.60316923,-114.63947820711962,-118.97088939000002,0.0
2mer-0+166,-0.07098175,8,-0.28392699,-119.25481624,6.282983e-05,16.179,13.311,13.311,0.0,-0.283927,-0.283927,-0.21294524999999997,-114.92340520711963,-119.25481639000003,0.0
2mer-0+170,-0.38017129,4,-0.76034258,-120.01515882,5.770387e-05,16.151,13.694,13.694,0.0,-0.76034258,-0.76034258,-1.14051387,-115.68374778711963,-120.01515897000003,0.0
2mer-0+192,0.62042598,4,1.24085197,-118.77430685,5.688125e-05,16.297,13.76,13.76,0.0,1.24085196,1.24085196,1.8612779400000001,-114.44289582711963,-118.77430701000003,0.0
2mer-0+146,-0.00452993,8,-0.01811973,-118.79242659,5.662787e-05,15.632,13.78,13.78,0.0,-0.01811972,-0.01811972,-0.01358979,-114.46101554711963,-118.79242673000003,0.0
2mer-0+177,0.0819206,4,0.16384119,-118.62858539,5.408963e-05,16.252,13.993,13.993,0.0,0.1638412,0.1638412,0.24576179999999997,-114.29717434711964,-118.62858553000004,0.0
2mer-0+149,-0.29279252,8,-1.17117008,-119.79975547,5.317395e-05,16.386,14.072,14.072,0.0,-1.17117008,-1.17117008,-0.87837756,-115.46834442711963,-119.79975561000003,0.0
2mer-0+253,0.13779821,4,0.27559642,-119.52415905,5.293074e-05,17.126,14.094,14.094,0.0,0.27559642,0.27559642,0.41339463,-115.19274800711963,-119.52415919000003,0.0
2mer-0+326,0.40955429,4,0.81910857,-118.70505048,5.288794e-05,17.505,14.098,14.098,0.0,0.81910858,0.81910858,1.22866287,-114.37363942711963,-118.70505061000003,0.0
2mer-0+167,-0.23979213,8,-0.95916852,-119.66421901,5.256866e-05,16.563,14.126,14.126,0.0,-0.95916852,-0.95916852,-0.71937639,-115.33280794711963,-119.66421913000003,0.0
2mer-0+189,0.22513584,4,0.45027169,-119.21394732,5.196148e-05,17.674,14.181,14.181,0.0,0.45027168,0.45027168,0.67540752,-114.88253626711963,-119.21394745000003,0.0
2mer-0+168,0.24812402,4,0.49624803,-118.71769928,5.171067e-05,16.767,14.204,14.204,0.0,0.49624804,0.49624804,0.74437206,-114.38628822711964,-118.71769941000004,0.0
2mer-0+222,0.0485412,4,0.0970824,-118.62061689,4.459997e-05,18.386,14.922,14.922,0.0,0.0970824,0.0970824,0.1456236,-114.28920582711963,-118.62061701000003,0.0
2mer-0+202,0.16401684,8,0.65606737,-117.96454952,4.445618e-05,18.287,14.938,14.938,0.0,0.65606736,0.65606736,0.49205052,-113.63313846711964,-117.96454965000004,0.0
2mer-0+190,0.17637515,8,0.7055006,-117.25904892,4.426272e-05,17.412,14.96,14.96,0.0,0.7055006,0.7055006,0.52912545,-112.92763786711964,-117.25904905000004,0.0
2mer-0+203,-0.18356449,8,-0.73425794,-117.99330686,4.189118e-05,17.981,15.237,15.237,0.0,-0.73425796,-0.73425796,-0.55069347,-113.66189582711964,-117.99330701000004,0.0
2mer-0+254,-0.08647939,8,-0.34591755,-118.33922441,4.176238e-05,18.007,15.252,15.252,0.0,-0.34591756,-0.34591756,-0.25943817,-114.00781338711964,-118.33922457000004,0.0
2mer-0+193,-0.17277391,8,-0.69109562,-119.03032004,4.15521e-05,17.514,15.278,15.278,0.0,-0.69109564,-0.69109564,-0.51832173,-114.69890902711964,-119.03032021000004,0.0
2mer-0+300,0.05997142,8,0.23988567,-118.79043436,3.905428e-05,18.862,15.597,15.597,0.0,0.23988568,0.23988568,0.17991426,-114.45902334711964,-118.79043453000004,0.0
2mer-0+374,0.23202834,8,0.92811337,-117.862321,3.90285e-05,19.206,15.601,15.601,0.0,0.92811336,0.92811336,0.6960850199999999,-113.53090998711964,-117.86232117000004,0.0
2mer-0+223,0.31412554,2,0.31412554,-117.54819546,3.751064e-05,15.808,15.808,15.808,0.0,0.31412554,0.31412554,0.9423766199999999,-113.21678444711964,-117.54819563000004,0.0
2mer-0+231,-0.13266207,8,-0.53064829,-118.07884375,3.749216e-05,18.83,15.811,15.811,0.0,-0.53064828,-0.53064828,-0.39798621,-113.74743272711963,-118.07884391000003,0.0
2mer-0+306,-0.40229395,2,-0.40229395,-118.4811377,3.714059e-05,18.779,15.861,15.861,0.0,-0.40229395,-0.40229395,-1.20688185,-114.14972667711963,-118.48113786000003,0.0
2mer-0+244,0.29368475,8,1.174739,-117.30639871,3.708541e-05,18.113,15.868,15.868,0.0,1.174739,1.174739,0.88105425,-112.97498767711963,-117.30639886000003,0.0
2mer-0+229,0.21847665,4,0.4369533,-116.8694454,3.656546e-05,16.491,15.943,15.943,0.0,0.4369533,0.4369533,0.65542995,-112.53803437711963,-116.86944556000003,0.0
2mer-0+227,0.00645618,8,0.02582472,-116.84362068,3.570281e-05,18.072,16.071,16.071,0.0,0.02582472,0.02582472,0.01936854,-112.51220965711963,-116.84362084000003,0.0
2mer-0+294,0.16043669,4,0.32087337,-116.52274731,3.475779e-05,20.152,16.215,16.215,0.0,0.32087338,0.32087338,0.48131007,-112.19133627711963,-116.52274746000003,0.0
2mer-0+245,0.2177895,4,0.435579,-116.08716831,3.437482e-05,17.674,16.275,16.275,0.0,0.435579,0.435579,0.6533685,-111.75575727711963,-116.08716846000003,0.0
2mer-0+273,-0.12043168,8,-0.4817267,-116.56889501,3.297516e-05,18.83,16.502,16.502,0.0,-0.48172672,-0.48172672,-0.36129504,-112.23748399711963,-116.56889518000003,0.0
2mer-0+315,-0.30720175,8,-1.22880702,-117.79770203,3.269486e-05,19.593,16.549,16.549,0.0,-1.228807,-1.228807,-0.92160525,-113.46629099711963,-117.79770218000003,0.0
2mer-0+256,0.04958127,8,0.19832507,-117.59937696,3.183812e-05,19.217,16.696,16.696,0.0,0.19832508,0.19832508,0.14874380999999998,-113.26796591711962,-117.59937710000003,0.0
2mer-0+261,0.16129241,8,0.64516963,-116.95420733,3.116226e-05,18.287,16.816,16.816,0.0,0.64516964,0.64516964,0.48387723,-112.62279627711962,-116.95420746000002,0.0
2mer-0+317,0.12535695,8,0.50142778,-116.45277955,3.080432e-05,20.691,16.881,16.881,0.0,0.5014278,0.5014278,0.37607084999999996,-112.12136847711962,-116.45277966000002,0.0
2mer-0+281,0.05354392,8,0.21417568,-116.23860386,3.07768e-05,20.013,16.886,16.886,0.0,0.21417568,0.21417568,0.16063176,-111.90719279711962,-116.23860398000002,0.0
2mer-0+286,-0.15642771,8,-0.62571083,-116.86431469,2.983671e-05,19.836,17.062,17.062,0.0,-0.62571084,-0.62571084,-0.46928313,-112.53290363711962,-116.86431482000002,0.0
2mer-0+289,0.05596586,4,0.11193171,-116.75238298,2.96175e-05,18.386,17.104,17.104,0.0,0.11193172,0.11193172,0.16789758,-112.42097191711962,-116.75238310000002,0.0
2mer-0+312,-0.13624752,8,-0.54499008,-117.29737306,2.937511e-05,19.982,17.15,17.15,0.0,-0.54499008,-0.54499008,-0.40874256000000003,-112.96596199711962,-117.29737318000002,0.0
