N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-31.49820229,4,-62.99640459,-62.99640459,0.01813338,4.313,2.014,2.014,-0.20197978615760803
2mer-0+3,-43.1820896,2,-43.1820896,-106.17849419,0.01668822,4.695,2.071,2.071,-0.2877620458602905
2mer-0+5,-6.59295197,4,-13.18590393,-119.36439812,0.009147917,4.943,2.53,2.53,-0.25853922963142395
2mer-0+9,3.77116693,2,3.77116693,-115.59323119,0.002556938,7.904,3.87,3.87,-0.07374843955039978
2mer-0+4,2.10270604,4,4.20541208,-111.38781911,0.002399124,5.589,3.953,3.953,-0.09721167385578156
2mer-0+6,-0.70698451,8,-2.82793804,-114.21575715,0.001085751,7.299,5.149,5.149,-0.04397590830922127
2mer-0+35,2.55805014,4,5.11610029,-109.09965686,0.0009791764,8.622,5.329,5.329,-0.04157283529639244
2mer-0+10,3.78613815,4,7.57227629,-101.52738057,0.0009024153,7.54,5.476,5.476,-0.01347650121897459
2mer-0+16,0.50103273,4,1.00206545,-100.52531511,0.0007859423,9.193,5.734,5.734,-0.03050937131047249
2mer-0+12,-1.75523209,8,-7.02092835,-107.54624347,0.000534934,9.004,6.519,6.519,-0.009212336502969265
2mer-0+31,-4.05140194,2,-4.05140194,-111.59764541,0.000532393,9.389,6.529,6.529,-0.009119214490056038
2mer-0+23,-0.98367747,8,-3.93470989,-115.5323553,0.0005075125,9.322,6.634,6.634,-0.015424041077494621
2mer-0+26,2.50082887,2,2.50082887,-113.03152643,0.0003000851,7.904,7.904,7.904,-0.0017211904050782323
2mer-0+34,-1.35554257,8,-5.42217028,-118.45369671,0.0002831232,10.927,8.059,8.059,0
2mer-0+29,0.68999957,4,1.37999913,-117.07369758,0.0002716435,9.193,8.171,8.171,0
2mer-0+61,0.23001301,8,0.92005205,-116.15364553,0.0002374358,11.697,8.546,8.546,0
2mer-0+50,0.71632659,4,1.43265318,-114.72099235,0.0002201675,12.497,8.764,8.764,0
2mer-0+45,0.81144883,4,1.62289765,-113.0980947,0.0002174028,11.178,8.801,8.801,0
2mer-0+37,-0.17301312,8,-0.69205246,-113.79014716,0.0002155932,10.924,8.825,8.825,0
2mer-0+51,-0.60802992,4,-1.21605985,-115.00620701,0.0001892028,12.273,9.218,9.218,0
2mer-0+62,1.66703703,4,3.33407406,-111.67213295,0.0001806795,11.797,9.36,9.36,0
2mer-0+131,1.03795592,4,2.07591185,-109.5962211,0.0001692183,12.974,9.567,9.567,0
2mer-0+48,0.38576453,8,1.54305812,-108.05316299,0.0001591414,12.124,9.765,9.765,0
2mer-0+56,-0.87406699,4,-1.74813397,-109.80129696,0.0001548252,11.981,9.855,9.855,0
2mer-0+60,0.38784981,8,1.55139924,-108.24989772,0.0001507975,13.35,9.942,9.942,0
2mer-0+72,-0.62395492,4,-1.24790985,-109.49780756,0.0001493824,12.222,9.973,9.973,0
2mer-0+68,-0.4867809,4,-0.9735618,-110.47136936,0.0001375211,12.273,10.252,10.252,0
2mer-0+89,-0.30251213,4,-0.60502426,-111.07639362,0.0001067812,13.483,11.154,11.154,0
2mer-0+122,-1.08882449,2,-1.08882449,-112.16521811,0.0001059652,14.084,11.183,11.183,0
2mer-0+129,-0.04747484,4,-0.09494969,-112.26016779,9.710095e-05,14.117,11.513,11.513,0
2mer-0+90,-0.43849919,8,-1.75399677,-114.01416456,9.388976e-05,14.354,11.643,11.643,0
2mer-0+165,0.39330265,8,1.57321058,-112.44095398,9.32635e-05,15.192,11.669,11.669,0
2mer-0+109,-0.34285827,8,-1.37143307,-113.81238705,9.081612e-05,14.555,11.773,11.773,0
2mer-0+132,0.38068188,2,0.38068188,-113.43170518,9.078946e-05,15.808,11.774,11.774,0
2mer-0+95,0.66233191,4,1.32466382,-112.10704136,8.890769e-05,12.497,11.856,11.856,0
2mer-0+126,-0.67458653,8,-2.69834612,-114.80538748,8.283133e-05,15.153,12.14,12.14,0
2mer-0+94,-0.10059675,8,-0.402387,-115.20777448,8.276972e-05,14.598,12.143,12.143,0
2mer-0+104,0.40755757,8,1.63023029,-113.57754419,8.126235e-05,14.201,12.217,12.217,0
2mer-0+97,0.36714555,8,1.46858221,-112.10896198,7.949944e-05,13.35,12.307,12.307,0
2mer-0+116,-0.03335005,8,-0.1334002,-112.24236218,7.767971e-05,15.632,12.402,12.402,0
2mer-0+144,0.25893417,4,0.51786833,-111.72449385,7.276361e-05,16.491,12.675,12.675,0
2mer-0+148,-0.44038444,4,-0.88076887,-112.60526272,6.704068e-05,16.151,13.026,13.026,0
2mer-0+125,-0.22589064,8,-0.90356257,-113.50882528,6.314345e-05,15.629,13.289,13.289,0
2mer-0+166,-0.09483873,8,-0.37935491,-113.88818019,6.282983e-05,16.179,13.311,13.311,0
