N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+5,-8.29682256,2,-8.29682256,-8.29682256,0.01281788,5.652,2.261,2.261,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fe6fc9d')"
2mer-0+4,-3.86537981,2,-3.86537981,-12.16220237,0.0114914,6.65,2.345,2.345,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cfe68c3')"
2mer-0+1,-34.9397284,2,-34.9397284,-47.10193078,0.01025822,5.013,2.435,2.435,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='414dca0')"
2mer-0+13,-26.85398335,2,-26.85398335,-73.95591413,0.009000085,5.74,2.544,2.544,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6a7af41')"
2mer-0+2,-18.2766021,2,-18.2766021,-92.23251623,0.008967413,6.87,2.547,2.547,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='eff2fa6')"
2mer-0+7,-2.09523729,2,-2.09523729,-94.32775351,0.007354513,6.459,2.721,2.721,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='101f6fe')"
2mer-0+8,-0.03816145,2,-0.03816145,-94.36591496,0.004076411,6.21,3.313,3.313,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c017572')"
2mer-0+6,1.62275747,2,1.62275747,-92.74315749,0.00226209,8.708,4.031,4.031,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='92dca15')"
2mer-0+23,-0.60339056,2,-0.60339056,-93.34654805,0.00130477,9.099,4.843,4.843,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='630ce87')"
2mer-0+27,-1.94427525,2,-1.94427525,-95.29082329,0.0008960638,9.261,5.489,5.489,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='05a8e7d')"
2mer-0+14,0.37201123,2,0.37201123,-94.91881207,0.0008510465,9.099,5.584,5.584,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ce5be4c')"
2mer-0+10,-0.81718572,2,-0.81718572,-95.73599779,0.0007557743,9.261,5.809,5.809,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1de7975')"
2mer-0+11,-1.52888787,2,-1.52888787,-97.26488566,0.0007477758,9.848,5.83,5.83,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1a3731a')"
2mer-0+34,0.16957052,2,0.16957052,-97.09531514,0.0007204193,10.344,5.903,5.903,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='8487e68')"
