N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-8.77767548,2,-8.77767548,-8.77767548,0.01281788,5.652,2.261,2.261,0.0993276759982109,-8.77767548,-8.678347804001788,-26.333026439999998,-8.678347804001788,-8.77767548,-7.7082338
2mer-0+4,-4.72038686,2,-4.72038686,-13.49806234,0.0114914,6.65,2.345,2.345,-0.0217446386814117,-4.72038686,-4.742131498681411,-14.161160579999999,-13.4204793026832,-13.498062339999999,0.0
2mer-0+1,-31.65251495,2,-31.65251495,-45.15057729,0.01025822,5.013,2.435,2.435,1.0602225065231323,-31.65251495,-30.592292443476868,-94.95754485,-44.01277174616007,-45.15057729,0.0
2mer-0+13,-24.28512629,2,-24.28512629,-69.43570358,0.009000085,5.74,2.544,2.544,0.8407405018806458,-24.28512629,-23.444385788119355,-72.85537887000001,-67.45715753427942,-69.43570358,0.0
2mer-0+2,-16.73128345,2,-16.73128345,-86.16698702,0.008967413,6.87,2.547,2.547,0.5453999638557434,-16.73128345,-16.185883486144256,-50.19385035,-83.64304102042368,-86.16698703,0.0
2mer-0+7,-3.32124902,2,-3.32124902,-89.48823604,0.007354513,6.459,2.721,2.721,-0.0484333783388137,-3.32124902,-3.369682398338814,-9.963747060000001,-87.01272341876249,-89.48823605,0.0
2mer-0+8,-1.21649203,2,-1.21649203,-90.70472807,0.004076411,6.21,3.313,3.313,-0.053243551403284,-1.21649203,-1.269735581403284,-3.64947609,-88.28245900016577,-90.70472808,0.0
2mer-0+6,0.89691285,2,0.89691285,-89.80781522,0.00226209,8.708,4.031,4.031,0.2789631485939026,0.89691285,1.1758759985939027,2.69073855,-87.10658300157186,-89.80781522999999,0.0
2mer-0+23,-0.68457689,2,-0.68457689,-90.49239211,0.00130477,9.099,4.843,4.843,-0.0048919441178441,-0.68457689,-0.6894688341178441,-2.05373067,-87.79605183568971,-90.49239211999999,0.0
2mer-0+27,-1.91707816,2,-1.91707816,-92.40947027,0.0008960638,9.261,5.489,5.489,0.0548249222338199,-1.91707816,-1.86225323776618,-5.75123448,-89.65830507345589,-92.40947028,0.0
2mer-0+14,0.31132193,2,0.31132193,-92.09814834,0.0008510465,9.099,5.584,5.584,-0.0224264841526746,0.31132193,0.2888954458473254,0.93396579,-89.36940962760856,-92.09814834999999,0.0
2mer-0+10,-0.82621295,2,-0.82621295,-92.92436129,0.0007557743,9.261,5.809,5.809,-0.002415316645056,-0.82621295,-0.828628266645056,-2.47863885,-90.19803789425362,-92.92436129999999,0.0
2mer-0+11,-1.50123053,2,-1.50123053,-94.42559182,0.0007477758,9.848,5.83,5.83,0.0306708794087171,-1.50123053,-1.4705596505912828,-4.50369159,-91.6685975448449,-94.42559182999999,0.0
