N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+5,-6.31427385,2,-6.31427385,-6.31427385,0.01281788,5.652,2.261,2.261,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='fe6fc9d')"
2mer-0+4,-2.91186184,2,-2.91186184,-9.22613569,0.0114914,6.65,2.345,2.345,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='cfe68c3')"
2mer-0+1,-31.31945404,2,-31.31945404,-40.54558973,0.01025822,5.013,2.435,2.435,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='414dca0')"
2mer-0+13,-24.43057604,2,-24.43057604,-64.97616578,0.009000085,5.74,2.544,2.544,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='6a7af41')"
2mer-0+2,-15.47477806,2,-15.47477806,-80.45094384,0.008967413,6.87,2.547,2.547,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='eff2fa6')"
2mer-0+7,-1.51845116,2,-1.51845116,-81.969395,0.007354513,6.459,2.721,2.721,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='101f6fe')"
2mer-0+8,-0.34574596,2,-0.34574596,-82.31514095,0.004076411,6.21,3.313,3.313,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='c017572')"
2mer-0+6,0.82277007,2,0.82277007,-81.49237088,0.00226209,8.708,4.031,4.031,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='92dca15')"
2mer-0+23,-0.58214865,2,-0.58214865,-82.07451953,0.00130477,9.099,4.843,4.843,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='630ce87')"
2mer-0+27,-1.76770788,2,-1.76770788,-83.84222741,0.0008960638,9.261,5.489,5.489,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='05a8e7d')"
2mer-0+14,0.2995459,2,0.2995459,-83.54268151,0.0008510465,9.099,5.584,5.584,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='ce5be4c')"
2mer-0+10,-0.7335861,2,-0.7335861,-84.27626761,0.0007557743,9.261,5.809,5.809,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1de7975')"
2mer-0+11,-1.3703259,2,-1.3703259,-85.64659351,0.0007477758,9.848,5.83,5.83,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='1a3731a')"
2mer-0+34,0.12312748,2,0.12312748,-85.52346603,0.0007204193,10.344,5.903,5.903,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='8487e68')"
2mer-0+58,0.5525002,2,0.5525002,-84.97096583,0.0005879759,10.889,6.317,6.317,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='72b47b9')"
2mer-0+16,-0.22150273,2,-0.22150273,-85.19246856,0.0005830957,10.617,6.334,6.334,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='345ca98')"
2mer-0+26,-0.20985551,2,-0.20985551,-85.40232407,0.0005533146,10.696,6.446,6.446,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='e736e2b')"
2mer-0+32,0.2416781,2,0.2416781,-85.16064597,0.0004672038,10.926,6.82,6.82,,"Molecule(name='C12H16O4', formula='C12H16O4', hash='f9c74da')"
