N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+5,-6.31427385,2,-6.31427385,-6.31427385,0.01281788,5.652,2.261,2.261,0.3824580907821655,-6.31427385,-5.931815759217835,-18.94282155,-5.931815759217835,-6.31427385,-7.7082338
2mer-0+4,-2.91186184,2,-2.91186184,-9.22613569,0.0114914,6.65,2.345,2.345,0.2913020253181457,-2.91186184,-2.620559814681854,-8.735585519999999,-8.552375573899688,-9.22613569,0.0
2mer-0+1,-31.31945404,2,-31.31945404,-40.54558973,0.01025822,5.013,2.435,2.435,0.4001452326774597,-31.31945404,-30.91930880732254,-93.95836212,-39.47168438122223,-40.54558973,0.0
2mer-0+13,-24.43057604,2,-24.43057604,-64.97616578,0.009000085,5.74,2.544,2.544,0.4544178545475006,-24.43057604,-23.976158185452498,-73.29172811999999,-63.44784256667473,-64.97616577,0.0
2mer-0+2,-15.47477806,2,-15.47477806,-80.45094384,0.008967413,6.87,2.547,2.547,0.4540749788284302,-15.47477806,-15.02070308117157,-46.42433418,-78.4685456478463,-80.45094383,0.0
2mer-0+7,-1.51845116,2,-1.51845116,-81.969395,0.007354513,6.459,2.721,2.721,0.229231595993042,-1.51845116,-1.289219564006958,-4.55535348,-79.75776521185325,-81.96939499,0.0
2mer-0+8,-0.34574596,2,-0.34574596,-82.31514095,0.004076411,6.21,3.313,3.313,0.0785889402031898,-0.34574596,-0.2671570197968102,-1.0372378800000002,-80.02492223165007,-82.31514095,0.0
2mer-0+6,0.82277007,2,0.82277007,-81.49237088,0.00226209,8.708,4.031,4.031,0.2480443269014358,0.82277007,1.0708143969014359,2.4683102100000003,-78.95410783474863,-81.49237088,0.0
2mer-0+23,-0.58214865,2,-0.58214865,-82.07451953,0.00130477,9.099,4.843,4.843,0.0585282146930694,-0.58214865,-0.5236204353069307,-1.74644595,-79.47772827005555,-82.07451952999999,0.0
2mer-0+27,-1.76770788,2,-1.76770788,-83.84222741,0.0008960638,9.261,5.489,5.489,0.0651986449956893,-1.76770788,-1.7025092350043105,-5.30312364,-81.18023750505986,-83.84222740999999,0.0
