N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-8.78282647,2,-8.78282647,-8.78282647,0.01281788,5.652,2.261,2.261,-0.19707737863063812
2mer-0+4,-4.6613187,2,-4.6613187,-13.44414517,0.0114914,6.65,2.345,2.345,-0.20584557950496674
2mer-0+1,-31.83677368,2,-31.83677368,-45.28091885,0.01025822,5.013,2.435,2.435,0.7276445031166077
2mer-0+13,-25.01697933,2,-25.01697933,-70.29789818,0.009000085,5.74,2.544,2.544,0.26088812947273254
2mer-0+2,-18.34680264,2,-18.34680264,-88.64470082,0.008967413,6.87,2.547,2.547,0.10428790003061295
2mer-0+7,-2.97812986,2,-2.97812986,-91.62283068,0.007354513,6.459,2.721,2.721,-0.21256515383720398
2mer-0+8,-0.8115745,2,-0.8115745,-92.43440518,0.004076411,6.21,3.313,3.313,-0.10536988079547882
2mer-0+6,0.90736253,2,0.90736253,-91.52704265,0.00226209,8.708,4.031,4.031,0.162692591547966
2mer-0+23,-0.61865555,2,-0.61865555,-92.1456982,0.00130477,9.099,4.843,4.843,-0.048510659486055374
2mer-0+27,-1.8272455,2,-1.8272455,-93.9729437,0.0008960638,9.261,5.489,5.489,0.01903389021754265
2mer-0+14,0.33441105,2,0.33441105,-93.63853265,0.0008510465,9.099,5.584,5.584,-0.022812573239207268
2mer-0+10,-0.77939222,2,-0.77939222,-94.41792487,0.0007557743,9.261,5.809,5.809,-0.030278723686933517
2mer-0+11,-1.45386829,2,-1.45386829,-95.87179316,0.0007477758,9.848,5.83,5.83,-0.007381810806691647
2mer-0+34,0.14282769,2,0.14282769,-95.72896548,0.0007204193,10.344,5.903,5.903,-0.027296675369143486
2mer-0+58,0.63618202,2,0.63618202,-95.09278346,0.0005879759,10.889,6.317,6.317,0.024660054594278336
2mer-0+16,-0.18625583,2,-0.18625583,-95.27903929,0.0005830957,10.617,6.334,6.334,0.02385910227894783
2mer-0+26,-0.17818035,2,-0.17818035,-95.45721964,0.0005533146,10.696,6.446,6.446,0.023108117282390594
