N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-40.18655074,2,-40.18655074,-40.18655074,0.03295058,4.283,1.651,1.651,0.03147871792316437
2mer-0+2,-4.0621748,2,-4.0621748,-44.24872554,0.007997347,5.431,2.646,2.646,0.0226660817861557
2mer-0+1,-3.55928397,2,-3.55928397,-47.80800951,0.007472645,5.619,2.707,2.707,0.24010473489761353
2mer-0+3,-5.79929491,2,-5.79929491,-53.60730442,0.007452393,4.09,2.709,2.709,0.04021952301263809
2mer-0+4,-2.04164086,2,-2.04164086,-55.64894528,0.00532638,5.769,3.03,3.03,-0.019173745065927505
2mer-0+10,-9.03622254,2,-9.03622254,-64.68516782,0.004459041,4.283,3.215,3.215,0.25999072194099426
2mer-0+7,-0.97738192,2,-0.97738192,-65.66254974,0.004322371,7.072,3.249,3.249,-0.0017900554230436683
2mer-0+8,-2.11067024,2,-2.11067024,-67.77321998,0.002102541,6.66,4.131,4.131,0.11750967055559158
2mer-0+21,-1.93408221,2,-1.93408221,-69.70730219,0.001648892,7.682,4.479,4.479,0.056234266608953476
2mer-0+23,-0.38622697,2,-0.38622697,-70.09352916,0.001393036,7.803,4.738,4.738,-0.010189349763095379
2mer-0+18,-1.84690614,2,-1.84690614,-71.94043529,0.001192246,7.197,4.991,4.991,0.017084326595067978
2mer-0+19,0.37269269,2,0.37269269,-71.56774261,0.0008603999,7.072,5.564,5.564,-0.007068540435284376
2mer-0+32,-0.30495977,2,-0.30495977,-71.87270238,0.0007874066,8.811,5.731,5.731,0.006779397837817669
2mer-0+34,-0.43741433,2,-0.43741433,-72.31011671,0.0007829436,9.215,5.741,5.741,-0.014802081510424614
2mer-0+11,-0.14415408,2,-0.14415408,-72.45427079,0.00077209,8.192,5.768,5.768,0.02296626567840576
