N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+5,-40.18655074,2,-40.18655074,-40.18655074,0.03295058,4.283,1.651,1.651,0.0314787179231643,-40.18655074,-40.15507202207684,-120.55965222,-40.15507202207684,-40.18655074
2mer-0+2,-4.0621748,2,-4.0621748,-44.24872554,0.007997347,5.431,2.646,2.646,0.0226660817861557,-4.0621748,-4.0395087182138445,-12.1865244,-44.19458074029068,-44.24872554
2mer-0+1,-3.55928397,2,-3.55928397,-47.80800951,0.007472645,5.619,2.707,2.707,0.2401047348976135,-3.55928397,-3.3191792351023865,-10.677851910000001,-47.51375997539307,-47.808009510000005
2mer-0+3,-5.79929491,2,-5.79929491,-53.60730442,0.007452393,4.09,2.709,2.709,0.040219523012638,-5.79929491,-5.759075386987362,-17.39788473,-53.272835362380434,-53.607304420000006
2mer-0+4,-2.04164086,2,-2.04164086,-55.64894528,0.00532638,5.769,3.03,3.03,-0.0191737450659275,-2.04164086,-2.0608146050659273,-6.12492258,-55.33364996744636,-55.64894528000001
2mer-0+10,-9.03622254,2,-9.03622254,-64.68516782,0.004459041,4.283,3.215,3.215,0.2599907219409942,-9.03622254,-8.776231818059006,-27.108667620000002,-64.10988178550537,-64.68516782
2mer-0+7,-0.97738192,2,-0.97738192,-65.66254974,0.004322371,7.072,3.249,3.249,-0.0017900554230436,-0.97738192,-0.9791719754230436,-2.93214576,-65.08905376092841,-65.66254974
2mer-0+8,-2.11067024,2,-2.11067024,-67.77321998,0.002102541,6.66,4.131,4.131,0.1175096705555915,-2.11067024,-1.9931605694444086,-6.33201072,-67.08221433037282,-67.77321998000001
2mer-0+21,-1.93408221,2,-1.93408221,-69.70730219,0.001648892,7.682,4.479,4.479,0.0562342666089534,-1.93408221,-1.8778479433910464,-5.80224663,-68.96006227376387,-69.70730219000001
2mer-0+23,-0.38622697,2,-0.38622697,-70.09352916,0.001393036,7.803,4.738,4.738,-0.0101893497630953,-0.38622697,-0.3964163197630953,-1.15868091,-69.35647859352696,-70.09352916
2mer-0+18,-1.84690614,2,-1.84690614,-71.94043529,0.001192246,7.197,4.991,4.991,0.0170843265950679,-1.84690614,-1.829821813404932,-5.54071842,-71.18630040693189,-71.9404353
2mer-0+19,0.37269269,2,0.37269269,-71.56774261,0.0008603999,7.072,5.564,5.564,-0.0070685404352843,0.37269269,0.3656241495647157,1.11807807,-70.82067625736718,-71.56774261000001
2mer-0+32,-0.30495977,2,-0.30495977,-71.87270238,0.0007874066,8.811,5.731,5.731,0.0067793978378176,-0.30495977,-0.2981803721621824,-0.9148793100000001,-71.11885662952936,-71.87270238
2mer-0+34,-0.43741433,2,-0.43741433,-72.31011671,0.0007829436,9.215,5.741,5.741,-0.0148020815104246,-0.43741433,-0.45221641151042463,-1.31224299,-71.57107304103978,-72.31011671
