N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+5,-36.6588322,2,-36.6588322,-36.6588322,0.03295058,4.283,1.651,1.651,1.2144938707351685,-36.6588322,-35.44433832926483,-109.97649659999999,-35.44433832926483,-36.6588322
2mer-0+2,-2.78950125,2,-2.78950125,-39.44833344,0.007997347,5.431,2.646,2.646,0.3574349284172058,-2.78950125,-2.432066321582794,-8.368503749999999,-37.876404650847626,-39.44833345
2mer-0+1,-3.2580958,2,-3.2580958,-42.70642924,0.007472645,5.619,2.707,2.707,0.3654626011848449,-3.2580958,-2.892633198815155,-9.7742874,-40.76903784966278,-42.70642925
2mer-0+3,-4.50436305,2,-4.50436305,-47.21079229,0.007452393,4.09,2.709,2.709,0.4134497940540313,-4.50436305,-4.090913255945969,-13.51308915,-44.85995110560875,-47.2107923
2mer-0+4,-1.00732567,2,-1.00732567,-48.21811796,0.00532638,5.769,3.03,3.03,0.305782288312912,-1.00732567,-0.701543381687088,-3.0219770099999996,-45.56149448729584,-48.21811797
2mer-0+10,-8.38412789,2,-8.38412789,-56.60224585,0.004459041,4.283,3.215,3.215,0.339490681886673,-8.38412789,-8.044637208113327,-25.15238367,-53.60613169540917,-56.602245860000004
2mer-0+7,-0.46516068,2,-0.46516068,-57.06740652,0.004322371,7.072,3.249,3.249,0.2307187765836715,-0.46516068,-0.2344419034163285,-1.39548204,-53.84057359882549,-57.06740654
2mer-0+8,-1.62272948,2,-1.62272948,-58.69013601,0.002102541,6.66,4.131,4.131,0.2206142097711563,-1.62272948,-1.4021152702288437,-4.86818844,-55.242688869054334,-58.69013602
2mer-0+21,-1.74535448,2,-1.74535448,-60.43549048,0.001648892,7.682,4.479,4.479,0.052287820726633,-1.74535448,-1.693066659273367,-5.236063440000001,-56.935755528327704,-60.4354905
2mer-0+23,-0.25185596,2,-0.25185596,-60.68734644,0.001393036,7.803,4.738,4.738,0.0468694753944873,-0.25185596,-0.2049864846055127,-0.75556788,-57.14074201293322,-60.68734646
