N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+5,-45.27134597,2,-45.27134597,-45.27134597,0.03295058,4.283,1.651,1.651,0.6956707239151001,-45.27134597,-44.5756752460849,-135.81403791,-44.5756752460849,-45.27134597
2mer-0+2,-4.5442266,2,-4.5442266,-49.81557257,0.007997347,5.431,2.646,2.646,0.886843204498291,-4.5442266,-3.657383395501709,-13.6326798,-48.23305864158661,-49.81557257
2mer-0+1,-4.3645365,2,-4.3645365,-54.18010907,0.007472645,5.619,2.707,2.707,0.5824533104896545,-4.3645365,-3.7820831895103453,-13.0936095,-52.015141831096955,-54.18010907
2mer-0+3,-5.75733053,2,-5.75733053,-59.9374396,0.007452393,4.09,2.709,2.709,1.1645982265472412,-5.75733053,-4.592732303452759,-17.27199159,-56.60787413454971,-59.9374396
2mer-0+4,-2.0434178,2,-2.0434178,-61.98085741,0.00532638,5.769,3.03,3.03,0.3257307708263397,-2.0434178,-1.7176870291736601,-6.130253399999999,-58.32556116372337,-61.9808574
2mer-0+10,-9.2887621,2,-9.2887621,-71.26961951,0.004459041,4.283,3.215,3.215,0.9131635427474976,-9.2887621,-8.375598557252502,-27.8662863,-66.70115972097588,-71.2696195
2mer-0+7,-0.81068262,2,-0.81068262,-72.08030212,0.004322371,7.072,3.249,3.249,0.09721290320158,-0.81068262,-0.71346971679842,-2.43204786,-67.4146294377743,-72.08030212
2mer-0+8,-1.98421807,2,-1.98421807,-74.06452019,0.002102541,6.66,4.131,4.131,0.1890838593244552,-1.98421807,-1.7951342106755448,-5.95265421,-69.20976364844984,-74.06452019
2mer-0+21,-1.86929505,2,-1.86929505,-75.93381524,0.001648892,7.682,4.479,4.479,0.0870168283581733,-1.86929505,-1.7822782216418267,-5.60788515,-70.99204187009167,-75.93381524
2mer-0+23,-0.33342924,2,-0.33342924,-76.26724448,0.001393036,7.803,4.738,4.738,0.0645323544740676,-0.33342924,-0.2688968855259324,-1.00028772,-71.2609387556176,-76.26724448
