N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+1,-14.05258759,8,-56.21035034,-56.21035034,0.00966271,6.475,2.484,2.484,,"Molecule(name='C20H32', formula='C20H32', hash='36dd0e5')"
2mer-0+5,-12.62534267,4,-25.25068535,-81.46103569,0.00794005,6.64,2.653,2.653,,"Molecule(name='C20H32', formula='C20H32', hash='31b1467')"
2mer-0+13,-1.69730421,2,-1.69730421,-83.1583399,0.001909289,8.919,4.266,4.266,,"Molecule(name='C20H32', formula='C20H32', hash='f5bee13')"
2mer-0+15,-1.02859419,4,-2.05718837,-85.21552827,0.001514838,9.39,4.608,4.608,,"Molecule(name='C20H32', formula='C20H32', hash='551913d')"
2mer-0+19,-0.25826564,8,-1.03306258,-86.24859085,0.0005622003,11.119,6.412,6.412,,"Molecule(name='C20H32', formula='C20H32', hash='93fadab')"
2mer-0+23,-0.20934155,8,-0.83736622,-87.08595706,0.0004581592,11.406,6.864,6.864,,"Molecule(name='C20H32', formula='C20H32', hash='11e0089')"
2mer-0+26,-0.22007976,8,-0.88031904,-87.96627611,0.000432603,11.406,6.997,6.997,,"Molecule(name='C20H32', formula='C20H32', hash='d1a7485')"
2mer-0+43,-0.09007379,8,-0.36029514,-88.32657125,0.0002159451,12.951,8.82,8.82,,"Molecule(name='C20H32', formula='C20H32', hash='06f9df6')"
2mer-0+51,-0.07538245,4,-0.1507649,-88.47733615,0.0001956777,13.279,9.115,9.115,,"Molecule(name='C20H32', formula='C20H32', hash='3a5ea47')"
2mer-0+55,-0.04921886,8,-0.19687546,-88.67421161,0.0001798615,14.178,9.375,9.375,,"Molecule(name='C20H32', formula='C20H32', hash='1bcaf1c')"
2mer-0+67,-0.03626464,4,-0.07252927,-88.74674088,0.0001438398,14.847,10.1,10.1,,"Molecule(name='C20H32', formula='C20H32', hash='9420716')"
2mer-0+63,-0.03707617,8,-0.14830466,-88.89504554,0.0001430019,14.774,10.119,10.119,,"Molecule(name='C20H32', formula='C20H32', hash='a7ae952')"
2mer-0+71,-0.03563996,4,-0.07127993,-88.96632547,0.0001400989,14.847,10.189,10.189,,"Molecule(name='C20H32', formula='C20H32', hash='5de4374')"
2mer-0+79,-0.02165952,8,-0.08663806,-89.05296353,9.757696e-05,15.997,11.494,11.494,,"Molecule(name='C20H32', formula='C20H32', hash='56f9fc1')"
2mer-0+87,-0.01469762,8,-0.05879047,-89.111754,7.629491e-05,17.006,12.477,12.477,,"Molecule(name='C20H32', formula='C20H32', hash='6f58425')"
2mer-0+88,-0.01467969,8,-0.05871876,-89.17047276,7.488784e-05,17.006,12.554,12.554,,"Molecule(name='C20H32', formula='C20H32', hash='823c23b')"
2mer-0+95,-0.01301504,8,-0.05206016,-89.22253292,7.291536e-05,17.32,12.667,12.667,,"Molecule(name='C20H32', formula='C20H32', hash='6cd0435')"
2mer-0+102,-0.0130677,8,-0.0522708,-89.27480372,6.881573e-05,17.32,12.913,12.913,,"Molecule(name='C20H32', formula='C20H32', hash='bb802d1')"
2mer-0+110,-0.01214963,8,-0.04859852,-89.32340224,6.706137e-05,17.506,13.025,13.025,,"Molecule(name='C20H32', formula='C20H32', hash='6df629e')"
2mer-0+116,-0.01217332,8,-0.04869327,-89.37209551,6.609722e-05,17.506,13.088,13.088,,"Molecule(name='C20H32', formula='C20H32', hash='9257624')"
2mer-0+121,-0.01109818,2,-0.01109818,-89.38319369,6.609091e-05,17.838,13.088,13.088,,"Molecule(name='C20H32', formula='C20H32', hash='5180aac')"
2mer-0+139,-0.00787343,4,-0.01574686,-89.39894055,5.422847e-05,18.78,13.981,13.981,,"Molecule(name='C20H32', formula='C20H32', hash='0867d8c')"
