N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+1,-14.05258759,8,-56.21035034,-56.21035034,0.00966271,6.475,2.484,2.484,-0.2682852447032928,-56.21035036,-57.28349133881317,-42.15776277,-57.28349133881317,-56.21035034,-37.236704410168265
2mer-0+5,-12.62534267,4,-25.25068535,-81.46103569,0.00794005,6.64,2.653,2.653,-0.1512013971805572,-25.25068534,-25.553088134361115,-37.87602801,-82.83657947317428,-81.46103568,0.0
2mer-0+13,-1.69730421,2,-1.69730421,-83.1583399,0.001909289,8.919,4.266,4.266,-0.0427584201097488,-1.69730421,-1.7400626301097488,-5.0919126299999995,-84.57664210328403,-83.15833989,0.0
2mer-0+15,-1.02859419,4,-2.05718837,-85.21552827,0.001514838,9.39,4.608,4.608,0.0098454169929027,-2.05718838,-2.0374975460141944,-3.08578257,-86.61413964929822,-85.21552827,0.0
2mer-0+19,-0.25826564,8,-1.03306258,-86.24859085,0.0005622003,11.119,6.412,6.412,-0.0028969368431717,-1.03306256,-1.044650307372687,-0.77479692,-87.65878995667092,-86.24859083,0.0
2mer-0+23,-0.20934155,8,-0.83736622,-87.08595706,0.0004581592,11.406,6.864,6.864,0.0003635957837104,-0.8373662,-0.8359118168651584,-0.62802465,-88.49470177353608,-87.08595703,0.0
2mer-0+26,-0.22007976,8,-0.88031904,-87.96627611,0.000432603,11.406,6.997,6.997,0.001812657690607,-0.88031904,-0.873068409237572,-0.6602392800000001,-89.36777018277365,-87.96627607,0.0
2mer-0+43,-0.09007379,8,-0.36029514,-88.32657125,0.0002159451,12.951,8.82,8.82,0.0,-0.36029516,-0.36029516,-0.27022137,-89.72806534277366,-88.32657123000001,0.0
2mer-0+51,-0.07538245,4,-0.1507649,-88.47733615,0.0001956777,13.279,9.115,9.115,0.0,-0.1507649,-0.1507649,-0.22614735000000002,-89.87883024277366,-88.47733613000001,0.0
2mer-0+55,-0.04921886,8,-0.19687546,-88.67421161,0.0001798615,14.178,9.375,9.375,0.0,-0.19687544,-0.19687544,-0.14765658,-90.07570568277366,-88.67421157000001,0.0
2mer-0+67,-0.03626464,4,-0.07252927,-88.74674088,0.0001438398,14.847,10.1,10.1,0.0,-0.07252928,-0.07252928,-0.10879392,-90.14823496277366,-88.74674085000001,0.0
2mer-0+63,-0.03707617,8,-0.14830466,-88.89504554,0.0001430019,14.774,10.119,10.119,0.0,-0.14830468,-0.14830468,-0.11122851,-90.29653964277365,-88.89504553,0.0
2mer-0+71,-0.03563996,4,-0.07127993,-88.96632547,0.0001400989,14.847,10.189,10.189,0.0,-0.07127992,-0.07127992,-0.10691988,-90.36781956277365,-88.96632545,0.0
2mer-0+79,-0.02165952,8,-0.08663806,-89.05296353,9.757696e-05,15.997,11.494,11.494,0.0,-0.08663808,-0.08663808,-0.06497856,-90.45445764277365,-89.05296353,0.0
2mer-0+87,-0.01469762,8,-0.05879047,-89.111754,7.629491e-05,17.006,12.477,12.477,0.0,-0.05879048,-0.05879048,-0.04409286,-90.51324812277365,-89.11175401,0.0
2mer-0+88,-0.01467969,8,-0.05871876,-89.17047276,7.488784e-05,17.006,12.554,12.554,0.0,-0.05871876,-0.05871876,-0.04403907,-90.57196688277365,-89.17047277,0.0
2mer-0+95,-0.01301504,8,-0.05206016,-89.22253292,7.291536e-05,17.32,12.667,12.667,0.0,-0.05206016,-0.05206016,-0.03904512,-90.62402704277365,-89.22253293,0.0
2mer-0+102,-0.0130677,8,-0.0522708,-89.27480372,6.881573e-05,17.32,12.913,12.913,0.0,-0.0522708,-0.0522708,-0.0392031,-90.67629784277365,-89.27480373,0.0
