N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-8.99439674,8,-35.97758697,-35.97758697,0.00966271,6.475,2.484,2.484,0.01567157171666622
2mer-0+5,-7.79555457,4,-15.59110913,-51.5686961,0.00794005,6.64,2.653,2.653,0.07593537122011185
2mer-0+13,-1.14170746,2,-1.14170746,-52.71040356,0.001909289,8.919,4.266,4.266,0.1738588809967041
2mer-0+15,-0.71433587,4,-1.42867173,-54.13907529,0.001514838,9.39,4.608,4.608,0.12515829503536224
2mer-0+19,-0.20751802,8,-0.8300721,-54.96914739,0.0005622003,11.119,6.412,6.412,0.013544388115406036
2mer-0+23,-0.16986257,8,-0.67945027,-55.64859766,0.0004581592,11.406,6.864,6.864,0.005308965686708689
2mer-0+26,-0.17559399,8,-0.70237596,-56.35097362,0.000432603,11.406,6.997,6.997,0.010880008339881897
2mer-0+43,-0.07548896,8,-0.30195584,-56.65292946,0.0002159451,12.951,8.82,8.82,0
2mer-0+51,-0.06312384,4,-0.12624768,-56.77917714,0.0001956777,13.279,9.115,9.115,0
2mer-0+55,-0.04249481,8,-0.16997923,-56.94915637,0.0001798615,14.178,9.375,9.375,0
2mer-0+67,-0.03128565,4,-0.0625713,-57.01172767,0.0001438398,14.847,10.1,10.1,0
2mer-0+63,-0.03204612,8,-0.12818447,-57.13991213,0.0001430019,14.774,10.119,10.119,0
2mer-0+71,-0.03082501,4,-0.06165002,-57.20156216,0.0001400989,14.847,10.189,10.189,0
2mer-0+79,-0.01915911,8,-0.07663645,-57.2781986,9.757696e-05,15.997,11.494,11.494,0
2mer-0+87,-0.01325896,8,-0.05303583,-57.33123444,7.629491e-05,17.006,12.477,12.477,0
2mer-0+88,-0.0131269,8,-0.0525076,-57.38374204,7.488784e-05,17.006,12.554,12.554,0
2mer-0+95,-0.01172673,8,-0.0469069,-57.43064894,7.291536e-05,17.32,12.667,12.667,0
2mer-0+102,-0.01174151,8,-0.04696605,-57.47761499,6.881573e-05,17.32,12.913,12.913,0
2mer-0+110,-0.01096774,8,-0.04387096,-57.52148595,6.706137e-05,17.506,13.025,13.025,0
2mer-0+116,-0.01091012,8,-0.04364047,-57.56512642,6.609722e-05,17.506,13.088,13.088,0
2mer-0+121,-0.01007685,2,-0.01007685,-57.57520327,6.609091e-05,17.838,13.088,13.088,0
2mer-0+139,-0.00717228,4,-0.01434457,-57.58954784,5.422847e-05,18.78,13.981,13.981,0
2mer-0+137,-0.00669289,8,-0.02677156,-57.6163194,5.073588e-05,19.033,14.294,14.294,0
2mer-0+153,-0.00513108,8,-0.02052432,-57.63684372,4.392608e-05,19.865,14.998,14.998,0
2mer-0+149,-0.00583903,8,-0.02335613,-57.66019985,4.166533e-05,19.426,15.264,15.264,0
2mer-0+157,-0.00508099,8,-0.02032395,-57.6805238,4.05751e-05,19.865,15.4,15.4,0
2mer-0+165,-0.00471866,8,-0.01887462,-57.69939843,4.00824e-05,20.158,15.463,15.463,0
2mer-0+176,-0.00499654,4,-0.00999307,-57.7093915,3.850844e-05,19.919,15.67,15.67,0
2mer-0+185,-0.00388704,8,-0.01554814,-57.72493964,3.481149e-05,20.79,16.207,16.207,0
2mer-0+191,-0.00366899,4,-0.00733798,-57.73227763,3.445086e-05,20.997,16.263,16.263,0
2mer-0+196,-0.00366914,4,-0.00733827,-57.7396159,3.257152e-05,20.997,16.57,16.57,0
2mer-0+201,-0.00312399,8,-0.01249595,-57.75211186,3.149733e-05,21.576,16.756,16.756,0
2mer-0+207,-0.00291409,8,-0.01165634,-57.7637682,2.89538e-05,21.825,17.233,17.233,0
2mer-0+206,-0.00315448,8,-0.01261792,-57.77638612,2.833168e-05,21.576,17.358,17.358,0
2mer-0+220,-0.00264048,8,-0.01056192,-57.78694805,2.752666e-05,22.238,17.526,17.526,0
2mer-0+230,-0.00232974,8,-0.00931896,-57.796267,2.582112e-05,22.786,17.904,17.904,0
2mer-0+238,-0.00227127,8,-0.00908507,-57.80535207,2.478197e-05,22.812,18.151,18.151,0
2mer-0+237,-0.00226935,8,-0.00907739,-57.81442946,2.453852e-05,22.812,18.21,18.21,0
2mer-0+256,-0.00206476,8,-0.00825904,-57.8226885,2.290083e-05,23.208,18.634,18.634,0
2mer-0+261,-0.00206648,8,-0.00826593,-57.83095443,2.213107e-05,23.208,18.848,18.848,0
2mer-0+265,-0.00189646,8,-0.00758584,-57.83854028,2.147559e-05,23.531,19.038,19.038,0
2mer-0+266,-0.00191509,8,-0.00766037,-57.84620064,2.125031e-05,23.531,19.105,19.105,0
2mer-0+291,-0.00173208,4,-0.00346417,-57.84966481,2.114509e-05,23.94,19.137,19.137,0
2mer-0+282,-0.001752,8,-0.00700798,-57.85667279,2.096084e-05,23.895,19.193,19.193,0
2mer-0+298,-0.00173314,4,-0.00346628,-57.86013907,2.068843e-05,23.94,19.276,19.276,0
2mer-0+290,-0.0017488,8,-0.00699519,-57.86713426,2.007166e-05,23.895,19.472,19.472,0
2mer-0+304,-0.00173645,8,-0.0069458,-57.87408005,1.998526e-05,23.895,19.5,19.5,0
2mer-0+321,-0.00149827,8,-0.00599309,-57.88007314,1.936442e-05,24.645,19.706,19.706,0
