N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+7,-10.78059234,6,-32.34177703,-32.34177703,0.01035114,3.418,2.428,2.428,0.5014907121658325
2mer-0+1,-0.59782859,6,-1.79348577,-34.1352628,0.008552206,3.883,2.588,2.588,0.3958231806755066
2mer-0+13,-0.70615559,6,-2.11846676,-36.25372955,0.002413713,5.13,3.945,3.945,0.06869412958621979
2mer-0+25,-0.56292681,6,-1.68878043,-37.94250998,0.001389709,6.165,4.742,4.742,0.04108067601919174
2mer-0+19,-0.03171669,6,-0.09515007,-38.03766005,0.001177252,6.434,5.012,5.012,0.04093385115265846
2mer-0+16,0.21645422,6,0.64936266,-37.38829739,0.0010229,6.692,5.252,5.252,0.035369936376810074
2mer-0+43,0.73846323,6,2.21538968,-35.1729077,0.0008634158,5.883,5.557,5.557,0.030701201409101486
2mer-0+40,0.37757141,6,1.13271422,-34.04019348,0.0007499443,7.256,5.824,5.824,0.01860780455172062
2mer-0+34,-0.41514288,6,-1.24542864,-35.28562213,0.0005466677,7.256,6.472,6.472,0.01717165671288967
2mer-0+61,-0.38905144,6,-1.16715432,-36.45277644,0.0004863604,8.02,6.729,6.729,0.01010255329310894
2mer-0+80,0.0175921,6,0.05277629,-36.40000015,0.0004665696,7.806,6.823,6.823,0.004549989476799965
2mer-0+46,0.10825056,6,0.32475167,-36.07524848,0.0004140415,8.433,7.1,7.1,0.00946519710123539
2mer-0+49,-0.14074906,6,-0.42224717,-36.49749565,0.0004023541,8.229,7.168,7.168,0.010195907205343246
2mer-0+68,0.10887878,6,0.32663635,-36.1708593,0.0003644116,8.886,7.409,7.409,0.002995924325659871
2mer-0+92,-0.0105742,6,-0.03172261,-36.20258191,0.0002991027,9.697,7.913,7.913,0.00253396388143301
2mer-0+77,-0.07467892,6,-0.22403676,-36.42661867,0.0002864545,9.697,8.028,8.028,0
2mer-0+65,0.0138088,6,0.0414264,-36.38519227,0.000249798,9.871,8.402,8.402,0
2mer-0+110,-0.07478103,6,-0.2243431,-36.60953537,0.0002473172,9.521,8.43,8.43,0
2mer-0+64,-0.30797529,2,-0.30797529,-36.91751066,0.0002345022,8.886,8.581,8.581,0
2mer-0+143,0.32779244,6,0.98337733,-35.93413333,0.0002301459,9.158,8.635,8.635,0
2mer-0+104,-0.17701633,6,-0.53104898,-36.46518231,0.0002275514,9.521,8.668,8.668,0
2mer-0+125,-0.16474383,6,-0.49423148,-36.9594138,0.0002264903,9.341,8.681,8.681,0
2mer-0+74,0.10963031,6,0.32889094,-36.63052286,0.0002133562,10.041,8.856,8.856,0
2mer-0+107,-0.0175892,6,-0.0527676,-36.68329046,0.0002024847,10.261,9.012,9.012,0
2mer-0+171,-0.03021445,6,-0.09064334,-36.77393381,0.0001815655,10.657,9.345,9.345,0
2mer-0+177,-0.10470779,6,-0.31412337,-37.08805717,0.0001685765,10.657,9.579,9.579,0
2mer-0+113,0.07273307,6,0.21819922,-36.86985796,0.0001625171,11.276,9.697,9.697,0
2mer-0+131,0.02693668,6,0.08081004,-36.78904792,0.0001579587,11.124,9.789,9.789,0
2mer-0+128,-0.00010032,6,-0.00030097,-36.78934889,0.0001554371,11.124,9.842,9.842,0
2mer-0+174,0.0680483,6,0.20414491,-36.58520398,0.0001491415,11.472,9.979,9.979,0
2mer-0+198,0.1245224,6,0.37356719,-36.21163679,0.0001485141,10.497,9.993,9.993,0
