N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+7,-10.78059234,6,-32.34177703,-32.34177703,0.01035114,3.418,2.428,2.428,0.5014907121658325,-32.34177702,-30.837304883502505,-32.34177702,-30.837304883502505,-32.34177703,-31.9910674
2mer-0+1,-0.59782859,6,-1.79348577,-34.1352628,0.008552206,3.883,2.588,2.588,0.3958231806755066,-1.79348577,-0.6060162279734802,-1.79348577,-31.443321111475985,-34.1352628,0.0
2mer-0+13,-0.70615559,6,-2.11846676,-36.25372955,0.002413713,5.13,3.945,3.945,0.0686941295862197,-2.1184667700000004,-1.912384381241341,-2.1184667700000004,-33.35570549271733,-36.25372957,0.0
2mer-0+25,-0.56292681,6,-1.68878043,-37.94250998,0.001389709,6.165,4.742,4.742,0.0410806760191917,-1.68878043,-1.5655384019424248,-1.68878043,-34.92124389465975,-37.94251,0.0
2mer-0+19,-0.03171669,6,-0.09515007,-38.03766005,0.001177252,6.434,5.012,5.012,0.0409338511526584,-0.09515007,0.027651483457975204,-0.09515007,-34.89359241120178,-38.03766007,0.0
2mer-0+16,0.21645422,6,0.64936266,-37.38829739,0.0010229,6.692,5.252,5.252,0.03536993637681,0.64936266,0.75547246913043,0.64936266,-34.13811994207135,-37.38829741,0.0
2mer-0+43,0.73846323,6,2.21538968,-35.1729077,0.0008634158,5.883,5.557,5.557,0.0307012014091014,2.2153896900000003,2.3074932942273043,2.2153896900000003,-31.830626647844046,-35.17290772,0.0
2mer-0+40,0.37757141,6,1.13271422,-34.04019348,0.0007499443,7.256,5.824,5.824,0.0186078045517206,1.13271423,1.1885376436551618,1.13271423,-30.642089004188882,-34.04019349,0.0
2mer-0+34,-0.41514288,6,-1.24542864,-35.28562213,0.0005466677,7.256,6.472,6.472,0.0171716567128896,-1.24542864,-1.193913669861331,-1.24542864,-31.836002674050214,-35.28562213,0.0
2mer-0+61,-0.38905144,6,-1.16715432,-36.45277644,0.0004863604,8.02,6.729,6.729,0.0101025532931089,-1.16715432,-1.1368466601206735,-1.16715432,-32.97284933417089,-36.45277645,0.0
2mer-0+80,0.0175921,6,0.05277629,-36.40000015,0.0004665696,7.806,6.823,6.823,0.0045499894767999,0.0527763,0.0664262684303997,0.0527763,-32.90642306574049,-36.400000150000004,0.0
2mer-0+46,0.10825056,6,0.32475167,-36.07524848,0.0004140415,8.433,7.1,7.1,0.0094651971012353,0.32475168,0.35314727130370593,0.32475168,-32.553275794436786,-36.075248470000005,0.0
2mer-0+49,-0.14074906,6,-0.42224717,-36.49749565,0.0004023541,8.229,7.168,7.168,0.0101959072053432,-0.42224718000000006,-0.3916594583839704,-0.42224718000000006,-32.944935252820756,-36.497495650000005,0.0
2mer-0+68,0.10887878,6,0.32663635,-36.1708593,0.0003644116,8.886,7.409,7.409,0.0029959243256598,0.32663633999999997,0.33562411297697936,0.32663633999999997,-32.609311139843776,-36.170859310000004,0.0
