N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+7,-10.20264557,6,-30.6079367,-30.6079367,0.01035114,3.418,2.428,2.428,,"Molecule(name='H6N2', formula='H6N2', hash='0457f0b')"
2mer-0+1,-1.32803771,6,-3.98411314,-34.59204984,0.008552206,3.883,2.588,2.588,,"Molecule(name='H6N2', formula='H6N2', hash='8ab3edb')"
2mer-0+13,-1.07720849,6,-3.23162546,-37.8236753,0.002413713,5.13,3.945,3.945,,"Molecule(name='H6N2', formula='H6N2', hash='f5880e1')"
2mer-0+25,-0.61831992,6,-1.85495976,-39.67863507,0.001389709,6.165,4.742,4.742,,"Molecule(name='H6N2', formula='H6N2', hash='49e751e')"
2mer-0+19,-0.07456699,6,-0.22370097,-39.90233604,0.001177252,6.434,5.012,5.012,,"Molecule(name='H6N2', formula='H6N2', hash='517cd16')"
2mer-0+16,0.12945507,6,0.38836522,-39.51397082,0.0010229,6.692,5.252,5.252,,"Molecule(name='H6N2', formula='H6N2', hash='c097c0a')"
2mer-0+43,0.55590587,6,1.66771762,-37.8462532,0.0008634158,5.883,5.557,5.557,,"Molecule(name='H6N2', formula='H6N2', hash='e8d35ba')"
2mer-0+40,0.35079805,6,1.05239414,-36.79385905,0.0007499443,7.256,5.824,5.824,,"Molecule(name='H6N2', formula='H6N2', hash='c7a65f6')"
2mer-0+34,-0.42848942,6,-1.28546827,-38.07932733,0.0005466677,7.256,6.472,6.472,,"Molecule(name='H6N2', formula='H6N2', hash='3dfa45f')"
2mer-0+61,-0.37821876,6,-1.13465627,-39.2139836,0.0004863604,8.02,6.729,6.729,,"Molecule(name='H6N2', formula='H6N2', hash='670ffa1')"
2mer-0+80,0.00589589,6,0.01768766,-39.19629593,0.0004665696,7.806,6.823,6.823,,"Molecule(name='H6N2', formula='H6N2', hash='73a6d32')"
2mer-0+46,0.0977055,6,0.29311651,-38.90317942,0.0004140415,8.433,7.1,7.1,,"Molecule(name='H6N2', formula='H6N2', hash='d3ad106')"
2mer-0+49,-0.13439828,6,-0.40319485,-39.30637427,0.0004023541,8.229,7.168,7.168,,"Molecule(name='H6N2', formula='H6N2', hash='d280cde')"
2mer-0+68,0.10175402,6,0.30526206,-39.00111221,0.0003644116,8.886,7.409,7.409,,"Molecule(name='H6N2', formula='H6N2', hash='2fee92c')"
2mer-0+92,-0.00984377,6,-0.0295313,-39.0306435,0.0002991027,9.697,7.913,7.913,,"Molecule(name='H6N2', formula='H6N2', hash='b498318')"
2mer-0+77,-0.07010107,6,-0.21030321,-39.24094671,0.0002864545,9.697,8.028,8.028,,"Molecule(name='H6N2', formula='H6N2', hash='940f6cd')"
2mer-0+65,0.01304322,6,0.03912966,-39.20181705,0.000249798,9.871,8.402,8.402,,"Molecule(name='H6N2', formula='H6N2', hash='be0da1b')"
2mer-0+110,-0.07211601,6,-0.21634802,-39.41816507,0.0002473172,9.521,8.43,8.43,,"Molecule(name='H6N2', formula='H6N2', hash='ea20203')"
2mer-0+64,-0.2937697,2,-0.2937697,-39.71193477,0.0002345022,8.886,8.581,8.581,,"Molecule(name='H6N2', formula='H6N2', hash='c971fdd')"
2mer-0+143,0.31365445,6,0.94096336,-38.77097142,0.0002301459,9.158,8.635,8.635,,"Molecule(name='H6N2', formula='H6N2', hash='4cccee8')"
2mer-0+104,-0.16966703,6,-0.50900109,-39.27997251,0.0002275514,9.521,8.668,8.668,,"Molecule(name='H6N2', formula='H6N2', hash='485c4ca')"
2mer-0+125,-0.16088099,6,-0.48264298,-39.76261549,0.0002264903,9.341,8.681,8.681,,"Molecule(name='H6N2', formula='H6N2', hash='81b42b5')"
2mer-0+74,0.101632,6,0.30489601,-39.45771948,0.0002133562,10.041,8.856,8.856,,"Molecule(name='H6N2', formula='H6N2', hash='f1250c1')"
2mer-0+107,-0.01785491,6,-0.05356474,-39.51128421,0.0002024847,10.261,9.012,9.012,,"Molecule(name='H6N2', formula='H6N2', hash='b5c0776')"
2mer-0+171,-0.02996345,6,-0.08989034,-39.60117455,0.0001815655,10.657,9.345,9.345,,"Molecule(name='H6N2', formula='H6N2', hash='d5b11bc')"
2mer-0+177,-0.10159635,6,-0.30478904,-39.90596358,0.0001685765,10.657,9.579,9.579,,"Molecule(name='H6N2', formula='H6N2', hash='6d4493f')"
2mer-0+113,0.06825907,6,0.20477722,-39.70118637,0.0001625171,11.276,9.697,9.697,,"Molecule(name='H6N2', formula='H6N2', hash='1208a47')"
2mer-0+131,0.02568069,6,0.07704208,-39.62414429,0.0001579587,11.124,9.789,9.789,,"Molecule(name='H6N2', formula='H6N2', hash='aed51f4')"
2mer-0+128,0.00033995,6,0.00101986,-39.62312442,0.0001554371,11.124,9.842,9.842,,"Molecule(name='H6N2', formula='H6N2', hash='e32d6ce')"
2mer-0+174,0.06457565,6,0.19372696,-39.42939746,0.0001491415,11.472,9.979,9.979,,"Molecule(name='H6N2', formula='H6N2', hash='ba0c2fa')"
2mer-0+198,0.11864597,6,0.35593791,-39.07345956,0.0001485141,10.497,9.993,9.993,,"Molecule(name='H6N2', formula='H6N2', hash='f63b7d2')"
2mer-0+162,0.06892979,6,0.20678936,-38.8666702,0.0001434837,11.472,10.108,10.108,,"Molecule(name='H6N2', formula='H6N2', hash='84ec0b6')"
