N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+7,-9.3425376,6,-28.0276128,-28.0276128,0.01035114,3.418,2.428,2.428,0.3778733015060425
2mer-0+1,0.30439355,6,0.91318064,-27.11443216,0.008552206,3.883,2.588,2.588,0.2903937101364136
2mer-0+13,-0.74666041,6,-2.23998124,-29.35441341,0.002413713,5.13,3.945,3.945,0.2320549488067627
2mer-0+25,-0.57908308,6,-1.73724923,-31.09166263,0.001389709,6.165,4.742,4.742,0.24867752194404602
2mer-0+19,-0.01531912,6,-0.04595737,-31.13762001,0.001177252,6.434,5.012,5.012,0.23423314094543457
2mer-0+16,0.20695223,6,0.62085668,-30.51676332,0.0010229,6.692,5.252,5.252,0.20881563425064087
2mer-0+43,0.69622533,6,2.088676,-28.42808732,0.0008634158,5.883,5.557,5.557,0.0988142266869545
2mer-0+40,0.39346594,6,1.18039782,-27.2476895,0.0007499443,7.256,5.824,5.824,0.13645242154598236
2mer-0+34,-0.43259338,6,-1.29778014,-28.54546964,0.0005466677,7.256,6.472,6.472,0.05724017694592476
2mer-0+61,-0.39554936,6,-1.18664809,-29.73211773,0.0004863604,8.02,6.729,6.729,0.052767883986234665
2mer-0+80,0.01503185,6,0.04509554,-29.68702219,0.0004665696,7.806,6.823,6.823,0.04411158710718155
2mer-0+46,0.11199973,6,0.3359992,-29.35102299,0.0004140415,8.433,7.1,7.1,0.06582344323396683
2mer-0+49,-0.13606743,6,-0.40820229,-29.75922528,0.0004023541,8.229,7.168,7.168,0.0466204471886158
2mer-0+68,0.11223604,6,0.33670812,-29.42251716,0.0003644116,8.886,7.409,7.409,0.040833547711372375
2mer-0+92,-0.00822189,6,-0.02466568,-29.44718284,0.0002991027,9.697,7.913,7.913,0.03302649408578873
