N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+4,-5.92431937,2,-5.92431937,-5.92431937,0.009101854,11.095,2.534,2.534,1.9706181287765503,-5.92431937,-3.95370124122345,-17.77295811,-3.95370124122345,-5.92431937
2mer-0+2,-8.95912422,4,-17.91824845,-23.84256782,0.008849046,9.79,2.558,2.558,2.418657064437866,-17.91824844,-13.080934311124267,-26.87737266,-17.034635552347716,-23.84256781
2mer-0+5,-32.80527563,4,-65.61055126,-89.45311908,0.007499165,5.164,2.704,2.704,8.783740997314453,-65.61055126,-48.04306926537109,-98.41582688999999,-65.0777048177188,-89.45311906999999
2mer-0+3,-23.86696266,2,-23.86696266,-113.32008174,0.007162574,5.99,2.745,2.745,5.389669418334961,-23.86696266,-18.477293241665038,-71.60088798,-83.55499805938383,-113.32008172999998
2mer-0+1,-0.77956063,2,-0.77956063,-114.09964237,0.003201075,12.609,3.591,3.591,0.4030508995056152,-0.77956063,-0.3765097304943848,-2.33868189,-83.93150778987822,-114.09964235999999
2mer-0+24,-0.56512315,2,-0.56512315,-114.66476552,0.001160433,11.041,5.036,5.036,0.2249379456043243,-0.56512315,-0.3401852043956757,-1.69536945,-84.2716929942739,-114.66476551
2mer-0+14,-0.99500952,2,-0.99500952,-115.65977504,0.000998632,10.329,5.294,5.294,0.2484675496816635,-0.99500952,-0.7465419703183365,-2.98502856,-85.01823496459224,-115.65977502999999
2mer-0+10,-2.38613091,2,-2.38613091,-118.04590594,0.0009614227,9.275,5.362,5.362,0.7051135897636414,-2.38613091,-1.6810173202363585,-7.158392729999999,-86.6992522848286,-118.04590594
2mer-0+20,-0.51513464,2,-0.51513464,-118.56104058,0.0008011706,12.609,5.698,5.698,0.1524310559034347,-0.51513464,-0.3627035840965653,-1.54540392,-87.06195586892517,-118.56104058
2mer-0+12,-0.81223228,4,-1.62446457,-120.18550515,0.0007983866,9.922,5.704,5.704,0.2327662706375122,-1.62446456,-1.1589320187249756,-2.43669684,-88.22088788765015,-120.18550514
2mer-0+11,-0.26147122,4,-0.52294244,-120.70844759,0.0006287742,14.273,6.177,6.177,0.0663093104958534,-0.52294244,-0.3903238190082932,-0.78441366,-88.61121170665844,-120.70844758
2mer-0+6,-0.18130271,4,-0.36260542,-121.07105301,0.0006096212,12.946,6.241,6.241,0.0551841184496879,-0.36260542,-0.2522371831006242,-0.54390813,-88.86344888975906,-121.07105299999999
2mer-0+22,-1.4190645,2,-1.4190645,-122.49011751,0.0004842719,8.414,6.739,6.739,0.5029045939445496,-1.4190645,-0.9161599060554504,-4.2571935,-89.77960879581451,-122.4901175
2mer-0+21,-0.28032069,2,-0.28032069,-122.7704382,0.0003006457,11.981,7.899,7.899,0.0033328351564705,-0.28032069,-0.2769878548435295,-0.84096207,-90.05659665065804,-122.77043819
2mer-0+15,-0.37327024,2,-0.37327024,-123.14370845,0.0002966465,11.041,7.935,7.935,0.0036393152549862,-0.37327024,-0.3696309247450138,-1.1198107199999998,-90.42622757540305,-123.14370842999999
2mer-0+26,-0.15798419,4,-0.31596838,-123.45967682,0.000244466,11.383,8.463,8.463,0.0,-0.31596838,-0.31596838,-0.47395257,-90.74219595540305,-123.45967680999999
2mer-0+31,-0.01756511,2,-0.01756511,-123.47724193,0.0002200408,14.64,8.765,8.765,0.0,-0.01756511,-0.01756511,-0.05269533,-90.75976106540305,-123.47724192
2mer-0+19,-0.04209677,2,-0.04209677,-123.5193387,0.0002035413,16.329,8.996,8.996,0.0,-0.04209677,-0.04209677,-0.12629031,-90.80185783540306,-123.51933869
2mer-0+23,-0.04832572,4,-0.09665145,-123.61599015,0.0001902351,16.598,9.201,9.201,0.0,-0.09665144,-0.09665144,-0.14497716,-90.89850927540306,-123.61599013
2mer-0+29,-0.16620737,2,-0.16620737,-123.78219752,0.0001828722,10.329,9.323,9.323,0.0,-0.16620737,-0.16620737,-0.49862211,-91.06471664540305,-123.7821975
2mer-0+79,-0.0054399,2,-0.0054399,-123.78763742,0.0001745374,15.151,9.469,9.469,0.0,-0.0054399,-0.0054399,-0.0163197,-91.07015654540305,-123.7876374
2mer-0+42,-0.06556961,4,-0.13113923,-123.91877665,0.0001724708,12.972,9.507,9.507,0.0,-0.13113922,-0.13113922,-0.19670883,-91.20129576540305,-123.91877661999999
2mer-0+27,-0.0180114,2,-0.0180114,-123.93678805,0.0001609853,18.64,9.728,9.728,0.0,-0.0180114,-0.0180114,-0.054034200000000004,-91.21930716540305,-123.93678802
2mer-0+32,-0.02347046,2,-0.02347046,-123.96025851,0.0001476521,18.376,10.012,10.012,0.0,-0.02347046,-0.02347046,-0.07041138,-91.24277762540305,-123.96025848
2mer-0+43,-0.0628858,2,-0.0628858,-124.02314431,0.0001397743,17.372,10.197,10.197,0.0,-0.0628858,-0.0628858,-0.18865740000000003,-91.30566342540305,-124.02314428
2mer-0+82,-0.05061084,2,-0.05061084,-124.07375515,0.0001284038,16.329,10.489,10.489,0.0,-0.05061084,-0.05061084,-0.15183252,-91.35627426540306,-124.07375512
2mer-0+35,-0.03408556,4,-0.06817113,-124.14192627,0.0001182327,18.359,10.782,10.782,0.0,-0.06817112,-0.06817112,-0.10225668,-91.42444538540306,-124.14192624
2mer-0+28,-0.11522415,4,-0.2304483,-124.37237457,0.0001158114,14.189,10.856,10.856,0.0,-0.2304483,-0.2304483,-0.34567245,-91.65489368540307,-124.37237454000001
2mer-0+46,-0.01763107,4,-0.03526213,-124.40763671,0.0001141817,15.556,10.908,10.908,0.0,-0.03526214,-0.03526214,-0.052893209999999996,-91.69015582540307,-124.40763668000001
2mer-0+60,0.00017256,2,0.00017256,-124.40746414,0.000113292,19.579,10.936,10.936,0.0,0.00017256,0.00017256,0.00051768,-91.68998326540307,-124.40746412000001
2mer-0+34,-0.00435077,4,-0.00870155,-124.41616569,0.0001064258,20.278,11.167,11.167,0.0,-0.00870154,-0.00870154,-0.013052310000000001,-91.69868480540308,-124.41616566000002
2mer-0+33,-0.07490892,2,-0.07490892,-124.49107461,0.0001057478,15.151,11.19,11.19,0.0,-0.07490892,-0.07490892,-0.22472676000000003,-91.77359372540307,-124.49107458000002
2mer-0+30,-0.02391482,2,-0.02391482,-124.51498943,9.743364e-05,19.579,11.5,11.5,0.0,-0.02391482,-0.02391482,-0.07174446,-91.79750854540308,-124.51498940000002
2mer-0+87,-0.08230583,2,-0.08230583,-124.59729526,9.220663e-05,15.048,11.713,11.713,0.0,-0.08230583,-0.08230583,-0.24691749,-91.87981437540307,-124.59729523000001
2mer-0+40,-0.00359456,4,-0.00718913,-124.60448439,9.106002e-05,17.639,11.762,11.762,0.0,-0.00718912,-0.00718912,-0.01078368,-91.88700349540308,-124.60448435000002
2mer-0+71,-0.06794599,4,-0.13589198,-124.74037637,8.683148e-05,15.493,11.95,11.95,0.0,-0.13589198,-0.13589198,-0.20383796999999998,-92.02289547540308,-124.74037633000002
2mer-0+80,-0.03910352,2,-0.03910352,-124.77947989,8.448818e-05,18.376,12.06,12.06,0.0,-0.03910352,-0.03910352,-0.11731056000000001,-92.06199899540307,-124.77947985000002
2mer-0+61,-0.0478944,2,-0.0478944,-124.8273743,8.19713e-05,13.804,12.182,12.182,0.0,-0.0478944,-0.0478944,-0.14368319999999998,-92.10989339540308,-124.82737425000002
2mer-0+69,-0.05688437,2,-0.05688437,-124.88425866,7.836764e-05,14.64,12.366,12.366,0.0,-0.05688437,-0.05688437,-0.17065311,-92.16677776540308,-124.88425862000003
2mer-0+68,-0.03396109,2,-0.03396109,-124.91821976,7.533998e-05,18.55,12.529,12.529,0.0,-0.03396109,-0.03396109,-0.10188327,-92.20073885540309,-124.91821971000003
2mer-0+59,0.00034096,2,0.00034096,-124.9178788,6.788435e-05,21.103,12.972,12.972,0.0,0.00034096,0.00034096,0.00102288,-92.20039789540309,-124.91787875000003
2mer-0+51,-0.00148968,4,-0.00297937,-124.92085816,6.563835e-05,21.977,13.118,13.118,0.0,-0.00297936,-0.00297936,-0.00446904,-92.20337725540308,-124.92085811000003
2mer-0+86,-0.0353759,2,-0.0353759,-124.95623407,6.479794e-05,17.863,13.175,13.175,0.0,-0.0353759,-0.0353759,-0.1061277,-92.23875315540309,-124.95623401000003
2mer-0+66,0.0011031,2,0.0011031,-124.95513097,6.463223e-05,22.191,13.186,13.186,0.0,0.0011031,0.0011031,0.0033093000000000003,-92.2376500554031,-124.95513091000004
2mer-0+53,-0.01551841,4,-0.03103682,-124.98616779,6.321702e-05,20.219,13.284,13.284,0.0,-0.03103682,-0.03103682,-0.04655523,-92.26868687540309,-124.98616773000003
2mer-0+93,-0.01843871,2,-0.01843871,-125.0046065,6.311848e-05,19.494,13.291,13.291,0.0,-0.01843871,-0.01843871,-0.055316130000000005,-92.28712558540309,-125.00460644000003
2mer-0+101,-0.02679053,2,-0.02679053,-125.03139703,5.798236e-05,16.829,13.672,13.672,0.0,-0.02679053,-0.02679053,-0.08037158999999999,-92.31391611540309,-125.03139697000003
2mer-0+84,-0.02395455,2,-0.02395455,-125.05535158,5.795483e-05,17.971,13.674,13.674,0.0,-0.02395455,-0.02395455,-0.07186365,-92.33787066540309,-125.05535152000003
2mer-0+63,0.00233503,2,0.00233503,-125.05301656,5.750063e-05,22.985,13.71,13.71,0.0,0.00233503,0.00233503,0.00700509,-92.33553563540309,-125.05301649000003
2mer-0+72,-0.00517129,4,-0.01034259,-125.06335914,5.447907e-05,20.47,13.959,13.959,0.0,-0.01034258,-0.01034258,-0.01551387,-92.34587821540309,-125.06335907000003
2mer-0+119,-0.01592003,2,-0.01592003,-125.07927917,5.423255e-05,18.278,13.98,13.98,0.0,-0.01592003,-0.01592003,-0.047760090000000005,-92.3617982454031,-125.07927910000004
2mer-0+100,0.00181619,2,0.00181619,-125.07746299,5.342959e-05,19.843,14.05,14.05,0.0,0.00181619,0.00181619,0.00544857,-92.3599820554031,-125.07746291000004
2mer-0+89,-0.01254646,4,-0.02509291,-125.1025559,5.287228e-05,21.289,14.099,14.099,0.0,-0.02509292,-0.02509292,-0.03763938,-92.3850749754031,-125.10255583000004
2mer-0+102,-0.00202817,2,-0.00202817,-125.10458407,5.284644e-05,22.985,14.101,14.101,0.0,-0.00202817,-0.00202817,-0.0060845100000000004,-92.3871031454031,-125.10458400000005
2mer-0+62,-0.01147867,2,-0.01147867,-125.11606274,5.146892e-05,22.159,14.226,14.226,0.0,-0.01147867,-0.01147867,-0.03443601,-92.3985818154031,-125.11606267000005
2mer-0+73,-0.02104248,2,-0.02104248,-125.13710521,5.094201e-05,19.494,14.275,14.275,0.0,-0.02104248,-0.02104248,-0.06312743999999999,-92.41962429540311,-125.13710515000005
2mer-0+76,-0.02404862,4,-0.04809725,-125.18520246,4.787226e-05,18.571,14.574,14.574,0.0,-0.04809724,-0.04809724,-0.07214586,-92.46772153540311,-125.18520239000006
2mer-0+78,-0.00684605,2,-0.00684605,-125.19204851,4.746159e-05,21.12,14.616,14.616,0.0,-0.00684605,-0.00684605,-0.02053815,-92.47456758540311,-125.19204844000005
2mer-0+83,0.0283627,2,0.0283627,-125.16368581,4.705661e-05,15.048,14.658,14.658,0.0,0.0283627,0.0283627,0.0850881,-92.4462048854031,-125.16368574000005
2mer-0+136,0.00172091,2,0.00172091,-125.1619649,4.656775e-05,22.159,14.709,14.709,0.0,0.00172091,0.00172091,0.00516273,-92.4444839754031,-125.16196483000004
2mer-0+111,-0.00955784,2,-0.00955784,-125.17152274,4.454813e-05,20.658,14.928,14.928,0.0,-0.00955784,-0.00955784,-0.02867352,-92.4540418154031,-125.17152267000004
2mer-0+149,0.00077223,2,0.00077223,-125.17075051,4.369263e-05,20.223,15.024,15.024,0.0,0.00077223,0.00077223,0.00231669,-92.4532695854031,-125.17075044000005
2mer-0+128,0.01167373,4,0.02334746,-125.14740306,4.129856e-05,17.461,15.309,15.309,0.0,0.02334746,0.02334746,0.03502119,-92.42992212540311,-125.14740298000005
