N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-7.16745083,4,-14.33490167,-14.33490167,0.009001449,5.986,2.544,2.544,-0.1297102868556976,-14.33490166,-14.594322233711395,-21.50235249,-14.594322233711395,-14.33490167
2mer-0+2,-8.73227626,4,-17.46455252,-31.79945419,0.008127517,5.812,2.632,2.632,-0.1197281032800674,-17.46455252,-17.704008726560136,-26.196828780000004,-32.29833096027153,-31.799454190000002
2mer-0+6,-12.68846969,4,-25.37693938,-57.17639357,0.007702494,5.025,2.68,2.68,-0.0911962464451789,-25.37693938,-25.559331872890358,-38.06540907,-57.85766283316188,-57.17639357
2mer-0+16,-2.41873176,2,-2.41873176,-59.59512533,0.001412501,6.81,4.716,4.716,-0.0221342593431472,-2.41873176,-2.4408660193431473,-7.25619528,-60.29852885250503,-59.59512533
2mer-0+5,-0.32323194,2,-0.32323194,-59.91835726,0.001216975,9.42,4.956,4.956,-0.0137677025049924,-0.32323194,-0.33699964250499237,-0.96969582,-60.63552849501002,-59.91835727
2mer-0+21,-1.44640611,2,-1.44640611,-61.36476337,0.001144258,7.39,5.059,5.059,-0.0171309541910886,-1.44640611,-1.4635370641910888,-4.3392183300000005,-62.09906555920111,-61.36476338
2mer-0+12,-0.34543492,4,-0.69086984,-62.05563322,0.001080953,9.402,5.156,5.156,-0.0099656181409955,-0.69086984,-0.710801076281991,-1.03630476,-62.8098666354831,-62.05563322
2mer-0+14,-0.45630413,4,-0.91260825,-62.96824147,0.0009506992,9.067,5.382,5.382,-0.0105256186798214,-0.91260826,-0.9336594973596427,-1.36891239,-63.74352613284274,-62.968241479999996
2mer-0+37,-0.11750596,2,-0.11750596,-63.08574743,0.0008840221,10.049,5.514,5.514,-0.0103852413594722,-0.11750596,-0.1278912013594722,-0.35251788,-63.871417334202214,-63.08574744
2mer-0+15,-0.29274382,4,-0.58548764,-63.67123508,0.0006261051,9.067,6.186,6.186,-0.008215139620006,-0.58548764,-0.6019179192400119,-0.87823146,-64.47333525344223,-63.671235079999995
2mer-0+8,-0.12290377,4,-0.24580754,-63.91704262,0.0006236921,10.676,6.194,6.194,-0.007612797897309,-0.24580754,-0.261033135794618,-0.36871131,-64.73436838923685,-63.91704262
2mer-0+10,-0.11895038,4,-0.23790077,-64.15494338,0.0004827827,10.676,6.746,6.746,-0.0040165628306567,-0.23790076,-0.24593388566131338,-0.35685113999999996,-64.98030227489816,-64.15494337999999
2mer-0+27,-0.19488603,4,-0.38977206,-64.54471545,0.0003528237,9.402,7.489,7.489,-0.0021056071855127,-0.38977206,-0.39398327437102537,-0.58465809,-65.37428554926919,-64.54471543999999
2mer-0+18,-0.04624031,2,-0.04624031,-64.59095576,0.0003523333,11.624,7.492,7.492,-0.0031505594961345,-0.04624031,-0.0493908694961345,-0.13872093,-65.42367641876533,-64.59095574999999
2mer-0+22,-0.04248032,2,-0.04248032,-64.63343608,0.0003505125,11.973,7.505,7.505,-0.0010788784129545,-0.04248032,-0.043559198412954504,-0.12744096,-65.46723561717828,-64.63343606999999
2mer-0+45,-0.06382564,4,-0.12765128,-64.76108736,0.0002987386,10.863,7.916,7.916,-0.0017337141325697,-0.12765128,-0.1311187082651394,-0.19147692,-65.59835432544341,-64.76108734999998
2mer-0+40,-0.10887156,4,-0.21774311,-64.97883047,0.0002902837,11.249,7.992,7.992,-0.0008167557534761,-0.21774312,-0.21937663150695222,-0.32661468000000005,-65.81773095695036,-64.97883046999998
2mer-0+60,-0.0400613,4,-0.08012259,-65.05895306,0.0002569059,11.596,8.324,8.324,0.0,-0.0801226,-0.0801226,-0.12018390000000001,-65.89785355695035,-65.05895306999997
2mer-0+26,-0.08947139,2,-0.08947139,-65.14842445,0.0002364929,11.624,8.557,8.557,0.0,-0.08947139,-0.08947139,-0.26841417,-65.98732494695035,-65.14842445999997
2mer-0+43,-0.01517489,4,-0.03034977,-65.17877422,0.0002333832,12.044,8.595,8.595,0.0,-0.03034978,-0.03034978,-0.04552467,-66.01767472695035,-65.17877423999997
2mer-0+59,-0.01137606,4,-0.02275211,-65.20152633,0.0002207595,13.459,8.756,8.756,0.0,-0.02275212,-0.02275212,-0.03412818,-66.04042684695035,-65.20152635999997
2mer-0+32,-0.07928088,2,-0.07928088,-65.28080722,0.0002142829,11.973,8.843,8.843,0.0,-0.07928088,-0.07928088,-0.23784264,-66.11970772695035,-65.28080723999997
2mer-0+44,-0.01069084,2,-0.01069084,-65.29149806,0.0002040349,13.774,8.989,8.989,0.0,-0.01069084,-0.01069084,-0.03207252,-66.13039856695035,-65.29149807999997
2mer-0+39,-0.00913712,2,-0.00913712,-65.30063518,0.0001695377,13.774,9.561,9.561,0.0,-0.00913712,-0.00913712,-0.027411360000000003,-66.13953568695035,-65.30063519999997
2mer-0+55,0.00687195,2,0.00687195,-65.29376324,0.0001624869,10.049,9.698,9.698,0.0,0.00687195,0.00687195,0.020615849999999998,-66.13266373695035,-65.29376324999997
2mer-0+33,-0.00576161,4,-0.01152323,-65.30528646,0.0001476099,14.534,10.013,10.013,0.0,-0.01152322,-0.01152322,-0.01728483,-66.14418695695035,-65.30528646999997
2mer-0+47,-0.03332639,2,-0.03332639,-65.33861285,0.0001472482,13.774,10.021,10.021,0.0,-0.03332639,-0.03332639,-0.09997916999999999,-66.17751334695035,-65.33861285999997
2mer-0+34,-0.01464758,4,-0.02929517,-65.36790802,0.0001431179,14.605,10.117,10.117,0.0,-0.02929516,-0.02929516,-0.04394274,-66.20680850695035,-65.36790801999997
2mer-0+64,-0.02082241,4,-0.04164481,-65.40955284,0.0001306538,13.836,10.429,10.429,0.0,-0.04164482,-0.04164482,-0.06246723,-66.24845332695035,-65.40955283999998
2mer-0+54,-0.00967531,4,-0.01935062,-65.42890345,0.0001303341,14.378,10.437,10.437,0.0,-0.01935062,-0.01935062,-0.02902593,-66.26780394695035,-65.42890345999997
2mer-0+58,-0.01298602,4,-0.02597203,-65.45487548,0.0001194838,14.94,10.744,10.744,0.0,-0.02597204,-0.02597204,-0.038958059999999996,-66.29377598695035,-65.45487549999997
