N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+1,-6.35385259,4,-12.70770518,-12.70770518,0.009001449,5.986,2.544,2.544,-0.12349001318216324
2mer-0+2,-8.0852647,4,-16.1705294,-28.87823458,0.008127517,5.812,2.632,2.632,-0.194249227643013
2mer-0+6,-12.93955343,4,-25.87910687,-54.75734145,0.007702494,5.025,2.68,2.68,-0.42336317896842957
2mer-0+16,-2.34011618,2,-2.34011618,-57.09745763,0.001412501,6.81,4.716,4.716,-0.09300612658262253
2mer-0+5,-0.33318123,2,-0.33318123,-57.43063886,0.001216975,9.42,4.956,4.956,0.016286924481391907
2mer-0+21,-1.44113388,2,-1.44113388,-58.87177274,0.001144258,7.39,5.059,5.059,-0.05578254163265228
2mer-0+12,-0.36605587,4,-0.73211175,-59.60388449,0.001080953,9.402,5.156,5.156,0.016038019210100174
2mer-0+14,-0.48243661,4,-0.96487323,-60.56875771,0.0009506992,9.067,5.382,5.382,0.011080984026193619
2mer-0+37,-0.12342121,2,-0.12342121,-60.69217893,0.0008840221,10.049,5.514,5.514,0.014843066222965717
2mer-0+15,-0.3193401,4,-0.6386802,-61.33085912,0.0006261051,9.067,6.186,6.186,0.000895475794095546
2mer-0+8,-0.14347943,4,-0.28695886,-61.61781798,0.0006236921,10.676,6.194,6.194,0.007775735575705767
2mer-0+10,-0.14080316,4,-0.28160631,-61.8994243,0.0004827827,10.676,6.746,6.746,0.003653373336419463
2mer-0+27,-0.21887108,4,-0.43774216,-62.33716645,0.0003528237,9.402,7.489,7.489,-0.00030458957189694047
2mer-0+18,-0.05892494,2,-0.05892494,-62.39609139,0.0003523333,11.624,7.492,7.492,0.0031798789277672768
2mer-0+22,-0.05467314,2,-0.05467314,-62.45076454,0.0003505125,11.973,7.505,7.505,0.0010966090485453606
2mer-0+45,-0.07578743,4,-0.15157485,-62.60233939,0.0002987386,10.863,7.916,7.916,0.0006236581830307841
2mer-0+40,-0.12973546,4,-0.25947091,-62.8618103,0.0002902837,11.249,7.992,7.992,0.0002784988027997315
