N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+1,-6.72342442,4,-13.44684884,-13.44684884,0.009001449,5.986,2.544,2.544,1.2874289751052856,-13.44684884,-10.871990889789428,-20.17027326,-10.871990889789428,-13.44684884
2mer-0+2,-8.24131874,4,-16.48263749,-29.92948633,0.008127517,5.812,2.632,2.632,1.479140043258667,-16.48263748,-13.524357393482667,-24.72395622,-24.396348283272097,-29.929486320000002
2mer-0+6,-11.51785518,4,-23.03571035,-52.96519668,0.007702494,5.025,2.68,2.68,2.440471649169922,-23.03571036,-18.154767061660156,-34.55356554,-42.551115344932256,-52.965196680000005
2mer-0+16,-2.15361105,2,-2.15361105,-55.11880773,0.001412501,6.81,4.716,4.716,0.3384838104248047,-2.15361105,-1.8151272395751952,-6.460833149999999,-44.366242584507454,-55.11880773000001
2mer-0+5,-0.27909535,2,-0.27909535,-55.39790308,0.001216975,9.42,4.956,4.956,0.0635777786374092,-0.27909535,-0.2155175713625908,-0.8372860500000001,-44.58176015587004,-55.397903080000006
2mer-0+21,-1.28393059,2,-1.28393059,-56.68183367,0.001144258,7.39,5.059,5.059,0.2229376286268234,-1.28393059,-1.0609929613731766,-3.85179177,-45.64275311724322,-56.68183367
2mer-0+12,-0.3049328,4,-0.6098656,-57.29169927,0.001080953,9.402,5.156,5.156,0.0645208209753036,-0.6098656,-0.4808239580493928,-0.9147984,-46.12357707529261,-57.29169927
2mer-0+14,-0.41010966,4,-0.82021932,-58.11191859,0.0009506992,9.067,5.382,5.382,0.0723754689097404,-0.82021932,-0.6754683821805192,-1.23032898,-46.79904545747313,-58.11191859
2mer-0+37,-0.08952023,2,-0.08952023,-58.20143882,0.0008840221,10.049,5.514,5.514,0.0365714058279991,-0.08952023,-0.052948824172000905,-0.26856069000000005,-46.851994281645126,-58.20143882
2mer-0+15,-0.26121075,4,-0.5224215,-58.72386032,0.0006261051,9.067,6.186,6.186,0.0454528778791427,-0.5224215,-0.43151574424171457,-0.7836322499999999,-47.28351002588684,-58.72386032
2mer-0+8,-0.11046699,4,-0.22093397,-58.94479429,0.0006236921,10.676,6.194,6.194,0.0039732865989208,-0.22093398,-0.2129874068021584,-0.33140097,-47.496497432689,-58.9447943
2mer-0+10,-0.10994696,4,-0.21989392,-59.16468821,0.0004827827,10.676,6.746,6.746,0.0017502332339063,-0.21989392,-0.2163934535321874,-0.32984088,-47.71289088622118,-59.164688219999995
2mer-0+27,-0.17726045,4,-0.35452091,-59.51920912,0.0003528237,9.402,7.489,7.489,0.0057593523524701,-0.3545209,-0.3430021952950598,-0.53178135,-48.05589308151624,-59.51920911999999
2mer-0+18,-0.04030534,2,-0.04030534,-59.55951446,0.0003523333,11.624,7.492,7.492,-0.003866508603096,-0.04030534,-0.044171848603096,-0.12091602000000001,-48.10006493011934,-59.559514459999995
2mer-0+22,-0.0381572,2,-0.0381572,-59.59767167,0.0003505125,11.973,7.505,7.505,-0.0013262117281556,-0.0381572,-0.0394834117281556,-0.1144716,-48.139548341847494,-59.597671659999996
2mer-0+45,-0.05682879,4,-0.11365758,-59.71132924,0.0002987386,10.863,7.916,7.916,-0.0019431393593549,-0.11365758,-0.11754385871870979,-0.17048637,-48.257092200566206,-59.71132924
2mer-0+40,-0.10517396,4,-0.21034791,-59.92167716,0.0002902837,11.249,7.992,7.992,-0.0009408329497091,-0.21034792,-0.2122295858994182,-0.31552188,-48.46932178646562,-59.921677159999994
2mer-0+60,-0.0361437,4,-0.07228739,-59.99396455,0.0002569059,11.596,8.324,8.324,0.0,-0.0722874,-0.0722874,-0.1084311,-48.54160918646562,-59.993964559999995
2mer-0+26,-0.08693823,2,-0.08693823,-60.08090278,0.0002364929,11.624,8.557,8.557,0.0,-0.08693823,-0.08693823,-0.26081469,-48.62854741646562,-60.080902789999996
2mer-0+43,-0.0117043,4,-0.0234086,-60.10431139,0.0002333832,12.044,8.595,8.595,0.0,-0.0234086,-0.0234086,-0.0351129,-48.651956016465626,-60.10431139
2mer-0+59,-0.00975898,4,-0.01951796,-60.12382935,0.0002207595,13.459,8.756,8.756,0.0,-0.01951796,-0.01951796,-0.02927694,-48.67147397646563,-60.12382935
2mer-0+32,-0.07742682,2,-0.07742682,-60.20125617,0.0002142829,11.973,8.843,8.843,0.0,-0.07742682,-0.07742682,-0.23228045999999997,-48.74890079646563,-60.20125617
2mer-0+44,-0.00943321,2,-0.00943321,-60.21068938,0.0002040349,13.774,8.989,8.989,0.0,-0.00943321,-0.00943321,-0.02829963,-48.758334006465624,-60.21068938
2mer-0+39,-0.00772844,2,-0.00772844,-60.21841782,0.0001695377,13.774,9.561,9.561,0.0,-0.00772844,-0.00772844,-0.02318532,-48.766062446465625,-60.21841782
2mer-0+55,0.01720391,2,0.01720391,-60.20121391,0.0001624869,10.049,9.698,9.698,0.0,0.01720391,0.01720391,0.051611729999999995,-48.748858536465626,-60.20121391
