N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-25.7370066,2,-25.7370066,-25.7370066,0.01548962,4.966,2.123,2.123,0.0130342729389667,-25.7370066,-25.723972327061034,-77.2110198,-25.723972327061034,-25.7370066,-24.28562425
2mer-0+1,-31.32615481,2,-31.32615481,-57.06316141,0.01363123,3.887,2.215,2.215,0.1526626795530319,-31.32615481,-31.173492130446967,-93.97846443,-56.897464457508,-57.06316141,0.0
2mer-0+3,-14.36282675,2,-14.36282675,-71.42598816,0.007481511,5.021,2.706,2.706,0.0911784768104553,-14.36282675,-14.271648273189545,-43.08848025,-71.16911273069755,-71.42598816,0.0
2mer-0+23,2.18439271,2,2.18439271,-69.24159546,0.006778146,5.651,2.796,2.796,0.1595552414655685,2.18439271,2.3439479514655686,6.55317813,-68.82516477923198,-69.24159545,0.0
2mer-0+7,7.39239417,2,7.39239417,-61.84920128,0.006107412,3.631,2.895,2.895,0.363976776599884,7.39239417,7.756370946599884,22.17718251,-61.068793832632096,-61.84920128,0.0
2mer-0+14,-5.13883218,1,-2.56941609,-64.41861737,0.004963174,4.606,3.102,3.102,0.3214978575706482,-2.56941609,-2.4086671612146757,-15.416496539999999,-63.47746099384677,-64.41861737,0.0
2mer-0+5,-19.87661349,2,-19.87661349,-84.29523086,0.004000954,3.478,3.333,3.333,0.2093113362789154,-19.87661349,-19.667302153721085,-59.629840470000005,-83.14476314756786,-84.29523086,0.0
2mer-0+4,10.55909413,1,5.27954706,-79.0156838,0.003728561,5.653,3.413,3.413,-0.0503370203077793,5.279547065,5.25437855484611,31.677282390000002,-77.89038459272174,-79.015683795,0.0
2mer-0+47,4.37905867,1,2.18952933,-76.82615446,0.003232142,6.977,3.579,3.579,0.049997728317976,2.189529335,2.214528199158988,13.137176010000001,-75.67585639356275,-76.82615446,0.0
2mer-0+40,-1.91970186,1,-0.95985093,-77.78600539,0.00170911,6.447,4.426,4.426,0.0193020198494195,-0.95985093,-0.9501999200752902,-5.75910558,-76.62605631363805,-77.78600539,0.0
