N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2,mol
2mer-0+2,-23.97515539,2,-23.97515539,-23.97515539,0.01548962,4.966,2.123,2.123,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='b02a2f2')"
2mer-0+1,-30.14424717,2,-30.14424717,-54.11940256,0.01363123,3.887,2.215,2.215,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='2b54126')"
2mer-0+3,-14.24552419,2,-14.24552419,-68.36492675,0.007481511,5.021,2.706,2.706,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='d9f429d')"
2mer-0+23,1.40205987,2,1.40205987,-66.96286688,0.006778146,5.651,2.796,2.796,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='0fac308')"
2mer-0+7,7.04438274,2,7.04438274,-59.91848414,0.006107412,3.631,2.895,2.895,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='189e891')"
2mer-0+14,-6.13243198,1,-3.06621599,-62.98470013,0.004963174,4.606,3.102,3.102,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='efec4dc')"
2mer-0+5,-20.16939136,2,-20.16939136,-83.15409149,0.004000954,3.478,3.333,3.333,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='9bd6c01')"
2mer-0+4,10.36868667,1,5.18434334,-77.96974816,0.003728561,5.653,3.413,3.413,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='4e8bc4f')"
2mer-0+47,4.1280301,1,2.06401505,-75.90573311,0.003232142,6.977,3.579,3.579,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='93f8e48')"
2mer-0+40,-2.04259029,1,-1.02129515,-76.92702826,0.00170911,6.447,4.426,4.426,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='409d44b')"
2mer-0+8,-2.66693771,2,-2.66693771,-79.59396597,0.001679397,6.456,4.452,4.452,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='76d0bd8')"
2mer-0+21,3.40110954,2,3.40110954,-76.19285642,0.0009520345,6.312,5.379,5.379,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='b8675fe')"
2mer-0+18,-4.28981865,2,-4.28981865,-80.48267508,0.0009394291,5.955,5.403,5.403,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='32483e9')"
2mer-0+12,-1.10864393,2,-1.10864393,-81.591319,0.0009205589,6.533,5.44,5.44,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='5ea85e7')"
2mer-0+26,2.09367435,2,2.09367435,-79.49764465,0.0008837697,6.628,5.514,5.514,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='d8612c9')"
2mer-0+11,-1.18967404,2,-1.18967404,-80.6873187,0.0008487794,7.164,5.589,5.589,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='124a28a')"
2mer-0+13,2.99919906,2,2.99919906,-77.68811964,0.0008268097,7.691,5.638,5.638,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='7f609aa')"
2mer-0+19,-0.16625605,2,-0.16625605,-77.85437569,0.000819337,7.22,5.655,5.655,,"Molecule(name='C2H4N4', formula='C2H4N4', hash='35d9a16')"
