N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-23.97515539,2,-23.97515539,-23.97515539,0.01548962,4.966,2.123,2.123,0.3223644495010376,-23.97515539,-23.652790940498964,-71.92546617,-23.652790940498964,-23.97515539,-24.28562425
2mer-0+1,-30.14424717,2,-30.14424717,-54.11940256,0.01363123,3.887,2.215,2.215,0.1268878281116485,-30.14424717,-30.01735934188835,-90.43274151,-53.67015028238731,-54.11940256,0.0
2mer-0+3,-14.24552419,2,-14.24552419,-68.36492675,0.007481511,5.021,2.706,2.706,0.0077318884432315,-14.24552419,-14.237792301556768,-42.73657257,-67.90794258394408,-68.36492675,0.0
2mer-0+23,1.40205987,2,1.40205987,-66.96286688,0.006778146,5.651,2.796,2.796,-0.1337366551160812,1.40205987,1.2683232148839187,4.2061796099999995,-66.63961936906016,-66.96286687999999,0.0
2mer-0+7,7.04438274,2,7.04438274,-59.91848414,0.006107412,3.631,2.895,2.895,-0.1111225485801696,7.04438274,6.93326019141983,21.13314822,-59.70635917764032,-59.91848413999999,0.0
2mer-0+14,-6.13243198,1,-3.06621599,-62.98470013,0.004963174,4.606,3.102,3.102,-0.1980129927396774,-3.06621599,-3.1652224863698386,-18.39729594,-62.871581664010165,-62.98470012999999,0.0
2mer-0+5,-20.16939136,2,-20.16939136,-83.15409149,0.004000954,3.478,3.333,3.333,0.0792335569858551,-20.16939136,-20.090157803014144,-60.508174079999996,-82.9617394670243,-83.15409148999998,0.0
2mer-0+4,10.36868667,1,5.18434334,-77.96974816,0.003728561,5.653,3.413,3.413,0.1636783480644226,5.184343335,5.266182509032212,31.10606001,-77.6955569579921,-77.96974815499999,0.0
2mer-0+47,4.1280301,1,2.06401505,-75.90573311,0.003232142,6.977,3.579,3.579,-0.0251946374773979,2.06401505,2.051417731261301,12.3840903,-75.6441392267308,-75.905733105,0.0
2mer-0+40,-2.04259029,1,-1.02129515,-76.92702826,0.00170911,6.447,4.426,4.426,0.0063100643455982,-1.021295145,-1.018140112827201,-6.127770870000001,-76.662279339558,-76.92702824999999,0.0
2mer-0+8,-2.66693771,2,-2.66693771,-79.59396597,0.001679397,6.456,4.452,4.452,0.0343918465077877,-2.66693771,-2.6325458634922123,-8.000813130000001,-79.29482520305021,-79.59396595999999,0.0
2mer-0+21,3.40110954,2,3.40110954,-76.19285642,0.0009520345,6.312,5.379,5.379,-0.0108499927446246,3.40110954,3.3902595472553756,10.20332862,-75.90456565579484,-76.19285642,0.0
2mer-0+18,-4.28981865,2,-4.28981865,-80.48267508,0.0009394291,5.955,5.403,5.403,0.0031451084651052,-4.28981865,-4.286673541534895,-12.869455949999999,-80.19123919732974,-80.48267507,0.0
2mer-0+12,-1.10864393,2,-1.10864393,-81.591319,0.0009205589,6.533,5.44,5.44,0.0184049326926469,-1.10864393,-1.090238997307353,-3.32593179,-81.28147819463709,-81.591319,0.0
2mer-0+26,2.09367435,2,2.09367435,-79.49764465,0.0008837697,6.628,5.514,5.514,-0.0054258103482425,2.09367435,2.0882485396517576,6.28102305,-79.19322965498533,-79.49764465,0.0
2mer-0+11,-1.18967404,2,-1.18967404,-80.6873187,0.0008487794,7.164,5.589,5.589,-0.0038443736266344,-1.18967404,-1.1935184136266346,-3.5690221200000005,-80.38674806861196,-80.68731869,0.0
