N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-23.23005063,2,-23.23005063,-23.23005063,0.01548962,4.966,2.123,2.123,0.4278161227703094,-23.23005063,-22.80223450722969,-69.69015189000001,-22.80223450722969,-23.23005063,-24.28562425
2mer-0+1,-28.4775578,2,-28.4775578,-51.70760843,0.01363123,3.887,2.215,2.215,0.3112152218818664,-28.4775578,-28.166342578118133,-85.4326734,-50.968577085347825,-51.70760843,0.0
2mer-0+3,-12.73269703,2,-12.73269703,-64.44030546,0.007481511,5.021,2.706,2.706,0.2268413305282592,-12.73269703,-12.505855699471741,-38.198091090000005,-63.47443278481957,-64.44030546,0.0
2mer-0+23,2.78227834,2,2.78227834,-61.65802712,0.006778146,5.651,2.796,2.796,0.1932104080915451,2.78227834,2.975488748091545,8.34683502,-60.49894403672803,-61.65802712000001,0.0
2mer-0+7,7.59105726,2,7.59105726,-54.06696985,0.006107412,3.631,2.895,2.895,0.1804180294275283,7.59105726,7.771475289427529,22.773171780000002,-52.7274687473005,-54.06696986000001,0.0
2mer-0+14,-3.2495051,1,-1.62475255,-55.6917224,0.004963174,4.606,3.102,3.102,0.1790547519922256,-1.62475255,-1.5352251740038871,-9.7485153,-54.26269392130438,-55.691722410000004,0.0
2mer-0+5,-18.16962833,2,-18.16962833,-73.86135074,0.004000954,3.478,3.333,3.333,0.1308773756027221,-18.16962833,-18.038750954397276,-54.50888499,-72.30144487570166,-73.86135074,0.0
2mer-0+4,9.36799588,1,4.68399794,-69.1773528,0.003728561,5.653,3.413,3.413,0.1129561364650726,4.68399794,4.740476008232537,28.10398764,-67.56096886746913,-69.17735280000001,0.0
2mer-0+47,4.35702079,1,2.17851039,-66.9988424,0.003232142,6.977,3.579,3.579,0.299199104309082,2.178510395,2.328109947154541,13.07106237,-65.23285892031458,-66.998842405,0.0
2mer-0+40,-1.66982242,1,-0.83491121,-67.83375362,0.00170911,6.447,4.426,4.426,0.2586862742900848,-0.83491121,-0.7055680728549576,-5.00946726,-65.93842699316954,-67.833753615,0.0
2mer-0+8,-2.43430842,2,-2.43430842,-70.26806203,0.001679397,6.456,4.452,4.452,0.1636545807123184,-2.43430842,-2.2706538392876814,-7.302925259999999,-68.20908083245722,-70.268062035,0.0
2mer-0+21,3.32071528,2,3.32071528,-66.94734676,0.0009520345,6.312,5.379,5.379,0.1192130446434021,3.32071528,3.439928324643402,9.96214584,-64.76915250781381,-66.947346755,0.0
2mer-0+18,-3.88063133,2,-3.88063133,-70.82797809,0.0009394291,5.955,5.403,5.403,0.0698303431272506,-3.88063133,-3.8108009868727493,-11.64189399,-68.57995349468656,-70.827978085,0.0
2mer-0+12,-1.06599059,2,-1.06599059,-71.89396868,0.0009205589,6.533,5.44,5.44,0.0502856373786926,-1.06599059,-1.0157049526213073,-3.1979717699999997,-69.59565844730787,-71.893968675,0.0
2mer-0+26,2.09008283,2,2.09008283,-69.80388585,0.0008837697,6.628,5.514,5.514,0.0850967615842819,2.09008283,2.175179591584282,6.27024849,-67.42047885572359,-69.803885845,0.0
2mer-0+11,-1.04564248,2,-1.04564248,-70.84952833,0.0008487794,7.164,5.589,5.589,0.0482999011874198,-1.04564248,-0.9973425788125801,-3.13692744,-68.41782143453617,-70.849528325,0.0
2mer-0+13,2.85391913,2,2.85391913,-67.9956092,0.0008268097,7.691,5.638,5.638,0.04369892552495,2.85391913,2.89761805552495,8.56175739,-65.52020337901122,-67.995609195,0.0
2mer-0+19,-0.05311188,2,-0.05311188,-68.04872108,0.000819337,7.22,5.655,5.655,0.0625414475798606,-0.05311188,0.009429567579860604,-0.15933564,-65.51077381143136,-68.048721075,0.0
2mer-0+20,1.54735568,1,0.77367784,-67.27504324,0.0008068659,7.233,5.684,5.684,0.0431976951658725,0.77367784,0.7952766875829362,4.64206704,-64.71549712384842,-67.275043235,0.0
2mer-0+24,-3.52699586,2,-3.52699586,-70.8020391,0.0007779855,7.485,5.754,5.754,0.0791721567511558,-3.52699586,-3.447823703248844,-10.58098758,-68.16332082709727,-70.802039095,0.0
2mer-0+33,-2.79906047,2,-2.79906047,-73.60109957,0.0007213813,6.957,5.9,5.9,0.0846187248826026,-2.79906047,-2.7144417451173974,-8.39718141,-70.87776257221466,-73.601099565,0.0
2mer-0+31,2.79924667,2,2.79924667,-70.8018529,0.0006765307,6.856,6.028,6.028,0.0499330908060073,2.79924667,2.8491797608060074,8.39774001,-68.02858281140865,-70.801852895,0.0
2mer-0+86,2.30321515,2,2.30321515,-68.49863774,0.0006716518,9.221,6.043,6.043,0.0711007416248321,2.30321515,2.3743158916248324,6.909645450000001,-65.65426691978382,-68.498637745,0.0
2mer-0+15,-2.93252455,2,-2.93252455,-71.4311623,0.0006130595,9.147,6.229,6.229,0.0482921078801155,-2.93252455,-2.8842324421198846,-8.79757365,-68.5384993619037,-71.431162295,0.0
2mer-0+89,2.12321114,2,2.12321114,-69.30795116,0.0006005315,9.382,6.272,6.272,0.0597423054277896,2.12321114,2.1829534454277897,6.3696334199999995,-66.35554591647592,-69.307951155,0.0
2mer-0+25,-2.27099084,2,-2.27099084,-71.57894199,0.0005700966,7.485,6.382,6.382,0.0292725823819637,-2.27099084,-2.2417182576180363,-6.812972520000001,-68.59726417409395,-71.578941995,0.0
2mer-0+76,-0.64260515,1,-0.32130258,-71.90024457,0.0005074523,8.308,6.634,6.634,0.0430757068097591,-0.321302575,-0.2997647215951204,-1.9278154499999998,-68.89702889568908,-71.90024457,0.0
2mer-0+22,-2.7801442,2,-2.7801442,-74.68038877,0.0004665173,9.841,6.823,6.823,0.0267600659281015,-2.7801442,-2.7533841340718985,-8.3404326,-71.65041302976097,-74.68038877,0.0
2mer-0+44,-0.52194897,2,-0.52194897,-75.20233774,0.0004642979,8.498,6.834,6.834,0.0307723898440599,-0.52194897,-0.49117658015594007,-1.5658469099999999,-72.1415896099169,-75.20233773999999,0.0
2mer-0+35,0.55723376,2,0.55723376,-74.64510399,0.000438829,8.876,6.964,6.964,0.0520332232117652,0.55723376,0.6092669832117652,1.6717012800000002,-71.53232262670514,-74.64510397999999,0.0
2mer-0+32,0.78572024,2,0.78572024,-73.85938375,0.0004113858,8.498,7.115,7.115,0.0312832705676555,0.78572024,0.8170035105676554,2.35716072,-70.71531911613748,-73.85938373999998,0.0
2mer-0+29,-2.2323033,1,-1.11615165,-74.9755354,0.0003995222,7.708,7.185,7.185,0.0192516464740037,-1.11615165,-1.106525826762998,-6.6969099,-71.82184494290048,-74.97553538999999,0.0
2mer-0+132,0.7954175,2,0.7954175,-74.1801179,0.0003839857,10.411,7.281,7.281,0.027762122452259,0.7954175,0.823179622452259,2.3862525,-70.99866532044823,-74.18011788999999,0.0
2mer-0+36,-0.9317094,2,-0.9317094,-75.1118273,0.0003612383,9.841,7.43,7.43,0.0108040599152445,-0.9317094,-0.9209053400847556,-2.7951282,-71.91957066053298,-75.11182729,0.0
2mer-0+112,0.29176919,2,0.29176919,-74.82005811,0.0003588837,10.165,7.446,7.446,0.0223058722913265,0.29176919,0.31407506229132653,0.87530757,-71.60549559824166,-74.8200581,0.0
2mer-0+42,1.26370836,1,0.63185418,-74.18820393,0.0003374442,9.61,7.601,7.601,0.0050535579212009,0.63185418,0.6343809589606005,3.7911250800000005,-70.97111463928105,-74.18820391999999,0.0
2mer-0+52,0.56681847,2,0.56681847,-73.62138546,0.0003245923,9.223,7.7,7.7,0.0069894301705062,0.56681847,0.5738079001705062,1.70045541,-70.39730673911055,-73.62138544999999,0.0
2mer-0+45,0.32524051,2,0.32524051,-73.29614496,0.0003074243,9.417,7.841,7.841,0.0060694990679621,0.32524051,0.3313100090679621,0.97572153,-70.06599673004258,-73.29614493999999,0.0
2mer-0+60,0.68463982,2,0.68463982,-72.61150514,0.0003029356,9.829,7.879,7.879,0.0043549882248044,0.68463982,0.6889948082248044,2.05391946,-69.37700192181778,-72.61150511999999,0.0
