N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+2,-26.48449655,2,-26.48449655,-26.48449655,0.01548962,4.966,2.123,2.123,0.6638579368591309
2mer-0+1,-31.50857972,2,-31.50857972,-57.99307627,0.01363123,3.887,2.215,2.215,0.749438464641571
2mer-0+3,-14.93016573,2,-14.93016573,-72.923242,0.007481511,5.021,2.706,2.706,0.5430307984352112
2mer-0+23,1.56434716,2,1.56434716,-71.35889484,0.006778146,5.651,2.796,2.796,0.8799970149993896
2mer-0+7,7.05667422,2,7.05667422,-64.30222062,0.006107412,3.631,2.895,2.895,0.16160935163497925
2mer-0+14,-5.91570204,1,-2.95785102,-67.26007164,0.004963174,4.606,3.102,3.102,-0.0061264485120773315
2mer-0+5,-19.45865588,2,-19.45865588,-86.71872751,0.004000954,3.478,3.333,3.333,0.08564943075180054
2mer-0+4,8.87425586,1,4.43712793,-82.28159959,0.003728561,5.653,3.413,3.413,0.07678009569644928
2mer-0+47,4.50733797,1,2.25366899,-80.0279306,0.003232142,6.977,3.579,3.579,0.5718321204185486
2mer-0+40,-2.18370755,1,-1.09185377,-81.11978437,0.00170911,6.447,4.426,4.426,0.27225661277770996
2mer-0+8,-2.26555734,2,-2.26555734,-83.38534171,0.001679397,6.456,4.452,4.452,0.17133890092372894
2mer-0+21,3.64188588,2,3.64188588,-79.74345583,0.0009520345,6.312,5.379,5.379,0.12666000425815582
2mer-0+18,-3.8810198,2,-3.8810198,-83.62447563,0.0009394291,5.955,5.403,5.403,0.054120466113090515
2mer-0+12,-0.61900941,2,-0.61900941,-84.24348504,0.0009205589,6.533,5.44,5.44,0.047837164252996445
2mer-0+26,2.35199312,2,2.35199312,-81.89149192,0.0008837697,6.628,5.514,5.514,0.09197640419006348
2mer-0+11,-1.07113862,2,-1.07113862,-82.96263055,0.0008487794,7.164,5.589,5.589,0.037156131118535995
2mer-0+13,3.0646981,2,3.0646981,-79.89793245,0.0008268097,7.691,5.638,5.638,0.02519054524600506
2mer-0+19,-0.1356495,2,-0.1356495,-80.03358194,0.000819337,7.22,5.655,5.655,0.07264101505279541
2mer-0+20,1.97786364,1,0.98893182,-79.04465012,0.0008068659,7.233,5.684,5.684,0.03385315462946892
2mer-0+24,-3.67167462,2,-3.67167462,-82.71632474,0.0007779855,7.485,5.754,5.754,0.10771937668323517
2mer-0+33,-3.0783054,2,-3.0783054,-85.79463014,0.0007213813,6.957,5.9,5.9,0.07974930107593536
2mer-0+31,3.01337341,2,3.01337341,-82.78125673,0.0006765307,6.856,6.028,6.028,0.05657085403800011
2mer-0+86,2.52996655,2,2.52996655,-80.25129018,0.0006716518,9.221,6.043,6.043,0.09848632663488388
2mer-0+15,-3.0674742,2,-3.0674742,-83.31876438,0.0006130595,9.147,6.229,6.229,0.050122421234846115
2mer-0+89,2.35283544,2,2.35283544,-80.96592894,0.0006005315,9.382,6.272,6.272,0.07940115034580231
2mer-0+25,-2.34129674,2,-2.34129674,-83.30722568,0.0005700966,7.485,6.382,6.382,0.034273695200681686
2mer-0+76,-0.77365533,1,-0.38682766,-83.69405335,0.0005074523,8.308,6.634,6.634,0.057364486157894135
2mer-0+22,-2.89028443,2,-2.89028443,-86.58433777,0.0004665173,9.841,6.823,6.823,0.02494608424603939
2mer-0+44,-0.59886427,2,-0.59886427,-87.18320204,0.0004642979,8.498,6.834,6.834,0.0446959063410759
2mer-0+35,0.59844146,2,0.59844146,-86.58476058,0.000438829,8.876,6.964,6.964,0.08860480785369873
2mer-0+32,0.86569981,2,0.86569981,-85.71906077,0.0004113858,8.498,7.115,7.115,0.037883687764406204
2mer-0+29,-2.18946946,1,-1.09473473,-86.8137955,0.0003995222,7.708,7.185,7.185,0.022657787427306175
2mer-0+132,0.80951556,2,0.80951556,-86.00427994,0.0003839857,10.411,7.281,7.281,0.04676830396056175
2mer-0+36,-0.98708704,2,-0.98708704,-86.99136698,0.0003612383,9.841,7.43,7.43,0.01728498935699463
2mer-0+112,0.28388604,2,0.28388604,-86.70748094,0.0003588837,10.165,7.446,7.446,0.049264878034591675
