N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-26.48449655,2,-26.48449655,-26.48449655,0.01548962,4.966,2.123,2.123,0.6638579368591309,-26.48449655,-25.82063861314087,-79.45348965,-25.82063861314087,-26.48449655,-24.28562425
2mer-0+1,-31.50857972,2,-31.50857972,-57.99307627,0.01363123,3.887,2.215,2.215,0.749438464641571,-31.50857972,-30.75914125535843,-94.52573916,-56.5797798684993,-57.99307627,0.0
2mer-0+3,-14.93016573,2,-14.93016573,-72.923242,0.007481511,5.021,2.706,2.706,0.5430307984352112,-14.93016573,-14.38713493156479,-44.79049719,-70.96691480006409,-72.923242,0.0
2mer-0+23,1.56434716,2,1.56434716,-71.35889484,0.006778146,5.651,2.796,2.796,0.8799970149993896,1.56434716,2.4443441749993897,4.69304148,-68.5225706250647,-71.35889484,0.0
2mer-0+7,7.05667422,2,7.05667422,-64.30222062,0.006107412,3.631,2.895,2.895,0.1616093516349792,7.05667422,7.218283571634979,21.17002266,-61.304287053429725,-64.30222062,0.0
2mer-0+14,-5.91570204,1,-2.95785102,-67.26007164,0.004963174,4.606,3.102,3.102,-0.0061264485120773,-2.95785102,-2.9609142442560388,-17.74710612,-64.26520129768576,-67.26007164,0.0
2mer-0+5,-19.45865588,2,-19.45865588,-86.71872751,0.004000954,3.478,3.333,3.333,0.0856494307518005,-19.45865588,-19.373006449248198,-58.37596764,-83.63820774693396,-86.71872752,0.0
2mer-0+4,8.87425586,1,4.43712793,-82.28159959,0.003728561,5.653,3.413,3.413,0.0767800956964492,4.43712793,4.475517977848225,26.62276758,-79.16268976908573,-82.28159959,0.0
2mer-0+47,4.50733797,1,2.25366899,-80.0279306,0.003232142,6.977,3.579,3.579,0.5718321204185486,2.253668985,2.5395850452092743,13.52201391,-76.62310472387645,-80.027930605,0.0
2mer-0+40,-2.18370755,1,-1.09185377,-81.11978437,0.00170911,6.447,4.426,4.426,0.2722566127777099,-1.091853775,-0.9557254686111449,-6.55112265,-77.5788301924876,-81.11978438,0.0
2mer-0+8,-2.26555734,2,-2.26555734,-83.38534171,0.001679397,6.456,4.452,4.452,0.1713389009237289,-2.26555734,-2.094218439076271,-6.79667202,-79.67304863156387,-83.38534172,0.0
2mer-0+21,3.64188588,2,3.64188588,-79.74345583,0.0009520345,6.312,5.379,5.379,0.1266600042581558,3.64188588,3.7685458842581556,10.925657639999999,-75.90450274730571,-79.74345584,0.0
2mer-0+18,-3.8810198,2,-3.8810198,-83.62447563,0.0009394291,5.955,5.403,5.403,0.0541204661130905,-3.8810198,-3.8268993338869093,-11.643059399999999,-79.73140208119263,-83.62447564,0.0
2mer-0+12,-0.61900941,2,-0.61900941,-84.24348504,0.0009205589,6.533,5.44,5.44,0.0478371642529964,-0.61900941,-0.5711722457470035,-1.85702823,-80.30257432693963,-84.24348505,0.0
