N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-82.6420149,2,-82.6420149,-82.6420149,0.02169007,5.315,1.897,1.897,0.8797875046730042,-82.6420149,-81.762227395327,-247.92604470000003,-81.762227395327,-82.6420149,-79.91377723
2mer-0+4,-37.43376168,2,-37.43376168,-120.07577658,0.01539951,6.666,2.127,2.127,0.3737801909446716,-37.43376168,-37.05998148905533,-112.30128504000001,-118.82220888438233,-120.07577658000001,0.0
2mer-0+6,0.50939356,2,0.50939356,-119.56638302,0.01172207,6.169,2.33,2.33,0.7249292135238647,0.50939356,1.2343227735238647,1.5281806800000002,-117.58788611085846,-119.56638302,0.0
2mer-0+25,-1.58726146,2,-1.58726146,-121.15364448,0.009799152,7.983,2.473,2.473,0.2477451264858245,-1.58726146,-1.3395163335141753,-4.76178438,-118.92740244437263,-121.15364448,0.0
2mer-0+1,-29.63484397,2,-29.63484397,-150.78848845,0.005889715,5.505,2.93,2.93,0.6540202498435974,-29.63484397,-28.9808237201564,-88.90453191,-147.90822616452903,-150.78848845,0.0
2mer-0+3,-2.60657907,2,-2.60657907,-153.39506752,0.004571022,3.814,3.189,3.189,1.2612359523773191,-2.60657907,-1.3453431176226809,-7.8197372099999995,-149.25356928215172,-153.39506752,0.0
2mer-0+12,-7.65156125,2,-7.65156125,-161.04662877,0.002852764,7.545,3.731,3.731,0.0860174670815467,-7.65156125,-7.5655437829184535,-22.95468375,-156.81911306507016,-161.04662876999998,0.0
2mer-0+13,2.69460748,2,2.69460748,-158.3520213,0.001732545,9.496,4.406,4.406,0.0304479841142892,2.69460748,2.7250554641142894,8.08382244,-154.09405760095586,-158.35202128999998,0.0
2mer-0+9,-4.05476396,2,-4.05476396,-162.40678526,0.001250384,7.813,4.912,4.912,0.1211908012628555,-4.05476396,-3.9335731587371443,-12.16429188,-158.027630759693,-162.40678524999998,0.0
2mer-0+15,-8.00992291,2,-8.00992291,-170.41670816,0.001187899,7.435,4.997,4.997,0.0791584551334381,-8.00992291,-7.930764454866562,-24.02976873,-165.95839521455957,-170.41670815999998,0.0
2mer-0+11,0.48928902,2,0.48928902,-169.92741914,0.001008942,9.133,5.276,5.276,0.0416952222585678,0.48928902,0.5309842422585678,1.4678670600000001,-165.427410972301,-169.92741913999998,0.0
2mer-0+26,0.65745418,2,0.65745418,-169.26996496,0.0009217316,10.233,5.438,5.438,0.011141087859869,0.65745418,0.668595267859869,1.97236254,-164.75881570444113,-169.26996495999998,0.0
2mer-0+16,-0.67017192,2,-0.67017192,-169.94013688,0.0009028155,8.194,5.475,5.475,0.0840468406677246,-0.67017192,-0.5861250793322754,-2.01051576,-165.3449407837734,-169.94013687999998,0.0
2mer-0+36,-2.54989458,2,-2.54989458,-172.49003146,0.0008193655,9.634,5.655,5.655,0.0101754423230886,-2.54989458,-2.5397191376769115,-7.64968374,-167.88465992145032,-172.49003145999998,0.0
2mer-0+19,-0.62598293,2,-0.62598293,-173.11601439,0.0007642174,10.438,5.788,5.788,0.0214770305901765,-0.62598293,-0.6045058994098236,-1.87794879,-168.48916582086014,-173.11601438999998,0.0
2mer-0+27,2.37670391,2,2.37670391,-170.73931048,0.0007050102,10.233,5.946,5.946,0.0169998165220022,2.37670391,2.393703726522002,7.130111729999999,-166.09546209433813,-170.73931047999997,0.0
2mer-0+14,-4.29256643,2,-4.29256643,-175.03187691,0.0006760709,7.84,6.029,6.029,0.0671875700354576,-4.29256643,-4.225378859964542,-12.877699289999999,-170.32084095430267,-175.03187690999997,0.0
2mer-0+21,3.0750635,2,3.0750635,-171.95681341,0.0005036467,7.628,6.651,6.651,0.0632948577404022,3.0750635,3.1383583577404024,9.2251905,-167.18248259656227,-171.95681340999997,0.0
2mer-0+28,0.52149044,2,0.52149044,-171.43532297,0.0004681132,11.205,6.815,6.815,0.0116975689306855,0.52149044,0.5331880089306855,1.56447132,-166.64929458763157,-171.43532296999996,0.0
2mer-0+33,-1.2944737,2,-1.2944737,-172.72979667,0.0004235878,11.02,7.046,7.046,0.0070258104242384,-1.2944737,-1.2874478895757615,-3.8834210999999996,-167.93674247720733,-172.72979666999996,0.0
2mer-0+58,1.76657059,2,1.76657059,-170.96322608,0.0004092237,12.454,7.128,7.128,0.0014597317203879,1.76657059,1.7680303217203879,5.29971177,-166.16871215548696,-170.96322607999997,0.0
2mer-0+24,-0.79772022,2,-0.79772022,-171.76094631,0.0004027611,10.607,7.166,7.166,0.000688605767209,-0.79772022,-0.797031614232791,-2.39316066,-166.96574376971975,-171.76094629999997,0.0
2mer-0+42,0.62428352,2,0.62428352,-171.13666278,0.0003905103,9.925,7.24,7.24,-0.0016075301682576,0.62428352,0.6226759898317423,1.8728505599999998,-166.343067779888,-171.13666277999997,0.0
2mer-0+46,4.69937962,2,4.69937962,-166.43728316,0.0003124828,10.444,7.798,7.798,-0.0001954128383658,4.69937962,4.699184207161634,14.09813886,-161.64388357272637,-166.43728315999996,0.0
2mer-0+64,0.7590668,2,0.7590668,-165.67821636,0.0002905249,12.371,7.99,7.99,0.0028235209174454,0.7590668,0.7618903209174455,2.2772004,-160.88199325180892,-165.67821635999996,0.0
2mer-0+31,-0.01810126,2,-0.01810126,-165.69631762,0.0002861295,10.332,8.031,8.031,0.0,-0.01810126,-0.01810126,-0.05430378,-160.90009451180893,-165.69631761999997,0.0
2mer-0+79,1.55795093,2,1.55795093,-164.13836669,0.0002710287,13.647,8.177,8.177,0.0,1.55795093,1.55795093,4.67385279,-159.34214358180893,-164.13836668999997,0.0
2mer-0+68,-0.36720735,2,-0.36720735,-164.50557405,0.0002657258,12.66,8.231,8.231,0.0,-0.36720735,-0.36720735,-1.10162205,-159.70935093180893,-164.50557403999997,0.0
2mer-0+51,0.12789359,2,0.12789359,-164.37768045,0.0002595832,12.181,8.295,8.295,0.0,0.12789359,0.12789359,0.38368077,-159.5814573418089,-164.37768044999996,0.0
2mer-0+45,-0.95900847,2,-0.95900847,-165.33668892,0.00025522,10.555,8.343,8.343,0.0,-0.95900847,-0.95900847,-2.87702541,-160.5404658118089,-165.33668891999994,0.0
2mer-0+52,1.42245616,2,1.42245616,-163.91423276,0.0002336634,12.181,8.592,8.592,0.0,1.42245616,1.42245616,4.26736848,-159.1180096518089,-163.91423275999995,0.0
2mer-0+50,-1.01988543,2,-1.01988543,-164.93411819,0.0002255714,11.195,8.693,8.693,0.0,-1.01988543,-1.01988543,-3.05965629,-160.1378950818089,-164.93411818999994,0.0
2mer-0+75,-0.01929464,2,-0.01929464,-164.95341282,0.0002206772,13.3,8.757,8.757,0.0,-0.01929464,-0.01929464,-0.05788391999999999,-160.1571897218089,-164.95341282999993,0.0
2mer-0+60,-2.32391732,2,-2.32391732,-167.27733014,0.0002194277,13.59,8.773,8.773,0.0,-2.32391732,-2.32391732,-6.971751960000001,-162.48110704180888,-167.27733014999993,0.0
2mer-0+62,0.91046842,2,0.91046842,-166.36686172,0.0002178313,13.883,8.795,8.795,0.0,0.91046842,0.91046842,2.73140526,-161.57063862180888,-166.36686172999993,0.0
2mer-0+56,-1.65034717,2,-1.65034717,-168.01720889,0.0002069112,13.044,8.947,8.947,0.0,-1.65034717,-1.65034717,-4.9510415100000005,-163.22098579180889,-168.01720889999993,0.0
2mer-0+61,1.90699321,2,1.90699321,-166.11021568,0.0001935639,11.755,9.148,9.148,0.0,1.90699321,1.90699321,5.72097963,-161.3139925818089,-166.11021568999993,0.0
2mer-0+82,-1.42800044,2,-1.42800044,-167.53821611,0.0001827981,12.288,9.324,9.324,0.0,-1.42800044,-1.42800044,-4.28400132,-162.7419930218089,-167.53821612999994,0.0
2mer-0+44,0.6337728,2,0.6337728,-166.90444332,0.0001823477,13.086,9.332,9.332,0.0,0.6337728,0.6337728,1.9013184,-162.1082202218089,-166.90444332999994,0.0
2mer-0+84,-0.11535528,2,-0.11535528,-167.01979859,0.0001822192,13.144,9.334,9.334,0.0,-0.11535528,-0.11535528,-0.34606584,-162.22357550180888,-167.01979860999992,0.0
2mer-0+49,-1.23670006,2,-1.23670006,-168.25649865,0.0001787746,11.032,9.394,9.394,0.0,-1.23670006,-1.23670006,-3.71010018,-163.46027556180888,-168.25649866999993,0.0
2mer-0+65,-1.23484012,2,-1.23484012,-169.49133877,0.0001669409,14.443,9.611,9.611,0.0,-1.23484012,-1.23484012,-3.70452036,-164.6951156818089,-169.49133878999993,0.0
2mer-0+67,-0.5815929,2,-0.5815929,-170.07293167,0.0001646364,12.768,9.655,9.655,0.0,-0.5815929,-0.5815929,-1.7447787,-165.2767085818089,-170.07293168999993,0.0
2mer-0+63,-1.0186105,2,-1.0186105,-171.09154217,0.0001596448,14.514,9.755,9.755,0.0,-1.0186105,-1.0186105,-3.0558315,-166.29531908180888,-171.09154218999993,0.0
2mer-0+59,1.01641696,2,1.01641696,-170.07512521,0.0001450263,11.442,10.072,10.072,0.0,1.01641696,1.01641696,3.0492508799999998,-165.2789021218089,-170.07512522999994,0.0
2mer-0+91,-1.7211698,2,-1.7211698,-171.79629501,0.00014294,15.111,10.121,10.121,0.0,-1.7211698,-1.7211698,-5.1635094,-167.0000719218089,-171.79629502999995,0.0
2mer-0+54,-0.73565058,2,-0.73565058,-172.53194559,0.0001398213,13.065,10.196,10.196,0.0,-0.73565058,-0.73565058,-2.20695174,-167.7357225018089,-172.53194560999995,0.0
2mer-0+94,-0.16565298,2,-0.16565298,-172.69759857,0.0001358457,13.419,10.294,10.294,0.0,-0.16565298,-0.16565298,-0.49695894,-167.9013754818089,-172.69759858999996,0.0
2mer-0+86,0.42340556,2,0.42340556,-172.27419302,0.0001349344,14.894,10.317,10.317,0.0,0.42340556,0.42340556,1.27021668,-167.47796992180892,-172.27419302999996,0.0
2mer-0+71,-0.38038311,2,-0.38038311,-172.65457613,0.0001309555,13.59,10.421,10.421,0.0,-0.38038311,-0.38038311,-1.1411493300000002,-167.85835303180892,-172.65457613999996,0.0
2mer-0+124,0.90256618,2,0.90256618,-171.75200994,0.0001249874,15.7,10.584,10.584,0.0,0.90256618,0.90256618,2.70769854,-166.9557868518089,-171.75200995999995,0.0
2mer-0+74,-0.73395232,2,-0.73395232,-172.48596226,0.0001239329,15.43,10.614,10.614,0.0,-0.73395232,-0.73395232,-2.2018569599999998,-167.6897391718089,-172.48596227999994,0.0
2mer-0+178,-0.38381825,2,-0.38381825,-172.86978051,0.0001218638,16.424,10.674,10.674,0.0,-0.38381825,-0.38381825,-1.15145475,-168.07355742180889,-172.86978052999993,0.0
2mer-0+112,0.19270551,2,0.19270551,-172.677075,0.0001206159,14.919,10.71,10.71,0.0,0.19270551,0.19270551,0.57811653,-167.8808519118089,-172.67707501999993,0.0
2mer-0+96,0.90021847,2,0.90021847,-171.77685653,0.0001160702,13.007,10.848,10.848,0.0,0.90021847,0.90021847,2.70065541,-166.9806334418089,-171.77685654999993,0.0
2mer-0+90,-1.06870398,2,-1.06870398,-172.84556052,0.0001146374,15.35,10.893,10.893,0.0,-1.06870398,-1.06870398,-3.20611194,-168.0493374218089,-172.84556052999994,0.0
2mer-0+87,-0.68818942,2,-0.68818942,-173.53374994,0.0001124418,15.55,10.964,10.964,0.0,-0.68818942,-0.68818942,-2.06456826,-168.7375268418089,-173.53374994999993,0.0
2mer-0+122,0.38746736,2,0.38746736,-173.14628257,0.000109446,14.641,11.063,11.063,0.0,0.38746736,0.38746736,1.16240208,-168.3500594818089,-173.14628258999994,0.0
2mer-0+85,0.08840763,2,0.08840763,-173.05787494,0.000108729,16.135,11.087,11.087,0.0,0.08840763,0.08840763,0.26522289,-168.2616518518089,-173.05787495999994,0.0
2mer-0+92,-0.16930231,2,-0.16930231,-173.22717725,0.0001010644,16.579,11.361,11.361,0.0,-0.16930231,-0.16930231,-0.5079069300000001,-168.4309541618089,-173.22717726999994,0.0
2mer-0+76,0.3468829,2,0.3468829,-172.88029436,0.0001000001,13.474,11.401,11.401,0.0,0.3468829,0.3468829,1.0406487,-168.0840712618089,-172.88029436999994,0.0
2mer-0+104,0.37178075,2,0.37178075,-172.50851361,9.870698e-05,14.013,11.45,11.45,0.0,0.37178075,0.37178075,1.1153422499999999,-167.7122905118089,-172.50851361999995,0.0
2mer-0+99,1.26857672,2,1.26857672,-171.23993689,9.780769e-05,15.613,11.485,11.485,0.0,1.26857672,1.26857672,3.80573016,-166.4437137918089,-171.23993689999995,0.0
2mer-0+109,0.10236398,2,0.10236398,-171.13757291,9.22504e-05,14.87,11.711,11.711,0.0,0.10236398,0.10236398,0.30709193999999995,-166.3413498118089,-171.13757291999994,0.0
2mer-0+110,0.78085951,2,0.78085951,-170.35671339,8.815689e-05,14.87,11.89,11.89,0.0,0.78085951,0.78085951,2.34257853,-165.5604903018089,-170.35671340999994,0.0
2mer-0+100,-0.64440938,2,-0.64440938,-171.00112277,8.780661e-05,16.346,11.906,11.906,0.0,-0.64440938,-0.64440938,-1.9332281400000002,-166.2048996818089,-171.00112278999995,0.0
