N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-77.56273976,2,-77.56273976,-77.56273976,0.02169007,5.315,1.897,1.897,1.268376350402832,-77.56273976,-76.29436340959717,-232.68821928,-76.29436340959717,-77.56273976,-79.91377723
2mer-0+4,-34.13189252,2,-34.13189252,-111.69463228,0.01539951,6.666,2.127,2.127,0.9792358875274658,-34.13189252,-33.152656632472535,-102.39567756,-109.44702004206971,-111.69463228000001,0.0
2mer-0+6,-0.98136797,2,-0.98136797,-112.67600025,0.01172207,6.169,2.33,2.33,-0.0334377884864807,-0.98136797,-1.0148057584864807,-2.94410391,-110.46182580055618,-112.67600025,0.0
2mer-0+25,-2.06307845,2,-2.06307845,-114.7390787,0.009799152,7.983,2.473,2.473,-0.1882395595312118,-2.06307845,-2.2513180095312118,-6.18923535,-112.7131438100874,-114.73907870000001,0.0
2mer-0+1,-29.63155181,2,-29.63155181,-144.37063051,0.005889715,5.505,2.93,2.93,0.4098961651325226,-29.63155181,-29.22165564486748,-88.89465543,-141.93479945495488,-144.37063051,0.0
2mer-0+3,-4.39914337,2,-4.39914337,-148.76977387,0.004571022,3.814,3.189,3.189,0.7256448268890381,-4.39914337,-3.673498543110962,-13.197430109999999,-145.60829799806584,-148.76977388,0.0
2mer-0+12,-8.07926033,2,-8.07926033,-156.84903421,0.002852764,7.545,3.731,3.731,0.2851728498935699,-8.07926033,-7.79408748010643,-24.23778099,-153.40238547817228,-156.84903421,0.0
2mer-0+13,2.49139876,2,2.49139876,-154.35763545,0.001732545,9.496,4.406,4.406,0.0075140204280614,2.49139876,2.4989127804280615,7.47419628,-150.9034726977442,-154.35763545,0.0
2mer-0+9,-4.23568128,2,-4.23568128,-158.59331672,0.001250384,7.813,4.912,4.912,0.1605790853500366,-4.23568128,-4.075102194649963,-12.707043839999999,-154.97857489239416,-158.59331673,0.0
2mer-0+15,-8.04188099,2,-8.04188099,-166.63519772,0.001187899,7.435,4.997,4.997,0.2155641466379165,-8.04188099,-7.826316843362083,-24.125642969999998,-162.80489173575626,-166.63519772,0.0
