N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+2,-73.41010443,2,-73.41010443,-73.41010443,0.02169007,5.315,1.897,1.897,1.2714382410049438
2mer-0+4,-35.02256015,2,-35.02256015,-108.43266459,0.01539951,6.666,2.127,2.127,0.631692111492157
2mer-0+6,2.13581555,2,2.13581555,-106.29684904,0.01172207,6.169,2.33,2.33,0.057702504098415375
2mer-0+25,-0.1695916,2,-0.1695916,-106.46644064,0.009799152,7.983,2.473,2.473,0.35448792576789856
2mer-0+1,-27.20995741,2,-27.20995741,-133.67639805,0.005889715,5.505,2.93,2.93,0.2933151125907898
2mer-0+3,-5.47068494,2,-5.47068494,-139.14708299,0.004571022,3.814,3.189,3.189,-0.5808567404747009
2mer-0+12,-7.35953149,2,-7.35953149,-146.50661448,0.002852764,7.545,3.731,3.731,0.2627629041671753
2mer-0+13,2.48487147,2,2.48487147,-144.02174301,0.001732545,9.496,4.406,4.406,0.24966582655906677
2mer-0+9,-3.96841098,2,-3.96841098,-147.99015399,0.001250384,7.813,4.912,4.912,0.26038798689842224
2mer-0+15,-7.59905424,2,-7.59905424,-155.58920823,0.001187899,7.435,4.997,4.997,0.33565738797187805
2mer-0+11,-0.05440788,2,-0.05440788,-155.64361611,0.001008942,9.133,5.276,5.276,0.16555264592170715
2mer-0+26,0.54184886,2,0.54184886,-155.10176725,0.0009217316,10.233,5.438,5.438,0.07256446033716202
2mer-0+16,-0.74813925,2,-0.74813925,-155.8499065,0.0009028155,8.194,5.475,5.475,0.02456258423626423
2mer-0+36,-2.53357653,2,-2.53357653,-158.38348303,0.0008193655,9.634,5.655,5.655,0.0995655432343483
2mer-0+19,-0.54220889,2,-0.54220889,-158.92569191,0.0007642174,10.438,5.788,5.788,0.04239371791481972
2mer-0+27,2.12998639,2,2.12998639,-156.79570552,0.0007050102,10.233,5.946,5.946,0.09579595178365707
2mer-0+14,-4.0913555,2,-4.0913555,-160.88706102,0.0006760709,7.84,6.029,6.029,0.06478707492351532
2mer-0+21,2.88085225,2,2.88085225,-158.00620877,0.0005036467,7.628,6.651,6.651,0.0328727550804615
2mer-0+28,0.51010486,2,0.51010486,-157.49610391,0.0004681132,11.205,6.815,6.815,0.012564383447170258
2mer-0+33,-1.21226525,2,-1.21226525,-158.70836916,0.0004235878,11.02,7.046,7.046,0.01799580827355385
2mer-0+58,1.67023044,2,1.67023044,-157.03813872,0.0004092237,12.454,7.128,7.128,0.008129907771945
2mer-0+24,-0.80586939,2,-0.80586939,-157.84400811,0.0004027611,10.607,7.166,7.166,0.02054433524608612
2mer-0+42,0.61784956,2,0.61784956,-157.22615854,0.0003905103,9.925,7.24,7.24,0.02113407664000988
2mer-0+46,4.38120927,2,4.38120927,-152.84494928,0.0003124828,10.444,7.798,7.798,0.013267835602164268
2mer-0+64,0.68165846,2,0.68165846,-152.16329082,0.0002905249,12.371,7.99,7.99,0.0014744948130100965
2mer-0+31,-0.04031362,2,-0.04031362,-152.20360444,0.0002861295,10.332,8.031,8.031,0
2mer-0+79,1.47207286,2,1.47207286,-150.73153158,0.0002710287,13.647,8.177,8.177,0
2mer-0+68,-0.36103525,2,-0.36103525,-151.09256683,0.0002657258,12.66,8.231,8.231,0
2mer-0+51,0.09004485,2,0.09004485,-151.00252198,0.0002595832,12.181,8.295,8.295,0
2mer-0+45,-0.84174277,2,-0.84174277,-151.84426475,0.00025522,10.555,8.343,8.343,0
2mer-0+52,1.2878317,2,1.2878317,-150.55643305,0.0002336634,12.181,8.592,8.592,0
2mer-0+50,-0.99328811,2,-0.99328811,-151.54972116,0.0002255714,11.195,8.693,8.693,0
2mer-0+75,-0.02202036,2,-0.02202036,-151.57174152,0.0002206772,13.3,8.757,8.757,0
2mer-0+60,-2.18447843,2,-2.18447843,-153.75621995,0.0002194277,13.59,8.773,8.773,0
2mer-0+62,0.8509692,2,0.8509692,-152.90525075,0.0002178313,13.883,8.795,8.795,0
2mer-0+56,-1.5460984,2,-1.5460984,-154.45134915,0.0002069112,13.044,8.947,8.947,0
2mer-0+61,1.80876615,2,1.80876615,-152.642583,0.0001935639,11.755,9.148,9.148,0
2mer-0+82,-1.37332139,2,-1.37332139,-154.01590439,0.0001827981,12.288,9.324,9.324,0
2mer-0+44,0.58445052,2,0.58445052,-153.43145387,0.0001823477,13.086,9.332,9.332,0
2mer-0+84,-0.12498009,2,-0.12498009,-153.55643397,0.0001822192,13.144,9.334,9.334,0
2mer-0+49,-1.1818148,2,-1.1818148,-154.73824877,0.0001787746,11.032,9.394,9.394,0
2mer-0+65,-1.14973092,2,-1.14973092,-155.88797968,0.0001669409,14.443,9.611,9.611,0
2mer-0+67,-0.55909247,2,-0.55909247,-156.44707215,0.0001646364,12.768,9.655,9.655,0
2mer-0+63,-0.94696264,2,-0.94696264,-157.39403479,0.0001596448,14.514,9.755,9.755,0
2mer-0+59,0.96418763,2,0.96418763,-156.42984717,0.0001450263,11.442,10.072,10.072,0
2mer-0+91,-1.61002279,2,-1.61002279,-158.03986995,0.00014294,15.111,10.121,10.121,0
2mer-0+54,-0.67202051,2,-0.67202051,-158.71189046,0.0001398213,13.065,10.196,10.196,0
2mer-0+94,-0.18526822,2,-0.18526822,-158.89715868,0.0001358457,13.419,10.294,10.294,0
2mer-0+86,0.39368755,2,0.39368755,-158.50347113,0.0001349344,14.894,10.317,10.317,0
