N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+2,-73.41010443,2,-73.41010443,-73.41010443,0.02169007,5.315,1.897,1.897,1.2714382410049438,-73.41010443,-72.13866618899506,-220.23031329000003,-72.13866618899506,-73.41010443,-79.91377723
2mer-0+4,-35.02256015,2,-35.02256015,-108.43266459,0.01539951,6.666,2.127,2.127,0.631692111492157,-35.02256015,-34.39086803850784,-105.06768044999998,-106.5295342275029,-108.43266458,0.0
2mer-0+6,2.13581555,2,2.13581555,-106.29684904,0.01172207,6.169,2.33,2.33,0.0577025040984153,2.13581555,2.193518054098415,6.407446649999999,-104.33601617340447,-106.29684902999999,0.0
2mer-0+25,-0.1695916,2,-0.1695916,-106.46644064,0.009799152,7.983,2.473,2.473,0.3544879257678985,-0.1695916,0.1848963257678985,-0.5087748000000001,-104.15111984763658,-106.46644063,0.0
2mer-0+1,-27.20995741,2,-27.20995741,-133.67639805,0.005889715,5.505,2.93,2.93,0.2933151125907898,-27.20995741,-26.91664229740921,-81.62987223,-131.06776214504578,-133.67639803999998,0.0
2mer-0+3,-5.47068494,2,-5.47068494,-139.14708299,0.004571022,3.814,3.189,3.189,-0.5808567404747009,-5.47068494,-6.051541680474701,-16.41205482,-137.1193038255205,-139.14708298,0.0
2mer-0+12,-7.35953149,2,-7.35953149,-146.50661448,0.002852764,7.545,3.731,3.731,0.2627629041671753,-7.35953149,-7.096768585832825,-22.07859447,-144.2160724113533,-146.50661447,0.0
2mer-0+13,2.48487147,2,2.48487147,-144.02174301,0.001732545,9.496,4.406,4.406,0.2496658265590667,2.48487147,2.7345372965590666,7.45461441,-141.48153511479424,-144.021743,0.0
2mer-0+9,-3.96841098,2,-3.96841098,-147.99015399,0.001250384,7.813,4.912,4.912,0.2603879868984222,-3.96841098,-3.7080229931015776,-11.90523294,-145.1895581078958,-147.99015397999997,0.0
2mer-0+15,-7.59905424,2,-7.59905424,-155.58920823,0.001187899,7.435,4.997,4.997,0.335657387971878,-7.59905424,-7.263396852028122,-22.79716272,-152.45295495992391,-155.58920821999996,0.0
2mer-0+11,-0.05440788,2,-0.05440788,-155.64361611,0.001008942,9.133,5.276,5.276,0.1655526459217071,-0.05440788,0.1111447659217071,-0.16322364,-152.34181019400222,-155.64361609999997,0.0
2mer-0+26,0.54184886,2,0.54184886,-155.10176725,0.0009217316,10.233,5.438,5.438,0.072564460337162,0.54184886,0.614413320337162,1.62554658,-151.72739687366507,-155.10176724,0.0
2mer-0+16,-0.74813925,2,-0.74813925,-155.8499065,0.0009028155,8.194,5.475,5.475,0.0245625842362642,-0.74813925,-0.7235766657637358,-2.24441775,-152.45097353942882,-155.84990649,0.0
2mer-0+36,-2.53357653,2,-2.53357653,-158.38348303,0.0008193655,9.634,5.655,5.655,0.0995655432343483,-2.53357653,-2.4340109867656516,-7.60072959,-154.88498452619447,-158.38348302,0.0
2mer-0+19,-0.54220889,2,-0.54220889,-158.92569191,0.0007642174,10.438,5.788,5.788,0.0423937179148197,-0.54220889,-0.49981517208518034,-1.6266266700000003,-155.38479969827966,-158.92569191,0.0
2mer-0+27,2.12998639,2,2.12998639,-156.79570552,0.0007050102,10.233,5.946,5.946,0.095795951783657,2.12998639,2.225782341783657,6.38995917,-153.159017356496,-156.79570552,0.0
2mer-0+14,-4.0913555,2,-4.0913555,-160.88706102,0.0006760709,7.84,6.029,6.029,0.0647870749235153,-4.0913555,-4.026568425076484,-12.2740665,-157.18558578157248,-160.88706102,0.0
2mer-0+21,2.88085225,2,2.88085225,-158.00620877,0.0005036467,7.628,6.651,6.651,0.0328727550804615,2.88085225,2.9137250050804613,8.642556749999999,-154.27186077649202,-158.00620877,0.0
2mer-0+28,0.51010486,2,0.51010486,-157.49610391,0.0004681132,11.205,6.815,6.815,0.0125643834471702,0.51010486,0.5226692434471701,1.53031458,-153.74919153304484,-157.49610391,0.0
2mer-0+33,-1.21226525,2,-1.21226525,-158.70836916,0.0004235878,11.02,7.046,7.046,0.0179958082735538,-1.21226525,-1.1942694417264461,-3.63679575,-154.94346097477128,-158.70836916,0.0
2mer-0+58,1.67023044,2,1.67023044,-157.03813872,0.0004092237,12.454,7.128,7.128,0.008129907771945,1.67023044,1.678360347771945,5.01069132,-153.26510062699933,-157.03813871999998,0.0
2mer-0+24,-0.80586939,2,-0.80586939,-157.84400811,0.0004027611,10.607,7.166,7.166,0.0205443352460861,-0.80586939,-0.7853250547539139,-2.4176081700000003,-154.05042568175324,-157.84400810999998,0.0
2mer-0+42,0.61784956,2,0.61784956,-157.22615854,0.0003905103,9.925,7.24,7.24,0.0211340766400098,0.61784956,0.6389836366400098,1.85354868,-153.41144204511323,-157.22615854999998,0.0
2mer-0+46,4.38120927,2,4.38120927,-152.84494928,0.0003124828,10.444,7.798,7.798,0.0132678356021642,4.38120927,4.3944771056021645,13.143627810000002,-149.01696493951107,-152.84494927999998,0.0
2mer-0+64,0.68165846,2,0.68165846,-152.16329082,0.0002905249,12.371,7.99,7.99,0.00147449481301,0.68165846,0.68313295481301,2.04497538,-148.33383198469807,-152.16329082,0.0
2mer-0+31,-0.04031362,2,-0.04031362,-152.20360444,0.0002861295,10.332,8.031,8.031,0.0,-0.04031362,-0.04031362,-0.12094086000000001,-148.37414560469807,-152.20360444,0.0
2mer-0+79,1.47207286,2,1.47207286,-150.73153158,0.0002710287,13.647,8.177,8.177,0.0,1.47207286,1.47207286,4.41621858,-146.90207274469807,-150.73153158,0.0
2mer-0+68,-0.36103525,2,-0.36103525,-151.09256683,0.0002657258,12.66,8.231,8.231,0.0,-0.36103525,-0.36103525,-1.0831057499999999,-147.26310799469806,-151.09256682999998,0.0
2mer-0+51,0.09004485,2,0.09004485,-151.00252198,0.0002595832,12.181,8.295,8.295,0.0,0.09004485,0.09004485,0.27013455,-147.17306314469806,-151.00252197999998,0.0
2mer-0+45,-0.84174277,2,-0.84174277,-151.84426475,0.00025522,10.555,8.343,8.343,0.0,-0.84174277,-0.84174277,-2.52522831,-148.01480591469806,-151.84426474999998,0.0
2mer-0+52,1.2878317,2,1.2878317,-150.55643305,0.0002336634,12.181,8.592,8.592,0.0,1.2878317,1.2878317,3.8634950999999997,-146.72697421469806,-150.55643304999998,0.0
2mer-0+50,-0.99328811,2,-0.99328811,-151.54972116,0.0002255714,11.195,8.693,8.693,0.0,-0.99328811,-0.99328811,-2.97986433,-147.72026232469807,-151.54972116,0.0
