N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+16,-51.03017521,1,-25.51508761,-25.51508761,0.01765128,6.075,2.032,2.032,0.5934159755706787,-25.515087605,-25.218379617214662,-153.09052563,-25.218379617214662,-25.51508761,-24.74349273
2mer-0+3,-24.21765077,2,-24.21765077,-49.73273837,0.01751051,5.051,2.038,2.038,0.3384877145290375,-24.21765077,-23.87916305547096,-72.65295230999999,-49.09754267268562,-49.73273838,0.0
2mer-0+9,-16.80442223,1,-8.40221112,-58.13494949,0.009059375,4.933,2.538,2.538,0.4017393290996551,-8.402211115,-8.201341450450172,-50.41326669,-57.29888412313579,-58.134949495,0.0
2mer-0+2,-17.24582094,1,-8.62291047,-66.75785996,0.009032629,4.232,2.541,2.541,0.7875140309333801,-8.62291047,-8.22915345453331,-51.737462820000005,-65.5280375776691,-66.757859965,0.0
2mer-0+14,-11.15460065,1,-5.57730032,-72.33516028,0.007523316,3.726,2.701,2.701,1.0359374284744265,-5.577300325,-5.059331610762787,-33.463801950000004,-70.58736918843188,-72.33516028999999,0.0
2mer-0+7,-2.24747391,1,-1.12373695,-73.45889724,0.007495062,8.506,2.704,2.704,0.3522572219371795,-1.123736955,-0.9476083440314103,-6.74242173,-71.53497753246329,-73.45889724499999,0.0
2mer-0+40,1.19583754,1,0.59791877,-72.86097847,0.007124339,7.819,2.75,2.75,0.3083623051643371,0.59791877,0.7520999225821686,3.58751262,-70.78287760988111,-72.86097847499998,0.0
2mer-0+10,-7.20841476,2,-7.20841476,-80.06939323,0.006366319,7.011,2.855,2.855,0.2664922475814819,-7.20841476,-6.941922512418518,-21.62524428,-77.72480012229963,-80.06939323499998,0.0
2mer-0+8,-1.18679169,2,-1.18679169,-81.25618492,0.005831658,7.637,2.94,2.94,0.3953666090965271,-1.18679169,-0.7914250809034729,-3.56037507,-78.5162252032031,-81.25618492499999,0.0
2mer-0+4,-1.10464059,1,-0.5523203,-81.80850522,0.004943218,9.254,3.106,3.106,0.169587954878807,-0.552320295,-0.4675263175605965,-3.3139217700000003,-78.9837515207637,-81.80850521999999,0.0
