N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+16,-46.48867949,1,-23.24433974,-23.24433974,0.01765128,6.075,2.032,2.032,0.7697148323059082
2mer-0+3,-21.78416368,2,-21.78416368,-45.02850342,0.01751051,5.051,2.038,2.038,1.008989930152893
2mer-0+9,-16.2272904,1,-8.1136452,-53.14214862,0.009059375,4.933,2.538,2.538,0.32448238134384155
2mer-0+2,-17.17034022,1,-8.58517011,-61.72731873,0.009032629,4.232,2.541,2.541,0.3549811542034149
2mer-0+14,-12.01753419,1,-6.0087671,-67.73608583,0.007523316,3.726,2.701,2.701,-0.05570485070347786
2mer-0+7,-2.75987863,1,-1.37993931,-69.11602514,0.007495062,8.506,2.704,2.704,-0.10587760806083679
2mer-0+40,0.1347263,1,0.06736315,-69.04866199,0.007124339,7.819,2.75,2.75,-0.1090274527668953
2mer-0+10,-7.56622073,2,-7.56622073,-76.61488272,0.006366319,7.011,2.855,2.855,0.13539987802505493
2mer-0+8,-2.25318082,2,-2.25318082,-78.86806355,0.005831658,7.637,2.94,2.94,-0.15685486793518066
2mer-0+4,-1.70144063,1,-0.85072031,-79.71878386,0.004943218,9.254,3.106,3.106,-0.07362858206033707
2mer-0+12,-1.78432427,1,-0.89216214,-80.610946,0.004506339,6.269,3.204,3.204,0.18872536718845367
2mer-0+1,-3.36485036,1,-1.68242518,-82.29337118,0.003350171,6.895,3.537,3.537,0.04807990789413452
2mer-0+11,-0.73404502,2,-0.73404502,-83.0274162,0.00188203,9.23,4.286,4.286,0.011972283013164997
2mer-0+26,5.53814782,1,2.76907391,-80.25834229,0.001565296,7.981,4.558,4.558,0.16297279298305511
2mer-0+29,-0.59325715,1,-0.29662858,-80.55497087,0.001070671,9.126,5.173,5.173,-0.0392875000834465
2mer-0+17,-0.00806886,2,-0.00806886,-80.56303973,0.001039938,7.951,5.223,5.223,0.007658807560801506
2mer-0+41,-0.83953509,1,-0.41976755,-80.98280728,0.001011665,7.38,5.271,5.271,0.08111616224050522
2mer-0+44,-0.31474042,1,-0.15737021,-81.14017749,0.001008651,9.444,5.277,5.277,-0.0050162808038294315
2mer-0+5,0.26061358,2,0.26061358,-80.8795639,0.0007051203,7.543,5.945,5.945,-0.013286150060594082
2mer-0+6,0.1415118,2,0.1415118,-80.73805211,0.0007028231,10.656,5.952,5.952,-0.032010357826948166
2mer-0+27,-1.19236267,1,-0.59618134,-81.33423344,0.0006764842,8.175,6.028,6.028,0.004952981136739254
2mer-0+37,-0.4106698,2,-0.4106698,-81.74490324,0.000673045,10.386,6.038,6.038,0.0065567027777433395
2mer-0+20,-0.25037222,2,-0.25037222,-81.99527545,0.0006587009,9.541,6.082,6.082,0.03255091607570648
2mer-0+45,-0.02960292,1,-0.01480146,-82.01007692,0.0006440306,10.492,6.128,6.128,-0.006130204536020756
2mer-0+19,0.13774916,2,0.13774916,-81.87232775,0.0006090375,10.886,6.243,6.243,-0.022701511159539223
2mer-0+13,-0.67963846,1,-0.33981923,-82.21214698,0.0005614532,7.861,6.415,6.415,0.023882854729890823
2mer-0+25,-0.74178336,1,-0.37089168,-82.58303867,0.0005159326,9.263,6.598,6.598,0.019534680992364883
2mer-0+109,0.51160521,1,0.25580261,-82.32723606,0.0004905925,11.678,6.71,6.71,-0.0032422312069684267
2mer-0+23,-0.97879095,2,-0.97879095,-83.30602701,0.0004240145,10.102,7.044,7.044,0.013242844492197037
2mer-0+62,0.10956706,1,0.05478353,-83.25124348,0.0004167979,11.086,7.084,7.084,-0.007550990208983421
2mer-0+105,-0.3854716,1,-0.1927358,-83.44397928,0.0003856479,12.889,7.27,7.27,-0.00504946568980813
2mer-0+18,-0.19723178,1,-0.09861589,-83.54259517,0.0003585094,12.245,7.449,7.449,-0.006829861551523209
2mer-0+38,-0.3802133,1,-0.19010665,-83.73270182,0.0003483259,11.332,7.521,7.521,-0.009426580742001534
2mer-0+15,0.04355578,2,0.04355578,-83.68914604,0.0003471183,10.08,7.53,7.53,-0.0025467025116086006
2mer-0+59,0.09087403,1,0.04543701,-83.64370903,0.000343198,10.57,7.558,7.558,-0.0034381942823529243
2mer-0+30,-0.02623789,1,-0.01311894,-83.65682797,0.0003269279,13.012,7.682,7.682,-0.00029098233790136874
2mer-0+24,-0.39857904,1,-0.19928952,-83.85611749,0.000278277,11.323,8.105,8.105,0
2mer-0+82,-0.61796043,1,-0.30898022,-84.1650977,0.0002659482,12.579,8.229,8.229,0
2mer-0+103,-0.54860435,1,-0.27430218,-84.43939988,0.0002650657,11.217,8.238,8.238,0
2mer-0+49,-0.34809523,2,-0.34809523,-84.78749511,0.0002643043,10.981,8.246,8.246,0
2mer-0+54,0.02297493,1,0.01148746,-84.77600765,0.0002604365,13.706,8.286,8.286,0
2mer-0+65,0.07449245,2,0.07449245,-84.7015152,0.0002603881,13.764,8.287,8.287,0
2mer-0+31,0.18139318,1,0.09069659,-84.6108186,0.0002461629,10.382,8.444,8.444,0
