N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+16,-43.56590939,1,-21.78295469,-21.78295469,0.01765128,6.075,2.032,2.032,1.4445977210998535
2mer-0+3,-21.15940252,2,-21.15940252,-42.94235721,0.01751051,5.051,2.038,2.038,0.9548159837722778
2mer-0+9,-15.00773186,1,-7.50386593,-50.44622314,0.009059375,4.933,2.538,2.538,0.4628951847553253
2mer-0+2,-14.78869326,1,-7.39434663,-57.84056977,0.009032629,4.232,2.541,2.541,0.6867020726203918
2mer-0+14,-7.7049872,1,-3.8524936,-61.69306337,0.007523316,3.726,2.701,2.701,0.6879729628562927
2mer-0+7,-1.21864465,1,-0.60932233,-62.3023857,0.007495062,8.506,2.704,2.704,0.28562799096107483
2mer-0+40,2.3509148,1,1.1754574,-61.1269283,0.007124339,7.819,2.75,2.75,0.45294690132141113
2mer-0+10,-6.44865999,2,-6.44865999,-67.57558829,0.006366319,7.011,2.855,2.855,0.42058470845222473
2mer-0+8,-0.09972264,2,-0.09972264,-67.67531093,0.005831658,7.637,2.94,2.94,0.4096711575984955
2mer-0+4,-0.81802045,1,-0.40901023,-68.08432116,0.004943218,9.254,3.106,3.106,0.13705964386463165
2mer-0+12,-0.25709708,1,-0.12854854,-68.2128697,0.004506339,6.269,3.204,3.204,0.5223407745361328
2mer-0+1,-2.66489772,1,-1.33244886,-69.54531856,0.003350171,6.895,3.537,3.537,0.17016814649105072
2mer-0+11,-0.4905652,2,-0.4905652,-70.03588376,0.00188203,9.23,4.286,4.286,0.12029147148132324
2mer-0+26,5.38799181,1,2.6939959,-67.34188786,0.001565296,7.981,4.558,4.558,0.1422884166240692
2mer-0+29,-0.43852411,1,-0.21926206,-67.56114991,0.001070671,9.126,5.173,5.173,0.05114315450191498
2mer-0+17,0.07864537,2,0.07864537,-67.48250454,0.001039938,7.951,5.223,5.223,0.07977403700351715
2mer-0+41,-0.66205095,1,-0.33102548,-67.81353002,0.001011665,7.38,5.271,5.271,0.2726331651210785
2mer-0+44,-0.27741891,1,-0.13870945,-67.95223947,0.001008651,9.444,5.277,5.277,0.028756864368915558
2mer-0+5,0.32699905,2,0.32699905,-67.62524042,0.0007051203,7.543,5.945,5.945,0.09635362029075623
2mer-0+6,0.17172779,2,0.17172779,-67.45351264,0.0007028231,10.656,5.952,5.952,0.03481055423617363
2mer-0+27,-1.04881309,1,-0.52440655,-67.97791918,0.0006764842,8.175,6.028,6.028,0.13183335959911346
2mer-0+37,-0.42049531,2,-0.42049531,-68.39841449,0.000673045,10.386,6.038,6.038,0.01443636417388916
2mer-0+20,-0.19949426,2,-0.19949426,-68.59790875,0.0006587009,9.541,6.082,6.082,0.036605849862098694
2mer-0+45,-0.0067566,1,-0.0033783,-68.60128705,0.0006440306,10.492,6.128,6.128,0.02012247033417225
2mer-0+19,0.16498073,2,0.16498073,-68.43630632,0.0006090375,10.886,6.243,6.243,0.03583871200680733
2mer-0+13,-0.51616537,1,-0.25808269,-68.69438901,0.0005614532,7.861,6.415,6.415,0.09277433156967163
2mer-0+25,-0.74295628,1,-0.37147814,-69.06586715,0.0005159326,9.263,6.598,6.598,0.024964382871985435
2mer-0+109,0.4986806,1,0.2493403,-68.81652685,0.0004905925,11.678,6.71,6.71,0.043438225984573364
2mer-0+23,-0.92807661,2,-0.92807661,-69.74460346,0.0004240145,10.102,7.044,7.044,0.040756791830062866
2mer-0+62,0.09675593,1,0.04837796,-69.69622549,0.0004167979,11.086,7.084,7.084,0.022641783580183983
2mer-0+105,-0.36108107,1,-0.18054053,-69.87676603,0.0003856479,12.889,7.27,7.27,0.02726847305893898
2mer-0+18,-0.175627,1,-0.0878135,-69.96457953,0.0003585094,12.245,7.449,7.449,0.003858265932649374
2mer-0+38,-0.34971182,1,-0.17485591,-70.13943544,0.0003483259,11.332,7.521,7.521,0.0012642469955608249
2mer-0+15,0.05182318,2,0.05182318,-70.08761225,0.0003471183,10.08,7.53,7.53,0.0011307401582598686
2mer-0+59,0.0948915,1,0.04744575,-70.04016651,0.000343198,10.57,7.558,7.558,0.01078506838530302
2mer-0+30,-0.01616628,1,-0.00808314,-70.04824965,0.0003269279,13.012,7.682,7.682,0.00034964681253768504
2mer-0+24,-0.38823319,1,-0.19411659,-70.24236624,0.000278277,11.323,8.105,8.105,0
2mer-0+82,-0.59324797,1,-0.29662399,-70.53899023,0.0002659482,12.579,8.229,8.229,0
2mer-0+103,-0.50261616,1,-0.25130808,-70.79029831,0.0002650657,11.217,8.238,8.238,0
2mer-0+49,-0.32261888,2,-0.32261888,-71.11291719,0.0002643043,10.981,8.246,8.246,0
2mer-0+54,0.02655827,1,0.01327913,-71.09963806,0.0002604365,13.706,8.286,8.286,0
2mer-0+65,0.07087111,2,0.07087111,-71.02876695,0.0002603881,13.764,8.287,8.287,0
