N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+16,-43.56590939,1,-21.78295469,-21.78295469,0.01765128,6.075,2.032,2.032,1.4445977210998535,-21.782954695,-21.060655834450074,-130.69772817,-21.060655834450074,-21.78295469,-24.74349273
2mer-0+3,-21.15940252,2,-21.15940252,-42.94235721,0.01751051,5.051,2.038,2.038,0.9548159837722778,-21.15940252,-20.204586536227723,-63.47820756,-41.2652423706778,-42.94235721,0.0
2mer-0+9,-15.00773186,1,-7.50386593,-50.44622314,0.009059375,4.933,2.538,2.538,0.4628951847553253,-7.50386593,-7.272418337622337,-45.02319558,-48.53766070830014,-50.44622314,0.0
2mer-0+2,-14.78869326,1,-7.39434663,-57.84056977,0.009032629,4.232,2.541,2.541,0.6867020726203918,-7.39434663,-7.050995593689804,-44.36607978,-55.58865630198994,-57.84056977,0.0
2mer-0+14,-7.7049872,1,-3.8524936,-61.69306337,0.007523316,3.726,2.701,2.701,0.6879729628562927,-3.8524936,-3.5085071185718535,-23.1149616,-59.0971634205618,-61.693063370000004,0.0
2mer-0+7,-1.21864465,1,-0.60932233,-62.3023857,0.007495062,8.506,2.704,2.704,0.2856279909610748,-0.609322325,-0.46650832951946264,-3.6559339500000005,-59.56367175008126,-62.302385695000005,0.0
2mer-0+40,2.3509148,1,1.1754574,-61.1269283,0.007124339,7.819,2.75,2.75,0.4529469013214111,1.1754574,1.4019308506607056,7.0527444,-58.16174089942056,-61.126928295000006,0.0
2mer-0+10,-6.44865999,2,-6.44865999,-67.57558829,0.006366319,7.011,2.855,2.855,0.4205847084522247,-6.44865999,-6.028075281547776,-19.345979970000002,-64.18981618096834,-67.57558828500001,0.0
2mer-0+8,-0.09972264,2,-0.09972264,-67.67531093,0.005831658,7.637,2.94,2.94,0.4096711575984955,-0.09972264,0.3099485175984955,-0.29916792000000003,-63.87986766336984,-67.675310925,0.0
2mer-0+4,-0.81802045,1,-0.40901023,-68.08432116,0.004943218,9.254,3.106,3.106,0.1370596438646316,-0.409010225,-0.34048040306768423,-2.45406135,-64.22034806643752,-68.08432115000001,0.0
2mer-0+12,-0.25709708,1,-0.12854854,-68.2128697,0.004506339,6.269,3.204,3.204,0.5223407745361328,-0.12854854,0.13262184726806642,-0.7712912399999999,-64.08772621916945,-68.21286969,0.0
2mer-0+1,-2.66489772,1,-1.33244886,-69.54531856,0.003350171,6.895,3.537,3.537,0.1701681464910507,-1.33244886,-1.2473647867544746,-7.99469316,-65.33509100592393,-69.54531855,0.0
2mer-0+11,-0.4905652,2,-0.4905652,-70.03588376,0.00188203,9.23,4.286,4.286,0.1202914714813232,-0.4905652,-0.3702737285186768,-1.4716955999999999,-65.70536473444261,-70.03588375000001,0.0
