N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+16,-50.4629136,1,-25.2314568,-25.2314568,0.01765128,6.075,2.032,2.032,-0.6419032216072083,-25.2314568,-25.552408410803604,-151.3887408,-25.552408410803604,-25.2314568,-24.74349273
2mer-0+3,-24.0712838,2,-24.0712838,-49.3027406,0.01751051,5.051,2.038,2.038,0.1801430583000183,-24.0712838,-23.89114074169998,-72.2138514,-49.443549152503586,-49.3027406,0.0
2mer-0+9,-16.97068884,1,-8.48534442,-57.78808502,0.009059375,4.933,2.538,2.538,0.2007859498262405,-8.48534442,-8.38495144508688,-50.91206652,-57.82850059759046,-57.78808502,0.0
2mer-0+2,-16.78526764,1,-8.39263382,-66.18071884,0.009032629,4.232,2.541,2.541,-0.146890327334404,-8.39263382,-8.466078983667202,-50.35580292,-66.29457958125766,-66.18071884,0.0
2mer-0+14,-11.11166882,1,-5.55583441,-71.73655325,0.007523316,3.726,2.701,2.701,-0.0674629136919975,-5.55583441,-5.589565866845999,-33.33500646,-71.88414544810367,-71.73655325,0.0
2mer-0+7,-2.94815076,1,-1.47407538,-73.21062863,0.007495062,8.506,2.704,2.704,-0.204222172498703,-1.47407538,-1.5761864662493514,-8.844452279999999,-73.46033191435302,-73.21062863,0.0
2mer-0+40,0.63345686,1,0.31672843,-72.8939002,0.007124339,7.819,2.75,2.75,-0.0646833479404449,0.31672843,0.28438675602977753,1.9003705800000001,-73.17594515832324,-72.8939002,0.0
2mer-0+10,-7.79203302,2,-7.79203302,-80.68593322,0.006366319,7.011,2.855,2.855,-0.0052258945070207,-7.79203302,-7.797258914507021,-23.37609906,-80.97320407283027,-80.68593322000001,0.0
2mer-0+8,-1.85833279,2,-1.85833279,-82.54426601,0.005831658,7.637,2.94,2.94,-0.1645851135253906,-1.85833279,-2.0229179035253906,-5.574998369999999,-82.99612197635567,-82.54426601000002,0.0
2mer-0+4,-1.60045343,1,-0.80022672,-83.34449273,0.004943218,9.254,3.106,3.106,-0.1412371695041656,-0.800226715,-0.8708452997520828,-4.80136029,-83.86696727610774,-83.34449272500001,0.0
2mer-0+12,-1.40981652,1,-0.70490826,-84.04940099,0.004506339,6.269,3.204,3.204,0.2355130314826965,-0.70490826,-0.5871517442586517,-4.22944956,-84.45411902036639,-84.049400985,0.0
2mer-0+1,-3.09750078,1,-1.54875039,-85.59815138,0.003350171,6.895,3.537,3.537,-0.054780289530754,-1.54875039,-1.576140534765377,-9.292502339999999,-86.03025955513176,-85.598151375,0.0
2mer-0+11,-0.61402692,2,-0.61402692,-86.2121783,0.00188203,9.23,4.286,4.286,-0.0341732203960418,-0.61402692,-0.6482001403960418,-1.84208076,-86.6784596955278,-86.212178295,0.0
2mer-0+26,5.45007027,1,2.72503513,-83.48714317,0.001565296,7.981,4.558,4.558,0.1498813331127166,2.725035135,2.7999758015563585,16.35021081,-83.87848389397145,-83.48714316,0.0
2mer-0+29,-0.54126697,1,-0.27063348,-83.75777665,0.001070671,9.126,5.173,5.173,-0.0520846769213676,-0.270633485,-0.29667582346068383,-1.62380091,-84.17515971743214,-83.757776645,0.0
2mer-0+17,0.03537039,2,0.03537039,-83.72240626,0.001039938,7.951,5.223,5.223,0.0073693506419658,0.03537039,0.0427397406419658,0.10611117,-84.13241997679017,-83.72240625500001,0.0
2mer-0+41,-0.77342375,1,-0.38671188,-84.10911813,0.001011665,7.38,5.271,5.271,0.0643278360366821,-0.386711875,-0.3545479569816589,-2.32027125,-84.48696793377184,-84.10911813000001,0.0
2mer-0+44,-0.29447098,1,-0.14723549,-84.25635362,0.001008651,9.444,5.277,5.277,-0.0242495313286781,-0.14723549,-0.15936025566433903,-0.8834129399999999,-84.64632818943618,-84.25635362000001,0.0
2mer-0+5,0.31133526,2,0.31133526,-83.94501837,0.0007051203,7.543,5.945,5.945,-0.0449016615748405,0.31133526,0.2664335984251595,0.93400578,-84.37989459101101,-83.94501836,0.0
2mer-0+6,0.15639486,2,0.15639486,-83.7886235,0.0007028231,10.656,5.952,5.952,-0.022307576611638,0.15639486,0.134087283388362,0.46918457999999996,-84.24580730762264,-83.7886235,0.0
2mer-0+27,-1.15453912,1,-0.57726956,-84.36589306,0.0006764842,8.175,6.028,6.028,-0.0317564569413661,-0.57726956,-0.5931477884706831,-3.4636173599999998,-84.83895509609333,-84.36589306,0.0
2mer-0+37,-0.40146527,2,-0.40146527,-84.76735833,0.000673045,10.386,6.038,6.038,0.0012795790098607,-0.40146527,-0.4001856909901393,-1.2043958099999998,-85.23914078708347,-84.76735833000001,0.0
2mer-0+20,-0.22648132,2,-0.22648132,-84.99383965,0.0006587009,9.541,6.082,6.082,0.0185527931898832,-0.22648132,-0.2079285268101168,-0.6794439600000001,-85.44706931389359,-84.99383965000001,0.0
