N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+5,-26.79537545,2,-26.79537545,-26.79537545,0.01787525,4.663,2.024,2.024,0.18991588056087494
2mer-0+3,-57.42128878,1,-28.71064439,-55.50601984,0.01694217,3.315,2.06,2.06,0.6054335832595825
2mer-0+16,-23.52658069,1,-11.76329034,-67.26931018,0.008112176,4.15,2.634,2.634,0.2634289860725403
2mer-0+4,-1.36213917,2,-1.36213917,-68.63144934,0.007412925,5.126,2.714,2.714,0.2408103197813034
2mer-0+7,2.40975721,2,2.40975721,-66.22169213,0.005227882,5.557,3.049,3.049,0.17910778522491455
2mer-0+14,-7.65630677,1,-3.82815338,-70.04984551,0.004957854,5.366,3.103,3.103,0.0853252038359642
2mer-0+2,3.78244282,2,3.78244282,-66.26740269,0.004949507,3.604,3.105,3.105,0.38014695048332214
2mer-0+1,-16.68080574,1,-8.34040287,-74.60780556,0.004229618,3.657,3.272,3.272,0.36499398946762085
2mer-0+19,-6.39825611,2,-6.39825611,-81.00606167,0.003894318,5.268,3.363,3.363,0.053689561784267426
2mer-0+10,2.94130668,2,2.94130668,-78.06475499,0.001796747,6.994,4.353,4.353,0.020144781097769737
2mer-0+11,-1.08478093,2,-1.08478093,-79.14953592,0.001498362,6.458,4.624,4.624,0.02335238829255104
2mer-0+37,-3.34082744,1,-1.67041372,-80.81994964,0.001298722,5.624,4.85,4.85,0.034619178622961044
2mer-0+27,-5.88681397,1,-2.94340699,-83.76335663,0.001279179,5.881,4.875,4.875,0.04484735056757927
2mer-0+13,3.57590473,2,3.57590473,-80.1874519,0.001266109,6.525,4.892,4.892,0.022473998367786407
2mer-0+30,3.04299823,1,1.52149911,-78.66595279,0.001086788,8.878,5.147,5.147,0.00432092510163784
2mer-0+26,2.12672846,2,2.12672846,-76.53922433,0.0009727688,6.868,5.341,5.341,0.00931717362254858
2mer-0+9,1.81138817,2,1.81138817,-74.72783616,0.0009289848,7.261,5.423,5.423,0.012363085523247719
2mer-0+17,-1.94614262,2,-1.94614262,-76.67397878,0.0008959972,6.904,5.489,5.489,0.01171314436942339
2mer-0+40,1.9363654,1,0.9681827,-75.70579608,0.0008547448,8.743,5.576,5.576,0.002399954479187727
2mer-0+21,-0.22486835,2,-0.22486835,-75.93066443,0.0007987712,7.735,5.703,5.703,0.01583247259259224
2mer-0+29,-0.45508087,2,-0.45508087,-76.3857453,0.000774423,7.839,5.762,5.762,0.010647297836840153
2mer-0+35,1.79032456,2,1.79032456,-74.59542074,0.0007324589,8.432,5.87,5.87,0.00931333377957344
2mer-0+32,-1.7548849,1,-0.87744245,-75.47286319,0.0006468769,8.145,6.119,6.119,0.004622704349458218
2mer-0+12,-3.04253454,1,-1.52126727,-76.99413046,0.0006022554,6.46,6.266,6.266,0.012091358192265034
2mer-0+46,-2.50818079,2,-2.50818079,-79.50231125,0.0005898385,9.041,6.31,6.31,-5.605095066130161e-05
2mer-0+24,1.68422344,2,1.68422344,-77.81808781,0.0005552284,7.208,6.438,6.438,0.009146006777882576
2mer-0+22,0.42475324,2,0.42475324,-77.39333458,0.0005521579,8.403,6.45,6.45,0.008805831894278526
2mer-0+58,0.39339712,2,0.39339712,-76.99993746,0.0005401042,7.73,6.498,6.498,0.003145370166748762
2mer-0+39,-0.16069796,2,-0.16069796,-77.16063542,0.000499402,8.663,6.67,6.67,0.005972009152173996
2mer-0+23,0.5064123,2,0.5064123,-76.65422312,0.0004858378,7.997,6.731,6.731,0.0014872914180159569
2mer-0+63,-2.41992383,2,-2.41992383,-79.07414695,0.0004594849,9.733,6.858,6.858,-0.0005599353462457657
2mer-0+71,0.65228427,1,0.32614213,-78.74800482,0.0004554816,9.092,6.878,6.878,0.006649581249803305
2mer-0+67,0.07172864,2,0.07172864,-78.67627617,0.0004539613,9.027,6.885,6.885,0.00057465850841254
2mer-0+47,1.46627603,1,0.73313802,-77.94313815,0.0004473889,10.353,6.919,6.919,0.004066655412316322
2mer-0+80,0.15631422,2,0.15631422,-77.78682393,0.0004372059,8.849,6.972,6.972,0.0019315339159220457
2mer-0+68,1.08661241,1,0.54330621,-77.24351773,0.0003963854,9.708,7.204,7.204,0.011303653940558434
2mer-0+57,-0.06764767,2,-0.06764767,-77.3111654,0.0003720499,8.817,7.358,7.358,-0.00037855817936360836
2mer-0+38,-1.03709049,1,-0.51854524,-77.82971064,0.0003514422,9.787,7.499,7.499,0.0030350389424711466
2mer-0+52,-0.69968494,2,-0.69968494,-78.52939558,0.0003304829,9.733,7.654,7.654,0.00024982212926261127
2mer-0+45,0.44900947,2,0.44900947,-78.08038611,0.0003272329,9.363,7.679,7.679,0.0015743935946375132
2mer-0+93,-0.65472427,1,-0.32736213,-78.40774824,0.0003241849,8.486,7.703,7.703,0.00013824067718815058
2mer-0+55,-1.06380502,1,-0.53190251,-78.93965075,0.0003232554,10.129,7.711,7.711,0.0033286812249571085
2mer-0+77,0.17147895,1,0.08573947,-78.85391128,0.0003130122,10.002,7.794,7.794,0.006096831522881985
2mer-0+33,0.86946071,2,0.86946071,-77.98445057,0.0002833056,9.083,8.057,8.057,0
2mer-0+87,0.26882385,2,0.26882385,-77.71562672,0.000271284,10.519,8.174,8.174,0
2mer-0+62,-0.33418741,2,-0.33418741,-78.04981413,0.0002698142,10.933,8.189,8.189,0
2mer-0+108,-0.23828367,1,-0.11914184,-78.16895597,0.000260284,9.853,8.288,8.288,0
2mer-0+89,-1.18774909,1,-0.59387454,-78.76283051,0.0002570707,9.174,8.322,8.322,0
2mer-0+112,1.62806614,1,0.81403307,-77.94879744,0.0002377193,10.736,8.542,8.542,0
2mer-0+56,-0.91253846,2,-0.91253846,-78.8613359,0.0002366621,9.748,8.555,8.555,0
2mer-0+79,1.31304419,1,0.6565221,-78.20481381,0.0002365296,10.442,8.557,8.557,0
2mer-0+129,0.49172619,2,0.49172619,-77.71308761,0.0002327858,10.055,8.602,8.602,0
2mer-0+78,-0.2037422,2,-0.2037422,-77.91682981,0.0002319126,11.546,8.613,8.613,0
2mer-0+137,-0.77768564,1,-0.38884282,-78.30567263,0.0002243123,11.013,8.709,8.709,0
2mer-0+96,0.77312855,2,0.77312855,-77.53254408,0.0002238413,10.921,8.715,8.715,0
2mer-0+41,0.49475555,2,0.49475555,-77.03778853,0.0002207512,10.362,8.756,8.756,0
2mer-0+81,-1.12246074,2,-1.12246074,-78.16024926,0.0002129499,11.596,8.862,8.862,0
2mer-0+50,-0.72002009,1,-0.36001004,-78.52025931,0.0002110898,10.722,8.887,8.887,0
2mer-0+73,0.72267991,1,0.36133995,-78.15891935,0.0002064297,10.555,8.954,8.954,0
2mer-0+95,-1.08070053,2,-1.08070053,-79.23961988,0.0002062387,11.563,8.957,8.957,0
2mer-0+94,-0.84475921,2,-0.84475921,-80.08437909,0.0002051451,11.431,8.973,8.973,0
2mer-0+103,0.57088727,1,0.28544364,-79.79893546,0.0002010507,11.48,9.033,9.033,0
2mer-0+99,0.16717599,2,0.16717599,-79.63175946,0.0001992546,10.781,9.06,9.06,0
2mer-0+142,1.61272162,1,0.80636081,-78.82539865,0.0001966566,11.387,9.1,9.1,0
2mer-0+74,-0.45594245,2,-0.45594245,-79.28134111,0.0001956287,10.863,9.116,9.116,0
2mer-0+66,-0.4718147,2,-0.4718147,-79.75315581,0.0001860513,11.477,9.27,9.27,0
2mer-0+150,-0.63036236,1,-0.31518118,-80.06833699,0.0001830161,11.919,9.32,9.32,0
2mer-0+106,-0.75401726,1,-0.37700863,-80.44534562,0.0001775169,11.636,9.416,9.416,0
2mer-0+53,-0.89453736,1,-0.44726868,-80.89261429,0.0001774579,9.802,9.417,9.417,0
2mer-0+117,0.68689196,1,0.34344598,-80.54916831,0.0001761352,11.262,9.44,9.44,0
2mer-0+168,-0.61981055,1,-0.30990528,-80.85907359,0.00017123,11.247,9.53,9.53,0
2mer-0+90,-0.62335956,1,-0.31167978,-81.17075337,0.0001700665,11.397,9.551,9.551,0
2mer-0+125,1.00065532,1,0.50032766,-80.67042571,0.0001672647,11.517,9.604,9.604,0
2mer-0+61,-0.25583259,2,-0.25583259,-80.92625829,0.0001660922,10.551,9.627,9.627,0
2mer-0+102,0.54312715,1,0.27156357,-80.65469472,0.0001630322,12.698,9.687,9.687,0
2mer-0+86,-0.17444579,2,-0.17444579,-80.82914051,0.0001628035,11.431,9.691,9.691,0
2mer-0+97,0.51437202,1,0.25718601,-80.5719545,0.0001594505,12.709,9.759,9.759,0
2mer-0+145,0.47288022,2,0.47288022,-80.09907427,0.0001572557,10.85,9.804,9.804,0
2mer-0+132,0.74660235,2,0.74660235,-79.35247193,0.0001553571,13.171,9.844,9.844,0
2mer-0+119,0.3190255,1,0.15951275,-79.19295918,0.0001549792,12.963,9.852,9.852,0
2mer-0+76,0.58075987,2,0.58075987,-78.61219931,0.0001498803,10.813,9.962,9.962,0
2mer-0+88,-0.3622004,2,-0.3622004,-78.97439971,0.0001459466,11.654,10.051,10.051,0
2mer-0+148,0.71797809,2,0.71797809,-78.25642163,0.0001449247,13.344,10.074,10.074,0
2mer-0+110,-0.77076022,2,-0.77076022,-79.02718184,0.0001427382,12.816,10.126,10.126,0
2mer-0+91,0.12415429,2,0.12415429,-78.90302756,0.0001410775,11.563,10.165,10.165,0
2mer-0+140,-0.22674998,2,-0.22674998,-79.12977754,0.0001408463,12.363,10.171,10.171,0
2mer-0+114,-0.26864165,2,-0.26864165,-79.39841919,0.0001406687,11.589,10.175,10.175,0
2mer-0+83,0.08840406,2,0.08840406,-79.31001513,0.0001379669,11.596,10.241,10.241,0
2mer-0+146,-0.17926477,2,-0.17926477,-79.4892799,0.0001333465,13.156,10.358,10.358,0
2mer-0+126,-0.23056132,2,-0.23056132,-79.71984122,0.0001303181,12.363,10.438,10.438,0
2mer-0+169,-0.25947312,1,-0.12973656,-79.84957778,0.0001275374,12.232,10.513,10.513,0
2mer-0+116,-0.30500683,2,-0.30500683,-80.15458461,0.0001270429,12.231,10.527,10.527,0
2mer-0+111,0.45577221,1,0.2278861,-79.9266985,0.0001265175,13.432,10.541,10.541,0
2mer-0+149,0.2504617,2,0.2504617,-79.6762368,0.0001246583,12.876,10.593,10.593,0
2mer-0+92,-0.344453,2,-0.344453,-80.0206898,0.0001238242,12.166,10.617,10.617,0
2mer-0+107,0.04925569,1,0.02462784,-79.99606195,0.0001231885,11.823,10.635,10.635,0
2mer-0+188,-0.41782502,1,-0.20891251,-80.20497446,0.0001185154,11.725,10.773,10.773,0
2mer-0+170,-0.83046335,2,-0.83046335,-81.03543781,0.0001179022,13.61,10.792,10.792,0
2mer-0+154,0.47417862,2,0.47417862,-80.56125919,0.0001151921,13.959,10.876,10.876,0
2mer-0+221,0.91528224,1,0.45764112,-80.10361807,0.0001147,13.041,10.891,10.891,0
2mer-0+82,0.40438138,2,0.40438138,-79.69923669,0.0001124685,11.758,10.963,10.963,0
2mer-0+208,-0.28372001,1,-0.14186001,-79.8410967,0.0001111489,11.764,11.006,11.006,0
2mer-0+118,0.32232976,2,0.32232976,-79.51876694,0.0001092483,12.633,11.07,11.07,0
2mer-0+201,-0.74132296,2,-0.74132296,-80.2600899,0.0001077345,13.829,11.121,11.121,0
2mer-0+204,-0.40192958,1,-0.20096479,-80.46105469,0.0001074852,13.74,11.13,11.13,0
2mer-0+222,0.43963239,2,0.43963239,-80.02142229,0.0001055656,12.243,11.197,11.197,0
2mer-0+182,0.02521977,1,0.01260988,-80.00881241,0.0001044504,14.172,11.237,11.237,0
2mer-0+100,-0.41320546,1,-0.20660273,-80.21541514,0.0001026567,12.654,11.302,11.302,0
2mer-0+147,0.37235689,2,0.37235689,-79.84305825,0.0001021362,13.988,11.321,11.321,0
2mer-0+234,-0.14928187,1,-0.07464093,-79.91769918,0.0001017349,13.665,11.336,11.336,0
2mer-0+133,0.34438968,2,0.34438968,-79.5733095,0.0001006329,13.794,11.377,11.377,0
2mer-0+136,0.24905516,2,0.24905516,-79.32425434,0.0001002856,13.992,11.39,11.39,0
