N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+5,-23.1630842,2,-23.1630842,-23.1630842,0.01787525,4.663,2.024,2.024,0.6221230030059814,-23.1630842,-22.54096119699402,-69.4892526,-22.54096119699402,-23.1630842
2mer-0+3,-49.48203713,1,-24.74101857,-47.90410277,0.01694217,3.315,2.06,2.06,0.7425363063812256,-24.741018565,-24.369750411809388,-148.44611139,-46.91071160880341,-47.904102765000005
2mer-0+16,-19.98034158,1,-9.99017079,-57.89427356,0.008112176,4.15,2.634,2.634,0.2341848462820053,-9.99017079,-9.873078366858998,-59.94102474,-56.78378997566241,-57.894273555000005
2mer-0+4,-0.22655733,2,-0.22655733,-58.12083089,0.007412925,5.126,2.714,2.714,0.1658783257007599,-0.22655733,-0.060679004299240114,-0.67967199,-56.84446897996165,-58.120830885000004
2mer-0+7,3.23932057,2,3.23932057,-54.88151032,0.005227882,5.557,3.049,3.049,0.1635582000017166,3.23932057,3.4028787700017165,9.717961709999999,-53.441590209959934,-54.88151031500001
2mer-0+14,-7.07167621,1,-3.53583811,-58.41734842,0.004957854,5.366,3.103,3.103,0.0484136119484901,-3.535838105,-3.5116312990257548,-21.21502863,-56.95322150898569,-58.41734842000001
2mer-0+2,4.6662693,2,4.6662693,-53.75107912,0.004949507,3.604,3.105,3.105,0.1543637961149215,4.6662693,4.820633096114921,13.9988079,-52.132588412870774,-53.751079120000014
2mer-0+1,-14.0638792,1,-7.0319396,-60.78301872,0.004229618,3.657,3.272,3.272,0.2203902602195739,-7.0319396,-6.921744469890213,-42.1916376,-59.05433288276099,-60.783018720000015
2mer-0+19,-5.75580011,2,-5.75580011,-66.53881883,0.003894318,5.268,3.363,3.363,0.1918367743492126,-5.75580011,-5.563963335650787,-17.26740033,-64.61829621841177,-66.53881883000001
2mer-0+10,2.83955262,2,2.83955262,-63.69926621,0.001796747,6.994,4.353,4.353,0.1172566190361976,2.83955262,2.9568092390361977,8.518657860000001,-61.661486979375574,-63.69926621000001
2mer-0+11,-0.95824343,2,-0.95824343,-64.65750965,0.001498362,6.458,4.624,4.624,0.171670526266098,-0.95824343,-0.786572903733902,-2.87473029,-62.44805988310948,-64.65750964000001
2mer-0+37,-3.07454724,1,-1.53727362,-66.19478327,0.001298722,5.624,4.85,4.85,0.0647340714931488,-1.53727362,-1.5049065842534255,-9.22364172,-63.952966467362906,-66.19478326000001
2mer-0+27,-5.56099431,1,-2.78049715,-68.97528042,0.001279179,5.881,4.875,4.875,0.5521608591079712,-2.780497155,-2.5044167254460143,-16.68298293,-66.45738319280892,-68.97528041500001
2mer-0+13,3.18842244,2,3.18842244,-65.78685799,0.001266109,6.525,4.892,4.892,0.158873826265335,3.18842244,3.347296266265335,9.56526732,-63.11008692654359,-65.78685797500002
2mer-0+30,2.95334598,1,1.47667299,-64.310185,0.001086788,8.878,5.147,5.147,0.1188108026981353,1.47667299,1.5360783913490677,8.86003794,-61.57400853519452,-64.31018498500002
2mer-0+26,1.92687859,2,1.92687859,-62.38330641,0.0009727688,6.868,5.341,5.341,0.1186144724488258,1.92687859,2.0454930624488257,5.78063577,-59.528515472745696,-62.38330639500002
2mer-0+9,1.69918538,2,1.69918538,-60.68412102,0.0009289848,7.261,5.423,5.423,0.0582644306123256,1.69918538,1.7574498106123257,5.09755614,-57.77106566213337,-60.68412101500002
2mer-0+17,-1.89474766,2,-1.89474766,-62.57886868,0.0008959972,6.904,5.489,5.489,0.0699409916996955,-1.89474766,-1.8248066683003044,-5.68424298,-59.59587233043367,-62.57886867500002
2mer-0+40,1.84920489,1,0.92460244,-61.65426624,0.0008547448,8.743,5.576,5.576,0.0663774535059928,0.924602445,0.9577911717529964,5.54761467,-58.63808115868068,-61.65426623000002
2mer-0+21,-0.19507496,2,-0.19507496,-61.8493412,0.0007987712,7.735,5.703,5.703,0.1603014022111892,-0.19507496,-0.034773557788810805,-0.58522488,-58.67285471646949,-61.84934119000002
2mer-0+29,-0.42455535,2,-0.42455535,-62.27389654,0.000774423,7.839,5.762,5.762,0.0733821019530296,-0.42455535,-0.35117324804697037,-1.27366605,-59.024027964516456,-62.27389654000002
2mer-0+35,1.71256405,2,1.71256405,-60.56133249,0.0007324589,8.432,5.87,5.87,0.0385620780289173,1.71256405,1.7511261280289172,5.1376921499999995,-57.27290183648754,-60.56133249000002
2mer-0+32,-1.65699602,1,-0.82849801,-61.3898305,0.0006468769,8.145,6.119,6.119,0.0058697490021586,-0.82849801,-0.8255631354989207,-4.97098806,-58.09846497198646,-61.389830500000016
2mer-0+12,-2.8232972,1,-1.4116486,-62.8014791,0.0006022554,6.46,6.266,6.266,0.0475630424916744,-1.4116486,-1.3878670787541627,-8.4698916,-59.48633205074062,-62.801479100000016
2mer-0+46,-2.36109208,2,-2.36109208,-65.16257118,0.0005898385,9.041,6.31,6.31,0.0614407993853092,-2.36109208,-2.299651280614691,-7.08327624,-61.78598333135531,-65.16257118000001
2mer-0+24,1.57875416,2,1.57875416,-63.58381702,0.0005552284,7.208,6.438,6.438,0.0382137447595596,1.57875416,1.6169679047595595,4.73626248,-60.16901542659575,-63.58381702000001
2mer-0+22,0.41277493,2,0.41277493,-63.17104209,0.0005521579,8.403,6.45,6.45,0.0550006292760372,0.41277493,0.4677755592760372,1.23832479,-59.701239867319714,-63.171042090000014
2mer-0+58,0.38591558,2,0.38591558,-62.78512651,0.0005401042,7.73,6.498,6.498,0.0404628701508045,0.38591558,0.4263784501508045,1.1577467399999999,-59.27486141716891,-62.78512651000001
2mer-0+39,-0.15836831,2,-0.15836831,-62.94349482,0.000499402,8.663,6.67,6.67,0.1018715053796768,-0.15836831,-0.05649680462032321,-0.47510493000000004,-59.33135822178923,-62.94349482000001
2mer-0+23,0.48015211,2,0.48015211,-62.46334271,0.0004858378,7.997,6.731,6.731,0.0282051116228103,0.48015211,0.5083572216228103,1.44045633,-58.82300100016642,-62.46334271000001
2mer-0+63,-2.27932079,2,-2.27932079,-64.7426635,0.0004594849,9.733,6.858,6.858,0.0376754999160766,-2.27932079,-2.241645290083923,-6.83796237,-61.064646290250344,-64.74266350000002
2mer-0+71,0.61004812,1,0.30502406,-64.43763944,0.0004554816,9.092,6.878,6.878,0.0293436478823423,0.30502406,0.31969588394117116,1.8301443599999998,-60.74495040630917,-64.43763944000003
2mer-0+67,0.0633216,2,0.0633216,-64.37431785,0.0004539613,9.027,6.885,6.885,0.0041387896053493,0.0633216,0.06746038960534931,0.18996480000000002,-60.67749001670382,-64.37431784000003
2mer-0+47,1.39456812,1,0.69728406,-63.67703379,0.0004473889,10.353,6.919,6.919,0.0301424153149127,0.69728406,0.7123552676574564,4.18370436,-59.96513474904636,-63.67703378000003
2mer-0+80,0.14970183,2,0.14970183,-63.52733195,0.0004372059,8.849,6.972,6.972,0.0049931895919144,0.14970183,0.1546950195919144,0.44910549,-59.81043972945445,-63.52733195000003
2mer-0+68,1.04072178,1,0.52036089,-63.00697106,0.0003963854,9.708,7.204,7.204,0.0318423733115196,0.52036089,0.5362820766557598,3.1221653399999996,-59.27415765279869,-63.00697106000003
2mer-0+57,-0.05016203,2,-0.05016203,-63.05713309,0.0003720499,8.817,7.358,7.358,0.0050782640464603,-0.05016203,-0.0450837659535397,-0.15048609000000002,-59.319241418752235,-63.057133090000036
2mer-0+38,-0.97337496,1,-0.48668748,-63.54382057,0.0003514422,9.787,7.499,7.499,0.0182601697742939,-0.48668748,-0.47755739511285306,-2.92012488,-59.79679881386509,-63.54382057000004
2mer-0+52,-0.65044086,2,-0.65044086,-64.19426143,0.0003304829,9.733,7.654,7.654,0.0072395713068544,-0.65044086,-0.6432012886931456,-1.95132258,-60.44000010255824,-64.19426143000004
2mer-0+45,0.42948284,2,0.42948284,-63.76477859,0.0003272329,9.363,7.679,7.679,0.0014882866526022,0.42948284,0.4309711266526022,1.28844852,-60.009028975905636,-63.76477859000004
2mer-0+93,-0.57465021,1,-0.2873251,-64.05210369,0.0003241849,8.486,7.703,7.703,0.0041979290544986,-0.287325105,-0.28522614047275074,-1.72395063,-60.29425511637839,-64.05210369500004
2mer-0+55,-0.99800631,1,-0.49900316,-64.55110685,0.0003232554,10.129,7.711,7.711,0.0237666331231594,-0.499003155,-0.48711983843842027,-2.9940189299999997,-60.781374954816805,-64.55110685000004
2mer-0+77,0.14804661,1,0.07402331,-64.47708354,0.0003130122,10.002,7.794,7.794,0.0022302386350929,0.074023305,0.07513842431754644,0.44413983,-60.70623653049926,-64.47708354500004
2mer-0+33,0.81321563,2,0.81321563,-63.66386791,0.0002833056,9.083,8.057,8.057,0.0,0.81321563,0.81321563,2.4396468899999997,-59.89302090049926,-63.66386791500004
2mer-0+87,0.25089151,2,0.25089151,-63.41297641,0.000271284,10.519,8.174,8.174,0.0,0.25089151,0.25089151,0.75267453,-59.64212939049926,-63.41297640500004
2mer-0+62,-0.31281393,2,-0.31281393,-63.72579033,0.0002698142,10.933,8.189,8.189,0.0,-0.31281393,-0.31281393,-0.93844179,-59.954943320499254,-63.725790335000035
2mer-0+108,-0.24177689,1,-0.12088845,-63.84667878,0.000260284,9.853,8.288,8.288,0.0,-0.120888445,-0.120888445,-0.72533067,-60.07583176549925,-63.84667878000003
2mer-0+89,-1.10344687,1,-0.55172343,-64.39840221,0.0002570707,9.174,8.322,8.322,0.0,-0.551723435,-0.551723435,-3.31034061,-60.62755520049925,-64.39840221500003
2mer-0+112,1.52171933,1,0.76085967,-63.63754255,0.0002377193,10.736,8.542,8.542,0.0,0.760859665,0.760859665,4.56515799,-59.866695535499254,-63.637542550000035
2mer-0+56,-0.87165984,2,-0.87165984,-64.50920238,0.0002366621,9.748,8.555,8.555,0.0,-0.87165984,-0.87165984,-2.61497952,-60.73835537549925,-64.50920239000004
2mer-0+79,1.20719282,1,0.60359641,-63.90560597,0.0002365296,10.442,8.557,8.557,0.0,0.60359641,0.60359641,3.62157846,-60.13475896549925,-63.90560598000004
2mer-0+129,0.46763841,2,0.46763841,-63.43796756,0.0002327858,10.055,8.602,8.602,0.0,0.46763841,0.46763841,1.40291523,-59.66712055549925,-63.43796757000004
2mer-0+78,-0.18522264,2,-0.18522264,-63.6231902,0.0002319126,11.546,8.613,8.613,0.0,-0.18522264,-0.18522264,-0.55566792,-59.85234319549925,-63.62319021000004
2mer-0+137,-0.73103706,1,-0.36551853,-63.98870873,0.0002243123,11.013,8.709,8.709,0.0,-0.36551853,-0.36551853,-2.19311118,-60.217861725499255,-63.98870874000004
2mer-0+96,0.73186347,2,0.73186347,-63.25684526,0.0002238413,10.921,8.715,8.715,0.0,0.73186347,0.73186347,2.19559041,-59.485998255499254,-63.25684527000004
2mer-0+41,0.46905635,2,0.46905635,-62.7877889,0.0002207512,10.362,8.756,8.756,0.0,0.46905635,0.46905635,1.40716905,-59.01694190549925,-62.78778892000004
2mer-0+81,-1.06488292,2,-1.06488292,-63.85267183,0.0002129499,11.596,8.862,8.862,0.0,-1.06488292,-1.06488292,-3.19464876,-60.081824825499254,-63.85267184000004
2mer-0+50,-0.67817175,1,-0.33908587,-64.1917577,0.0002110898,10.722,8.887,8.887,0.0,-0.339085875,-0.339085875,-2.03451525,-60.420910700499256,-64.19175771500004
2mer-0+73,0.67360663,1,0.33680331,-63.85495439,0.0002064297,10.555,8.954,8.954,0.0,0.336803315,0.336803315,2.02081989,-60.08410738549926,-63.85495440000004
2mer-0+95,-1.01180594,2,-1.01180594,-64.86676032,0.0002062387,11.563,8.957,8.957,0.0,-1.01180594,-1.01180594,-3.0354178199999997,-61.09591332549926,-64.86676034000004
2mer-0+94,-0.8048062,2,-0.8048062,-65.67156653,0.0002051451,11.431,8.973,8.973,0.0,-0.8048062,-0.8048062,-2.4144186000000003,-61.90071952549926,-65.67156654000004
2mer-0+103,0.53948508,1,0.26974254,-65.40182399,0.0002010507,11.48,9.033,9.033,0.0,0.26974254,0.26974254,1.6184552399999999,-61.63097698549926,-65.40182400000005
2mer-0+99,0.14981356,2,0.14981356,-65.25201043,0.0001992546,10.781,9.06,9.06,0.0,0.14981356,0.14981356,0.44944068000000004,-61.48116342549926,-65.25201044000005
2mer-0+142,1.49925869,1,0.74962934,-64.50238108,0.0001966566,11.387,9.1,9.1,0.0,0.749629345,0.749629345,4.4977760700000005,-60.73153408049926,-64.50238109500005
2mer-0+74,-0.43112677,2,-0.43112677,-64.93350785,0.0001956287,10.863,9.116,9.116,0.0,-0.43112677,-0.43112677,-1.2933803099999999,-61.16266085049926,-64.93350786500005
2mer-0+66,-0.44927348,2,-0.44927348,-65.38278133,0.0001860513,11.477,9.27,9.27,0.0,-0.44927348,-0.44927348,-1.34782044,-61.61193433049926,-65.38278134500005
2mer-0+150,-0.59643549,1,-0.29821775,-65.68099907,0.0001830161,11.919,9.32,9.32,0.0,-0.298217745,-0.298217745,-1.7893064699999999,-61.91015207549926,-65.68099909000006
2mer-0+106,-0.70976349,1,-0.35488175,-66.03588082,0.0001775169,11.636,9.416,9.416,0.0,-0.354881745,-0.354881745,-2.12929047,-62.26503382049926,-66.03588083500006
2mer-0+53,-0.84113051,1,-0.42056526,-66.45644608,0.0001774579,9.802,9.417,9.417,0.0,-0.420565255,-0.420565255,-2.52339153,-62.68559907549926,-66.45644609000006
2mer-0+117,0.6533856,1,0.3266928,-66.12975327,0.0001761352,11.262,9.44,9.44,0.0,0.3266928,0.3266928,1.9601568,-62.358906275499265,-66.12975329000005
2mer-0+168,-0.5756937,1,-0.28784685,-66.41760012,0.00017123,11.247,9.53,9.53,0.0,-0.28784685,-0.28784685,-1.7270811,-62.646753125499266,-66.41760014000005
2mer-0+90,-0.59113672,1,-0.29556836,-66.71316848,0.0001700665,11.397,9.551,9.551,0.0,-0.29556836,-0.29556836,-1.7734101599999998,-62.942321485499264,-66.71316850000005
2mer-0+125,0.91867289,1,0.45933645,-66.25383204,0.0001672647,11.517,9.604,9.604,0.0,0.459336445,0.459336445,2.75601867,-62.482985040499265,-66.25383205500005
2mer-0+61,-0.22449533,2,-0.22449533,-66.47832736,0.0001660922,10.551,9.627,9.627,0.0,-0.22449533,-0.22449533,-0.67348599,-62.70748037049927,-66.47832738500004
2mer-0+102,0.52070496,1,0.26035248,-66.21797488,0.0001630322,12.698,9.687,9.687,0.0,0.26035248,0.26035248,1.56211488,-62.44712789049927,-66.21797490500005
2mer-0+86,-0.15637758,2,-0.15637758,-66.37435246,0.0001628035,11.431,9.691,9.691,0.0,-0.15637758,-0.15637758,-0.46913273999999994,-62.603505470499265,-66.37435248500005
2mer-0+97,0.48108045,1,0.24054023,-66.13381223,0.0001594505,12.709,9.759,9.759,0.0,0.240540225,0.240540225,1.44324135,-62.36296524549927,-66.13381226000004
2mer-0+145,0.44352465,2,0.44352465,-65.69028758,0.0001572557,10.85,9.804,9.804,0.0,0.44352465,0.44352465,1.33057395,-61.91944059549927,-65.69028761000004
2mer-0+132,0.70680562,2,0.70680562,-64.98348196,0.0001553571,13.171,9.844,9.844,0.0,0.70680562,0.70680562,2.12041686,-61.21263497549927,-64.98348199000004
2mer-0+119,0.30776082,1,0.15388041,-64.82960156,0.0001549792,12.963,9.852,9.852,0.0,0.15388041,0.15388041,0.92328246,-61.05875456549927,-64.82960158000004
2mer-0+76,0.54574412,2,0.54574412,-64.28385744,0.0001498803,10.813,9.962,9.962,0.0,0.54574412,0.54574412,1.63723236,-60.51301044549927,-64.28385746000005
2mer-0+88,-0.33977435,2,-0.33977435,-64.62363179,0.0001459466,11.654,10.051,10.051,0.0,-0.33977435,-0.33977435,-1.0193230500000001,-60.85278479549927,-64.62363181000005
2mer-0+148,0.68090395,2,0.68090395,-63.94272784,0.0001449247,13.344,10.074,10.074,0.0,0.68090395,0.68090395,2.04271185,-60.17188084549927,-63.94272786000005
2mer-0+110,-0.72690675,2,-0.72690675,-64.66963459,0.0001427382,12.816,10.126,10.126,0.0,-0.72690675,-0.72690675,-2.1807202500000002,-60.898787595499265,-64.66963461000005
2mer-0+91,0.1169899,2,0.1169899,-64.55264468,0.0001410775,11.563,10.165,10.165,0.0,0.1169899,0.1169899,0.3509697,-60.781797695499264,-64.55264471000005
2mer-0+140,-0.21822799,2,-0.21822799,-64.77087267,0.0001408463,12.363,10.171,10.171,0.0,-0.21822799,-0.21822799,-0.65468397,-61.00002568549927,-64.77087270000006
2mer-0+114,-0.24335133,2,-0.24335133,-65.014224,0.0001406687,11.589,10.175,10.175,0.0,-0.24335133,-0.24335133,-0.73005399,-61.24337701549927,-65.01422403000005
2mer-0+83,0.08764417,2,0.08764417,-64.92657984,0.0001379669,11.596,10.241,10.241,0.0,0.08764417,0.08764417,0.26293250999999995,-61.15573284549927,-64.92657986000005
2mer-0+146,-0.16477576,2,-0.16477576,-65.0913556,0.0001333465,13.156,10.358,10.358,0.0,-0.16477576,-0.16477576,-0.49432728,-61.32050860549927,-65.09135562000004
2mer-0+126,-0.20977517,2,-0.20977517,-65.30113077,0.0001303181,12.363,10.438,10.438,0.0,-0.20977517,-0.20977517,-0.62932551,-61.53028377549927,-65.30113079000004
2mer-0+169,-0.24889329,1,-0.12444665,-65.42557741,0.0001275374,12.232,10.513,10.513,0.0,-0.124446645,-0.124446645,-0.7466798699999999,-61.65473042049927,-65.42557743500005
2mer-0+116,-0.2854524,2,-0.2854524,-65.71102982,0.0001270429,12.231,10.527,10.527,0.0,-0.2854524,-0.2854524,-0.8563571999999999,-61.94018282049927,-65.71102983500005
2mer-0+111,0.43233446,1,0.21616723,-65.49486259,0.0001265175,13.432,10.541,10.541,0.0,0.21616723,0.21616723,1.29700338,-61.72401559049926,-65.49486260500005
2mer-0+149,0.23423348,2,0.23423348,-65.2606291,0.0001246583,12.876,10.593,10.593,0.0,0.23423348,0.23423348,0.70270044,-61.48978211049926,-65.26062912500005
2mer-0+92,-0.32125769,2,-0.32125769,-65.58188679,0.0001238242,12.166,10.617,10.617,0.0,-0.32125769,-0.32125769,-0.96377307,-61.811039800499266,-65.58188681500005
2mer-0+107,0.05542651,1,0.02771325,-65.55417354,0.0001231885,11.823,10.635,10.635,0.0,0.027713255,0.027713255,0.16627953,-61.783326545499264,-65.55417356000005
2mer-0+188,-0.39856085,1,-0.19928042,-65.75345396,0.0001185154,11.725,10.773,10.773,0.0,-0.199280425,-0.199280425,-1.1956825500000001,-61.98260697049926,-65.75345398500005
2mer-0+170,-0.78001031,2,-0.78001031,-66.53346428,0.0001179022,13.61,10.792,10.792,0.0,-0.78001031,-0.78001031,-2.34003093,-62.76261728049926,-66.53346429500004
2mer-0+154,0.44469157,2,0.44469157,-66.0887727,0.0001151921,13.959,10.876,10.876,0.0,0.44469157,0.44469157,1.3340747099999999,-62.31792571049926,-66.08877272500004
2mer-0+221,0.85138337,1,0.42569168,-65.66308102,0.0001147,13.041,10.891,10.891,0.0,0.425691685,0.425691685,2.55415011,-61.89223402549926,-65.66308104000004
2mer-0+82,0.37847617,2,0.37847617,-65.28460485,0.0001124685,11.758,10.963,10.963,0.0,0.37847617,0.37847617,1.1354285100000001,-61.513757855499264,-65.28460487000004
2mer-0+208,-0.25432018,1,-0.12716009,-65.41176494,0.0001111489,11.764,11.006,11.006,0.0,-0.12716009,-0.12716009,-0.76296054,-61.64091794549926,-65.41176496000004
2mer-0+118,0.30334062,2,0.30334062,-65.10842433,0.0001092483,12.633,11.07,11.07,0.0,0.30334062,0.30334062,0.9100218600000001,-61.33757732549926,-65.10842434000004
2mer-0+201,-0.6937117,2,-0.6937117,-65.80213602,0.0001077345,13.829,11.121,11.121,0.0,-0.6937117,-0.6937117,-2.0811351,-62.03128902549926,-65.80213604000004
2mer-0+204,-0.38108893,1,-0.19054446,-65.99268049,0.0001074852,13.74,11.13,11.13,0.0,-0.190544465,-0.190544465,-1.14326679,-62.221833490499264,-65.99268050500004
2mer-0+222,0.41468007,2,0.41468007,-65.57800042,0.0001055656,12.243,11.197,11.197,0.0,0.41468007,0.41468007,1.24404021,-61.80715342049926,-65.57800043500004
2mer-0+182,0.02584361,1,0.01292181,-65.56507862,0.0001044504,14.172,11.237,11.237,0.0,0.012921805,0.012921805,0.07753083,-61.794231615499264,-65.56507863000003
2mer-0+100,-0.38963975,1,-0.19481987,-65.75989849,0.0001026567,12.654,11.302,11.302,0.0,-0.194819875,-0.194819875,-1.16891925,-61.989051490499264,-65.75989850500002
2mer-0+147,0.35113277,2,0.35113277,-65.40876572,0.0001021362,13.988,11.321,11.321,0.0,0.35113277,0.35113277,1.05339831,-61.637918720499265,-65.40876573500002
2mer-0+234,-0.14583473,1,-0.07291737,-65.48168309,0.0001017349,13.665,11.336,11.336,0.0,-0.072917365,-0.072917365,-0.43750418999999996,-61.71083608549927,-65.48168310000001
2mer-0+133,0.32315426,2,0.32315426,-65.15852883,0.0001006329,13.794,11.377,11.377,0.0,0.32315426,0.32315426,0.9694627800000001,-61.387681825499264,-65.15852884000002
2mer-0+136,0.23545634,2,0.23545634,-64.92307249,0.0001002856,13.992,11.39,11.39,0.0,0.23545634,0.23545634,0.7063690199999999,-61.152225485499265,-64.92307250000002
2mer-0+115,-0.39559572,2,-0.39559572,-65.31866822,9.913041e-05,13.034,11.434,11.434,0.0,-0.39559572,-0.39559572,-1.18678716,-61.54782120549927,-65.31866822000002
